date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,74.0,75.0,20.0,0.0,60.0,1,2018,dallas ft  worth,TX
2018-02-01,61.5,52.0,22.5,0.0,50.0,2,2018,dallas ft  worth,TX
2018-03-01,63.0,62.0,22.0,0.0,64.0,3,2018,dallas ft  worth,TX
2018-04-01,62.0,67.0,29.0,0.0,51.0,4,2018,dallas ft  worth,TX
2018-05-01,68.0,68.0,22.0,0.0,49.0,5,2018,dallas ft  worth,TX
2018-06-01,73.0,71.0,31.0,0.0,69.0,6,2018,dallas ft  worth,TX
2018-07-01,77.0,85.0,28.0,0.0,63.0,7,2018,dallas ft  worth,TX
2018-08-01,71.0,85.0,28.0,0.0,64.0,8,2018,dallas ft  worth,TX
2018-09-01,70.0,77.0,18.0,0.0,71.0,9,2018,dallas ft  worth,TX
2018-10-01,64.0,78.0,37.0,0.0,54.0,10,2018,dallas ft  worth,TX
2018-11-01,67.0,81.0,70.0,32.0,67.0,11,2018,dallas ft  worth,TX
2018-12-01,67.0,75.0,41.0,0.0,57.0,12,2018,dallas ft  worth,TX
2019-01-01,116.95,82.76,46.0,0.0,95.95,1,2019,dallas ft  worth,TX
2019-02-01,68.64,58.62,25.5,0.0,59.46,2,2019,dallas ft  worth,TX
2019-03-01,52.54,52.87,29.0,0.0,66.22,3,2019,dallas ft  worth,TX
2019-04-01,54.24,54.02,33.0,0.0,67.57,4,2019,dallas ft  worth,TX
2019-05-01,59.32,71.26,27.0,0.0,60.81,5,2019,dallas ft  worth,TX
2019-06-01,67.8,72.41,13.0,0.0,77.03,6,2019,dallas ft  worth,TX
2019-07-01,74.58,81.61,0.0,0.0,75.68,7,2019,dallas ft  worth,TX
2019-08-01,72.88,75.86,17.0,0.0,75.68,8,2019,dallas ft  worth,TX
2019-09-01,61.86,75.86,17.0,0.0,70.95,9,2019,dallas ft  worth,TX
2019-10-01,57.63,79.31,30.0,0.0,66.22,10,2019,dallas ft  worth,TX
2019-11-01,61.02,96.55,55.0,0.0,66.22,11,2019,dallas ft  worth,TX
2019-12-01,66.1,88.04,26.0,0.0,60.81,12,2019,dallas ft  worth,TX
2020-01-01,70.06,80.7,18.0,0.0,71.12,1,2020,dallas ft  worth,TX
2020-02-01,61.02,63.59,26.0,0.0,64.01,2,2020,dallas ft  worth,TX
2020-03-01,131.07,173.64,24.0,0.0,78.24,3,2020,dallas ft  worth,TX
2020-04-01,158.19,171.19,23.0,0.0,149.36,4,2020,dallas ft  worth,TX
2020-05-01,110.73,100.27,28.0,29.17,348.51,5,2020,dallas ft  worth,TX
2020-06-01,108.47,78.26,18.0,0.0,512.09,6,2020,dallas ft  worth,TX
2020-07-01,103.95,90.49,17.0,0.0,312.94,7,2020,dallas ft  worth,TX
2020-08-01,106.21,97.82,16.0,0.0,241.82,8,2020,dallas ft  worth,TX
2020-09-01,90.4,83.15,18.0,0.0,199.15,9,2020,dallas ft  worth,TX
2020-10-01,108.47,97.82,18.0,0.0,163.58,10,2020,dallas ft  worth,TX
2020-11-01,99.44,149.18,27.0,0.0,142.25,11,2020,dallas ft  worth,TX
2020-12-01,74.58,129.62,0.0,0.0,142.25,12,2020,dallas ft  worth,TX
2021-01-01,52.0,38.0,0.0,14.0,153.4,1,2021,dallas ft  worth,TX
2021-02-01,52.5,40.5,6.26,0.0,153.4,2,2021,dallas ft  worth,TX
2021-03-01,35.0,21.0,0.0,0.0,139.46,3,2021,dallas ft  worth,TX
2021-04-01,36.0,19.0,18.31,0.0,139.46,4,2021,dallas ft  worth,TX
2021-05-01,37.0,25.0,0.0,0.0,195.24,5,2021,dallas ft  worth,TX
2021-06-01,53.0,22.0,26.98,15.0,669.4,6,2021,dallas ft  worth,TX
2021-07-01,48.0,25.0,18.31,0.0,474.16,7,2021,dallas ft  worth,TX
2021-08-01,65.0,25.0,0.0,0.0,418.38,8,2021,dallas ft  worth,TX
2021-09-01,50.0,22.0,22.16,0.0,292.86,9,2021,dallas ft  worth,TX
2021-10-01,44.0,23.0,14.45,0.0,264.97,10,2021,dallas ft  worth,TX
2021-11-01,42.0,34.0,54.93,0.0,292.86,11,2021,dallas ft  worth,TX
2021-12-01,40.0,22.0,22.16,0.0,237.08,12,2021,dallas ft  worth,TX
2022-01-01,45.0,28.0,0.0,0.0,20.0,1,2022,dallas ft  worth,TX
2022-02-01,45.5,32.0,13.0,0.0,15.5,2,2022,dallas ft  worth,TX
2022-03-01,44.0,28.0,20.0,0.0,15.0,3,2022,dallas ft  worth,TX
2022-04-01,41.0,26.0,19.0,0.0,19.0,4,2022,dallas ft  worth,TX
2022-05-01,53.0,33.0,0.0,0.0,17.0,5,2022,dallas ft  worth,TX
2022-06-01,56.0,46.0,0.0,0.0,21.0,6,2022,dallas ft  worth,TX
2022-07-01,56.0,55.0,16.0,0.0,21.0,7,2022,dallas ft  worth,TX
2022-08-01,46.0,40.0,17.0,0.0,20.0,8,2022,dallas ft  worth,TX
2022-09-01,50.0,38.0,18.0,0.0,18.0,9,2022,dallas ft  worth,TX
2022-10-01,43.0,43.0,36.0,0.0,16.0,10,2022,dallas ft  worth,TX
2022-11-01,46.0,44.0,33.0,0.0,18.0,11,2022,dallas ft  worth,TX
2022-12-01,46.0,35.0,0.0,0.0,37.0,12,2022,dallas ft  worth,TX
2023-01-01,43.0,34.0,33.06,231.48,24.0,1,2023,dallas ft  worth,TX
