date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,53.0,28.0,28.0,65.0,49.0,1,2018,fresno visalia,CA
2018-02-01,62.5,41.0,0.0,50.0,39.5,2,2018,fresno visalia,CA
2018-03-01,57.0,30.0,0.0,54.0,49.0,3,2018,fresno visalia,CA
2018-04-01,51.0,33.0,10.0,48.0,34.0,4,2018,fresno visalia,CA
2018-05-01,64.0,31.0,24.0,55.0,40.0,5,2018,fresno visalia,CA
2018-06-01,72.0,26.0,0.0,47.0,59.0,6,2018,fresno visalia,CA
2018-07-01,65.0,49.0,0.0,64.0,46.0,7,2018,fresno visalia,CA
2018-08-01,42.0,89.0,0.0,72.0,42.0,8,2018,fresno visalia,CA
2018-09-01,46.0,70.0,0.0,72.0,23.0,9,2018,fresno visalia,CA
2018-10-01,49.0,34.0,0.0,56.0,28.0,10,2018,fresno visalia,CA
2018-11-01,49.0,57.0,0.0,49.0,28.0,11,2018,fresno visalia,CA
2018-12-01,68.0,50.0,0.0,38.0,42.0,12,2018,fresno visalia,CA
2019-01-01,92.31,56.58,0.0,53.62,61.0,1,2019,fresno visalia,CA
2019-02-01,62.82,48.03,0.0,52.17,34.0,2,2019,fresno visalia,CA
2019-03-01,51.28,46.05,27.0,56.52,32.0,3,2019,fresno visalia,CA
2019-04-01,43.59,32.89,0.0,56.52,32.0,4,2019,fresno visalia,CA
2019-05-01,66.67,32.89,26.0,82.61,30.0,5,2019,fresno visalia,CA
2019-06-01,64.1,34.21,0.0,88.41,37.0,6,2019,fresno visalia,CA
2019-07-01,69.23,39.47,0.0,85.51,34.0,7,2019,fresno visalia,CA
2019-08-01,56.41,38.16,0.0,76.81,40.0,8,2019,fresno visalia,CA
2019-09-01,46.15,59.87,0.0,86.23,46.5,9,2019,fresno visalia,CA
2019-10-01,46.15,69.74,0.0,76.81,37.0,10,2019,fresno visalia,CA
2019-11-01,61.54,92.11,0.0,56.52,37.0,11,2019,fresno visalia,CA
2019-12-01,58.97,60.53,0.0,56.52,43.0,12,2019,fresno visalia,CA
2020-01-01,22.0,0.0,22.0,79.41,33.33,1,2020,fresno visalia,CA
2020-02-01,18.0,42.51,0.0,47.65,26.67,2,2020,fresno visalia,CA
2020-03-01,42.0,151.82,0.0,89.34,33.33,3,2020,fresno visalia,CA
2020-04-01,45.0,151.82,20.0,133.02,106.67,4,2020,fresno visalia,CA
2020-05-01,43.0,76.92,0.0,119.12,320.0,5,2020,fresno visalia,CA
2020-06-01,38.0,85.02,0.0,119.12,200.0,6,2020,fresno visalia,CA
2020-07-01,23.0,80.97,0.0,79.41,146.67,7,2020,fresno visalia,CA
2020-08-01,27.0,78.95,0.0,97.28,120.0,8,2020,fresno visalia,CA
2020-09-01,20.0,50.61,18.0,73.46,80.0,9,2020,fresno visalia,CA
2020-10-01,29.0,56.68,0.0,83.38,106.67,10,2020,fresno visalia,CA
2020-11-01,32.0,68.83,0.0,113.16,120.0,11,2020,fresno visalia,CA
2020-12-01,35.0,42.51,0.0,129.05,140.0,12,2020,fresno visalia,CA
2021-01-01,35.0,33.0,0.0,104.11,15.0,1,2021,fresno visalia,CA
2021-02-01,33.5,21.0,0.0,96.84,14.0,2,2021,fresno visalia,CA
2021-03-01,27.0,13.0,0.0,99.27,15.0,3,2021,fresno visalia,CA
2021-04-01,27.0,18.0,0.0,84.74,15.0,4,2021,fresno visalia,CA
2021-05-01,28.0,12.0,0.0,79.9,15.0,5,2021,fresno visalia,CA
2021-06-01,30.0,13.0,0.0,118.63,16.0,6,2021,fresno visalia,CA
2021-07-01,32.0,8.0,0.0,121.06,21.0,7,2021,fresno visalia,CA
2021-08-01,40.0,10.0,0.0,130.74,21.0,8,2021,fresno visalia,CA
2021-09-01,31.0,32.0,0.0,154.95,20.0,9,2021,fresno visalia,CA
2021-10-01,38.0,37.0,0.0,169.48,22.0,10,2021,fresno visalia,CA
2021-11-01,36.0,21.0,0.0,121.06,30.0,11,2021,fresno visalia,CA
2021-12-01,32.0,19.0,0.0,87.16,25.0,12,2021,fresno visalia,CA
2022-01-01,33.49,18.0,0.0,54.0,25.0,1,2022,fresno visalia,CA
2022-02-01,41.67,29.0,20.27,73.0,20.0,2,2022,fresno visalia,CA
2022-03-01,36.47,19.0,0.0,65.0,17.0,3,2022,fresno visalia,CA
2022-04-01,32.0,19.0,0.0,47.0,15.0,4,2022,fresno visalia,CA
2022-05-01,36.47,17.0,35.08,53.0,18.0,5,2022,fresno visalia,CA
2022-06-01,40.93,28.0,0.0,67.0,23.0,6,2022,fresno visalia,CA
2022-07-01,47.63,29.0,0.0,68.0,21.0,7,2022,fresno visalia,CA
2022-08-01,43.16,26.0,0.0,70.0,20.0,8,2022,fresno visalia,CA
2022-09-01,42.42,37.0,0.0,75.0,19.0,9,2022,fresno visalia,CA
2022-10-01,44.65,25.0,0.0,65.0,25.0,10,2022,fresno visalia,CA
2022-11-01,46.14,25.0,0.0,75.0,32.0,11,2022,fresno visalia,CA
2022-12-01,42.42,29.0,0.0,67.0,31.0,12,2022,fresno visalia,CA
2023-01-01,37.18,64.03,0.0,156.36,32.0,1,2023,fresno visalia,CA
2023-02-01,34.21,50.61,0.0,184.11,19.5,2,2023,fresno visalia,CA
2023-03-01,40.15,84.69,0.0,186.63,20.0,3,2023,fresno visalia,CA
