date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,64.0,34.0,0.0,0.0,1,2018,odessa midland,TX
2018-02-01,50.0,20.0,0.0,0.0,2,2018,odessa midland,TX
2018-03-01,27.0,0.0,0.0,0.0,3,2018,odessa midland,TX
2018-04-01,29.0,0.0,0.0,0.0,4,2018,odessa midland,TX
2018-05-01,42.0,59.0,0.0,0.0,5,2018,odessa midland,TX
2018-06-01,38.0,28.0,0.0,0.0,6,2018,odessa midland,TX
2018-07-01,37.0,0.0,0.0,0.0,7,2018,odessa midland,TX
2018-08-01,57.0,32.0,0.0,0.0,8,2018,odessa midland,TX
2018-09-01,63.0,55.0,0.0,0.0,9,2018,odessa midland,TX
2018-10-01,59.0,0.0,0.0,0.0,10,2018,odessa midland,TX
2018-11-01,45.0,0.0,0.0,0.0,11,2018,odessa midland,TX
2018-12-01,21.0,0.0,0.0,0.0,12,2018,odessa midland,TX
2019-01-01,47.44,0.0,0.0,0.0,1,2019,odessa midland,TX
2019-02-01,35.9,0.0,0.0,0.0,2,2019,odessa midland,TX
2019-03-01,32.05,0.0,0.0,0.0,3,2019,odessa midland,TX
2019-04-01,24.36,22.0,0.0,0.0,4,2019,odessa midland,TX
2019-05-01,24.36,24.0,0.0,0.0,5,2019,odessa midland,TX
2019-06-01,50.0,0.0,0.0,0.0,6,2019,odessa midland,TX
2019-07-01,33.33,0.0,0.0,0.0,7,2019,odessa midland,TX
2019-08-01,28.21,35.0,0.0,0.0,8,2019,odessa midland,TX
2019-09-01,49.36,15.0,27.7,0.0,9,2019,odessa midland,TX
2019-10-01,51.28,0.0,0.0,0.0,10,2019,odessa midland,TX
2019-11-01,32.05,21.0,0.0,0.0,11,2019,odessa midland,TX
2019-12-01,75.64,0.0,0.0,0.0,12,2019,odessa midland,TX
2020-01-01,59.04,0.0,0.0,25.35,1,2020,odessa midland,TX
2020-02-01,64.1,0.0,0.0,23.94,2,2020,odessa midland,TX
2020-03-01,99.53,17.39,0.0,0.0,3,2020,odessa midland,TX
2020-04-01,123.14,59.78,0.0,32.39,4,2020,odessa midland,TX
2020-05-01,141.7,28.26,0.0,67.61,5,2020,odessa midland,TX
2020-06-01,104.59,35.87,0.0,92.96,6,2020,odessa midland,TX
2020-07-01,104.59,0.0,0.0,40.85,7,2020,odessa midland,TX
2020-08-01,104.59,25.0,0.0,45.07,8,2020,odessa midland,TX
2020-09-01,94.47,40.22,0.0,38.03,9,2020,odessa midland,TX
2020-10-01,65.79,44.57,0.0,42.25,10,2020,odessa midland,TX
2020-11-01,107.96,32.61,0.0,0.0,11,2020,odessa midland,TX
2020-12-01,102.9,48.0,0.0,0.0,12,2020,odessa midland,TX
2021-01-01,116.79,48.0,0.0,0.0,1,2021,odessa midland,TX
2021-02-01,78.94,40.0,0.0,29.93,2,2021,odessa midland,TX
2021-03-01,101.65,0.0,0.0,49.3,3,2021,odessa midland,TX
2021-04-01,77.86,25.0,24.0,24.65,4,2021,odessa midland,TX
2021-05-01,77.86,29.0,0.0,31.69,5,2021,odessa midland,TX
2021-06-01,121.11,0.0,0.0,165.49,6,2021,odessa midland,TX
2021-07-01,121.11,24.0,24.0,105.63,7,2021,odessa midland,TX
2021-08-01,149.23,36.0,0.0,66.9,8,2021,odessa midland,TX
2021-09-01,118.95,33.0,0.0,45.77,9,2021,odessa midland,TX
2021-10-01,99.48,33.0,0.0,45.77,10,2021,odessa midland,TX
2021-11-01,121.11,30.0,22.0,45.77,11,2021,odessa midland,TX
2021-12-01,56.23,27.0,0.0,0.0,12,2021,odessa midland,TX
2022-01-01,67.0,0.0,0.0,10.0,1,2022,odessa midland,TX
2022-02-01,52.5,27.0,0.0,8.0,2,2022,odessa midland,TX
2022-03-01,45.0,27.0,0.0,9.0,3,2022,odessa midland,TX
2022-04-01,45.0,0.0,0.0,19.0,4,2022,odessa midland,TX
2022-05-01,54.0,26.0,0.0,6.0,5,2022,odessa midland,TX
2022-06-01,61.0,30.0,0.0,20.0,6,2022,odessa midland,TX
2022-07-01,60.0,36.0,0.0,16.0,7,2022,odessa midland,TX
2022-08-01,52.0,46.0,0.0,12.0,8,2022,odessa midland,TX
2022-09-01,51.0,19.0,0.0,18.0,9,2022,odessa midland,TX
2022-10-01,42.0,20.0,0.0,17.0,10,2022,odessa midland,TX
2022-11-01,44.0,31.0,0.0,19.0,11,2022,odessa midland,TX
2022-12-01,35.0,32.0,0.0,19.0,12,2022,odessa midland,TX
2023-01-01,43.0,0.0,inf,21.0,1,2023,odessa midland,TX
2023-02-01,43.5,33.97,inf,15.0,2,2023,odessa midland,TX
2023-03-01,37.0,115.49,inf,13.0,3,2023,odessa midland,TX
2023-04-01,35.0,105.3,inf,9.0,4,2023,odessa midland,TX
2023-05-01,44.0,74.73,inf,15.0,5,2023,odessa midland,TX
2023-06-01,35.0,139.27,inf,14.0,6,2023,odessa midland,TX
2023-07-01,40.0,142.66,inf,0.0,7,2023,odessa midland,TX
2023-08-01,41.0,74.73,inf,15.0,8,2023,odessa midland,TX
2023-09-01,26.0,139.27,inf,6.0,9,2023,odessa midland,TX
2023-10-01,23.0,142.66,inf,8.0,10,2023,odessa midland,TX
2023-11-01,44.0,149.46,inf,6.0,11,2023,odessa midland,TX
2023-12-01,41.0,88.32,inf,18.0,12,2023,odessa midland,TX
2024-01-01,32.0,105.3,inf,9.0,1,2024,odessa midland,TX
2024-02-01,8.0,0.0,,13.0,2,2024,odessa midland,TX
