date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,55.0,78.0,0.0,66.0,77.0,1,2018,sacramento stockton modesto,CA
2018-02-01,57.0,62.0,0.0,76.5,67.5,2,2018,sacramento stockton modesto,CA
2018-03-01,59.0,40.0,0.0,72.0,71.0,3,2018,sacramento stockton modesto,CA
2018-04-01,59.0,59.0,33.0,67.0,65.0,4,2018,sacramento stockton modesto,CA
2018-05-01,52.0,46.0,0.0,66.0,52.0,5,2018,sacramento stockton modesto,CA
2018-06-01,57.0,58.0,21.0,66.0,76.0,6,2018,sacramento stockton modesto,CA
2018-07-01,67.0,56.0,25.0,78.0,70.0,7,2018,sacramento stockton modesto,CA
2018-08-01,50.0,63.0,40.0,60.0,57.0,8,2018,sacramento stockton modesto,CA
2018-09-01,58.0,45.0,26.0,75.0,53.0,9,2018,sacramento stockton modesto,CA
2018-10-01,52.0,52.0,0.0,73.0,53.0,10,2018,sacramento stockton modesto,CA
2018-11-01,46.0,77.0,21.0,61.0,48.0,11,2018,sacramento stockton modesto,CA
2018-12-01,51.0,48.0,43.0,60.0,57.0,12,2018,sacramento stockton modesto,CA
2019-01-01,105.66,52.38,34.0,79.49,75.0,1,2019,sacramento stockton modesto,CA
2019-02-01,63.21,67.26,20.0,81.41,46.5,2,2019,sacramento stockton modesto,CA
2019-03-01,50.94,58.33,0.0,56.41,47.0,3,2019,sacramento stockton modesto,CA
2019-04-01,47.17,51.19,0.0,80.77,58.0,4,2019,sacramento stockton modesto,CA
2019-05-01,69.81,46.43,0.0,88.46,52.0,5,2019,sacramento stockton modesto,CA
2019-06-01,79.25,58.33,0.0,111.54,75.0,6,2019,sacramento stockton modesto,CA
2019-07-01,79.25,54.76,0.0,106.41,64.0,7,2019,sacramento stockton modesto,CA
2019-08-01,52.83,55.95,21.0,107.69,57.0,8,2019,sacramento stockton modesto,CA
2019-09-01,54.72,69.05,0.0,98.72,54.5,9,2019,sacramento stockton modesto,CA
2019-10-01,56.6,57.14,20.0,97.44,52.0,10,2019,sacramento stockton modesto,CA
2019-11-01,62.26,73.81,71.0,85.9,55.0,11,2019,sacramento stockton modesto,CA
2019-12-01,45.28,44.05,0.0,83.33,55.0,12,2019,sacramento stockton modesto,CA
2020-01-01,30.0,58.58,22.0,81.59,58.82,1,2020,sacramento stockton modesto,CA
2020-02-01,27.0,49.13,0.0,83.53,58.82,2,2020,sacramento stockton modesto,CA
2020-03-01,57.0,156.84,0.0,101.01,58.82,3,2020,sacramento stockton modesto,CA
2020-04-01,60.0,132.28,0.0,147.63,111.76,4,2020,sacramento stockton modesto,CA
2020-05-01,49.0,79.37,0.0,118.49,382.35,5,2020,sacramento stockton modesto,CA
2020-06-01,40.0,52.91,0.0,120.44,270.59,6,2020,sacramento stockton modesto,CA
2020-07-01,40.0,47.24,0.0,122.38,194.12,7,2020,sacramento stockton modesto,CA
2020-08-01,39.0,47.24,0.0,108.78,141.18,8,2020,sacramento stockton modesto,CA
2020-09-01,32.0,49.13,0.0,99.07,111.76,9,2020,sacramento stockton modesto,CA
2020-10-01,33.0,47.24,0.0,97.13,111.76,10,2020,sacramento stockton modesto,CA
2020-11-01,39.0,80.31,10.0,89.36,152.94,11,2020,sacramento stockton modesto,CA
2020-12-01,38.0,81.25,0.0,101.01,176.47,12,2020,sacramento stockton modesto,CA
2021-01-01,47.0,24.0,0.0,104.28,20.0,1,2021,sacramento stockton modesto,CA
2021-02-01,42.0,27.0,0.0,94.06,21.5,2,2021,sacramento stockton modesto,CA
2021-03-01,41.0,17.0,0.0,100.19,22.0,3,2021,sacramento stockton modesto,CA
2021-04-01,32.0,10.0,0.0,100.19,21.0,4,2021,sacramento stockton modesto,CA
2021-05-01,32.0,18.0,0.0,106.33,24.0,5,2021,sacramento stockton modesto,CA
2021-06-01,39.0,22.0,0.0,118.59,25.0,6,2021,sacramento stockton modesto,CA
