date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,32.0,0.0,0.0,0.0,1,2018,san angelo,TX
2018-02-01,39.0,0.0,0.0,11.0,2,2018,san angelo,TX
2018-03-01,0.0,0.0,36.0,0.0,3,2018,san angelo,TX
2018-04-01,43.0,0.0,0.0,0.0,4,2018,san angelo,TX
2018-05-01,0.0,0.0,0.0,0.0,5,2018,san angelo,TX
2018-06-01,0.0,0.0,0.0,0.0,6,2018,san angelo,TX
2018-07-01,58.0,0.0,0.0,0.0,7,2018,san angelo,TX
2018-08-01,0.0,0.0,0.0,0.0,8,2018,san angelo,TX
2018-09-01,0.0,0.0,0.0,0.0,9,2018,san angelo,TX
2018-10-01,21.0,0.0,0.0,20.0,10,2018,san angelo,TX
2018-11-01,0.0,0.0,0.0,24.0,11,2018,san angelo,TX
2018-12-01,32.0,0.0,0.0,26.0,12,2018,san angelo,TX
2019-01-01,63.33,0.0,0.0,26.0,1,2019,san angelo,TX
2019-02-01,62.22,0.0,0.0,0.0,2,2019,san angelo,TX
2019-03-01,0.0,55.42,0.0,0.0,3,2019,san angelo,TX
2019-04-01,26.67,0.0,0.0,0.0,4,2019,san angelo,TX
2019-05-01,23.33,0.0,0.0,0.0,5,2019,san angelo,TX
2019-06-01,24.44,0.0,0.0,0.0,6,2019,san angelo,TX
2019-07-01,0.0,0.0,0.0,0.0,7,2019,san angelo,TX
2019-08-01,0.0,0.0,0.0,0.0,8,2019,san angelo,TX
2019-09-01,38.89,0.0,0.0,0.0,9,2019,san angelo,TX
2019-10-01,0.0,0.0,0.0,0.0,10,2019,san angelo,TX
2019-11-01,28.89,0.0,0.0,0.0,11,2019,san angelo,TX
2019-12-01,0.0,0.0,0.0,0.0,12,2019,san angelo,TX
2020-01-01,18.0,0.0,0.0,0.0,1,2020,san angelo,TX
2020-02-01,31.0,0.0,0.0,0.0,2,2020,san angelo,TX
2020-03-01,30.0,0.0,0.0,0.0,3,2020,san angelo,TX
2020-04-01,45.0,44.02,0.0,0.0,4,2020,san angelo,TX
2020-05-01,39.0,0.0,0.0,0.0,5,2020,san angelo,TX
2020-06-01,46.0,0.0,0.0,20.0,6,2020,san angelo,TX
2020-07-01,45.0,37.07,0.0,0.0,7,2020,san angelo,TX
2020-08-01,31.0,0.0,0.0,14.0,8,2020,san angelo,TX
2020-09-01,30.0,0.0,0.0,0.0,9,2020,san angelo,TX
2020-10-01,51.0,46.34,0.0,29.0,10,2020,san angelo,TX
2020-11-01,34.5,23.17,0.0,0.0,11,2020,san angelo,TX
2020-12-01,26.0,18.0,0.0,30.59,12,2020,san angelo,TX
2021-01-01,33.0,0.0,0.0,16.82,1,2021,san angelo,TX
2021-02-01,37.0,0.0,0.0,15.29,2,2021,san angelo,TX
2021-03-01,0.0,0.0,0.0,0.0,3,2021,san angelo,TX
2021-04-01,28.0,0.0,0.0,0.0,4,2021,san angelo,TX
2021-05-01,37.0,21.0,0.0,22.94,5,2021,san angelo,TX
2021-06-01,62.0,0.0,0.0,47.41,6,2021,san angelo,TX
2021-07-01,69.0,0.0,0.0,29.06,7,2021,san angelo,TX
2021-08-01,49.0,0.0,0.0,21.41,8,2021,san angelo,TX
2021-09-01,20.0,0.0,0.0,18.35,9,2021,san angelo,TX
2021-10-01,0.0,0.0,0.0,26.0,10,2021,san angelo,TX
2021-11-01,0.0,0.0,0.0,0.0,11,2021,san angelo,TX
2021-12-01,40.0,0.0,0.0,0.0,12,2021,san angelo,TX
2022-01-01,0.0,0.0,0.0,0.0,1,2022,san angelo,TX
2022-02-01,55.06,0.0,0.0,5.0,2,2022,san angelo,TX
2022-03-01,44.47,0.0,0.0,14.0,3,2022,san angelo,TX
2022-04-01,48.71,0.0,0.0,14.0,4,2022,san angelo,TX
2022-05-01,55.06,16.0,0.0,0.0,5,2022,san angelo,TX
2022-06-01,73.06,16.0,0.0,0.0,6,2022,san angelo,TX
2022-07-01,29.65,22.0,0.0,0.0,7,2022,san angelo,TX
2022-08-01,42.35,0.0,0.0,10.0,8,2022,san angelo,TX
2022-09-01,76.24,24.0,0.0,13.0,9,2022,san angelo,TX
2022-10-01,28.59,0.0,22.0,12.0,10,2022,san angelo,TX
2022-11-01,34.94,0.0,0.0,0.0,11,2022,san angelo,TX
2022-12-01,47.65,18.0,0.0,16.0,12,2022,san angelo,TX
2023-01-01,39.55,0.0,0.0,16.0,1,2023,san angelo,TX
2023-02-01,19.24,0.0,0.0,0.0,2,2023,san angelo,TX
2023-03-01,29.93,0.0,0.0,0.0,3,2023,san angelo,TX
2023-04-01,29.93,0.0,0.0,0.0,4,2023,san angelo,TX
2023-05-01,45.97,246.64,0.0,0.0,5,2023,san angelo,TX
2023-06-01,45.97,0.0,0.0,0.0,6,2023,san angelo,TX
2023-07-01,28.86,0.0,0.0,0.0,7,2023,san angelo,TX
2023-08-01,27.79,239.17,0.0,0.0,8,2023,san angelo,TX
2023-09-01,0.0,156.96,0.0,0.0,9,2023,san angelo,TX
2023-10-01,17.1,179.38,0.0,17.0,10,2023,san angelo,TX
2023-11-01,38.48,0.0,0.0,17.0,11,2023,san angelo,TX
2023-12-01,31.0,0.0,0.0,17.0,12,2023,san angelo,TX
2024-01-01,28.86,0.0,0.0,0.0,1,2024,san angelo,TX
2024-02-01,40.62,0.0,0.0,22.0,2,2024,san angelo,TX
