date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,43.0,0.0,0.0,0.0,33.0,1,2018,yuma az el centro,CA
2018-02-01,51.0,0.0,0.0,0.0,26.0,2,2018,yuma az el centro,CA
2018-03-01,21.0,0.0,0.0,0.0,28.0,3,2018,yuma az el centro,CA
2018-04-01,39.0,0.0,0.0,0.0,30.0,4,2018,yuma az el centro,CA
2018-05-01,60.0,0.0,0.0,0.0,0.0,5,2018,yuma az el centro,CA
2018-06-01,47.0,0.0,0.0,0.0,34.0,6,2018,yuma az el centro,CA
2018-07-01,47.0,0.0,0.0,46.0,0.0,7,2018,yuma az el centro,CA
2018-08-01,30.0,0.0,0.0,0.0,0.0,8,2018,yuma az el centro,CA
2018-09-01,27.0,0.0,0.0,0.0,52.0,9,2018,yuma az el centro,CA
2018-10-01,39.0,0.0,0.0,0.0,20.0,10,2018,yuma az el centro,CA
2018-11-01,30.0,0.0,0.0,0.0,0.0,11,2018,yuma az el centro,CA
2018-12-01,30.0,0.0,0.0,0.0,0.0,12,2018,yuma az el centro,CA
2019-01-01,95.45,49.28,0.0,0.0,32.86,1,2019,yuma az el centro,CA
2019-02-01,0.0,0.0,0.0,17.93,0.0,2,2019,yuma az el centro,CA
2019-03-01,50.0,0.0,0.0,0.0,0.0,3,2019,yuma az el centro,CA
2019-04-01,37.5,0.0,0.0,0.0,24.29,4,2019,yuma az el centro,CA
2019-05-01,37.5,0.0,0.0,0.0,24.29,5,2019,yuma az el centro,CA
2019-06-01,27.27,0.0,0.0,0.0,24.29,6,2019,yuma az el centro,CA
2019-07-01,0.0,36.23,0.0,0.0,40.0,7,2019,yuma az el centro,CA
2019-08-01,56.82,0.0,0.0,0.0,0.0,8,2019,yuma az el centro,CA
2019-09-01,23.86,0.0,0.0,0.0,35.71,9,2019,yuma az el centro,CA
2019-10-01,37.5,0.0,0.0,0.0,35.71,10,2019,yuma az el centro,CA
2019-11-01,43.18,0.0,0.0,0.0,0.0,11,2019,yuma az el centro,CA
2019-12-01,40.91,0.0,0.0,0.0,0.0,12,2019,yuma az el centro,CA
2020-01-01,31.87,0.0,0.0,0.0,0.0,1,2020,yuma az el centro,CA
2020-02-01,34.65,21.0,41.48,0.0,38.1,2,2020,yuma az el centro,CA
2020-03-01,54.05,21.0,0.0,0.0,19.05,3,2020,yuma az el centro,CA
