date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,17.0,17.0,15.0,,
2018-01-14,18.0,18.0,17.0,,
2018-01-21,29.0,29.0,27.0,,
2018-01-28,16.0,16.0,14.0,,
2018-02-04,0.0,0.0,0.0,,
2018-02-11,42.0,42.0,38.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,0.0,0.0,0.0,,
2018-03-04,49.0,49.0,45.0,,
2018-03-11,100.0,100.0,91.0,,
2018-03-18,78.0,78.0,72.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,59.0,59.0,54.0,,
2018-04-08,21.0,21.0,19.0,,
2018-04-15,0.0,0.0,0.0,,
2018-04-22,44.0,44.0,40.0,,
2018-04-29,16.0,16.0,15.0,,
2018-05-06,69.0,69.0,63.0,,
2018-05-13,40.0,40.0,36.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,23.0,23.0,21.0,,
2018-06-03,0.0,0.0,0.0,,
2018-06-10,32.0,32.0,29.0,,
2018-06-17,77.0,77.0,70.0,,
2018-06-24,28.0,28.0,25.0,,
2018-07-01,33.0,33.0,30.0,,
2018-07-08,17.0,17.0,15.0,,
2018-07-15,37.0,37.0,34.0,,
2018-07-22,49.0,49.0,45.0,,
2018-07-29,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-12,38.0,38.0,34.0,,
2018-08-19,33.0,33.0,30.0,,
2018-08-26,40.0,40.0,37.0,,
2018-09-02,37.0,37.0,34.0,,
2018-09-09,29.0,29.0,26.0,,
2018-09-16,53.0,53.0,48.0,,
2018-09-23,23.0,23.0,21.0,,
2018-09-30,42.0,42.0,38.0,,
2018-10-07,44.0,44.0,40.0,,
2018-10-14,37.0,37.0,34.0,,
2018-10-21,0.0,0.0,0.0,,
2018-10-28,45.0,45.0,41.0,,
2018-11-04,0.0,0.0,0.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,24.0,24.0,22.0,,
2018-11-25,37.0,37.0,33.0,,
2018-12-02,61.0,61.0,56.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,0.0,0.0,0.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,0.0,0.0,0.0,,
2019-01-06,,54.0,49.0,38.0,
2019-01-13,,42.0,38.0,30.0,
2019-01-20,,0.0,0.0,0.0,
2019-01-27,,20.0,19.0,14.0,
2019-02-03,,24.0,22.0,17.0,
2019-02-10,,24.0,22.0,17.0,
2019-02-17,,0.0,0.0,0.0,
2019-02-24,,0.0,0.0,0.0,
2019-03-03,,0.0,0.0,0.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,26.0,24.0,19.0,
2019-03-31,,0.0,0.0,0.0,
2019-04-07,,32.0,29.0,23.0,
2019-04-14,,45.0,41.0,32.0,
2019-04-21,,78.0,71.0,55.0,
2019-04-28,,53.0,48.0,37.0,
2019-05-05,,38.0,34.0,27.0,
2019-05-12,,30.0,27.0,21.0,
2019-05-19,,36.0,32.0,25.0,
2019-05-26,,0.0,0.0,0.0,
2019-06-02,,52.0,47.0,37.0,
2019-06-09,,27.0,25.0,19.0,
2019-06-16,,60.0,55.0,43.0,
2019-06-23,,16.0,15.0,11.0,
2019-06-30,,21.0,19.0,15.0,
2019-07-07,,25.0,23.0,18.0,
2019-07-14,,23.0,21.0,16.0,
2019-07-21,,24.0,22.0,17.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,51.0,47.0,36.0,
2019-08-11,,34.0,31.0,24.0,
2019-08-18,,56.0,51.0,40.0,
2019-08-25,,24.0,22.0,17.0,
2019-09-01,,18.0,17.0,13.0,
2019-09-08,,0.0,0.0,0.0,
2019-09-15,,0.0,0.0,0.0,
2019-09-22,,17.0,16.0,12.0,
2019-09-29,,0.0,0.0,0.0,
2019-10-06,,55.0,50.0,39.0,
