date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,65.0,45.0,32.0,,
2018-01-14,39.0,27.0,20.0,,
2018-01-21,58.0,40.0,29.0,,
2018-01-28,69.0,47.0,34.0,,
2018-02-04,68.0,47.0,34.0,,
2018-02-11,37.0,25.0,18.0,,
2018-02-18,60.0,41.0,30.0,,
2018-02-25,42.0,29.0,21.0,,
2018-03-04,58.0,40.0,29.0,,
2018-03-11,47.0,32.0,24.0,,
2018-03-18,16.0,11.0,8.0,,
2018-03-25,54.0,37.0,27.0,,
2018-04-01,72.0,50.0,36.0,,
2018-04-08,48.0,33.0,24.0,,
2018-04-15,30.0,21.0,15.0,,
2018-04-22,55.0,38.0,27.0,,
2018-04-29,24.0,16.0,12.0,,
2018-05-06,54.0,37.0,27.0,,
2018-05-13,41.0,28.0,21.0,,
2018-05-20,75.0,52.0,37.0,,
2018-05-27,55.0,38.0,28.0,,
2018-06-03,60.0,41.0,30.0,,
2018-06-10,41.0,28.0,21.0,,
2018-06-17,58.0,40.0,29.0,,
2018-06-24,33.0,23.0,16.0,,
2018-07-01,47.0,32.0,24.0,,
2018-07-08,83.0,57.0,42.0,,
2018-07-15,58.0,40.0,29.0,,
2018-07-22,64.0,44.0,32.0,,
2018-07-29,100.0,69.0,50.0,,
2018-08-05,61.0,42.0,31.0,,
2018-08-12,49.0,34.0,25.0,,
2018-08-19,75.0,52.0,37.0,,
2018-08-26,88.0,60.0,44.0,,
2018-09-02,72.0,49.0,36.0,,
2018-09-09,59.0,41.0,30.0,,
2018-09-16,82.0,56.0,41.0,,
2018-09-23,66.0,45.0,33.0,,
2018-09-30,86.0,59.0,43.0,,
2018-10-07,61.0,42.0,30.0,,
2018-10-14,76.0,52.0,38.0,,
2018-10-21,45.0,31.0,23.0,,
2018-10-28,56.0,39.0,28.0,,
2018-11-04,49.0,34.0,24.0,,
2018-11-11,24.0,16.0,12.0,,
2018-11-18,77.0,53.0,38.0,,
2018-11-25,41.0,28.0,20.0,,
2018-12-02,69.0,48.0,35.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,38.0,26.0,19.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,41.0,28.0,20.0,,
2019-01-06,,57.0,41.0,34.0,
2019-01-13,,96.0,70.0,57.0,
2019-01-20,,35.0,25.0,21.0,
2019-01-27,,20.0,14.0,12.0,
2019-02-03,,37.0,27.0,22.0,
