date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,69.0,51.0,9.0,,
2018-01-14,68.0,50.0,9.0,,
2018-01-21,39.0,29.0,5.0,,
2018-01-28,60.0,44.0,8.0,,
2018-02-04,53.0,39.0,7.0,,
2018-02-11,66.0,48.0,9.0,,
2018-02-18,47.0,35.0,7.0,,
2018-02-25,42.0,31.0,6.0,,
2018-03-04,79.0,58.0,11.0,,
2018-03-11,77.0,57.0,11.0,,
2018-03-18,32.0,23.0,4.0,,
2018-03-25,35.0,26.0,5.0,,
2018-04-01,64.0,47.0,9.0,,
2018-04-08,75.0,55.0,10.0,,
2018-04-15,27.0,20.0,4.0,,
2018-04-22,49.0,36.0,7.0,,
2018-04-29,51.0,38.0,7.0,,
2018-05-06,61.0,45.0,8.0,,
2018-05-13,46.0,33.0,6.0,,
2018-05-20,43.0,31.0,6.0,,
2018-05-27,49.0,36.0,7.0,,
2018-06-03,69.0,51.0,10.0,,
2018-06-10,78.0,57.0,11.0,,
2018-06-17,50.0,37.0,7.0,,
2018-06-24,82.0,61.0,11.0,,
2018-07-01,59.0,43.0,8.0,,
2018-07-08,61.0,45.0,8.0,,
2018-07-15,48.0,35.0,7.0,,
2018-07-22,63.0,47.0,9.0,,
2018-07-29,80.0,59.0,11.0,,
2018-08-05,85.0,63.0,12.0,,
2018-08-12,64.0,47.0,9.0,,
2018-08-19,57.0,42.0,8.0,,
2018-08-26,54.0,40.0,7.0,,
2018-09-02,71.0,52.0,10.0,,
2018-09-09,74.0,54.0,10.0,,
2018-09-16,49.0,36.0,7.0,,
2018-09-23,38.0,28.0,5.0,,
2018-09-30,72.0,53.0,10.0,,
2018-10-07,95.0,70.0,13.0,,
2018-10-14,48.0,35.0,7.0,,
2018-10-21,53.0,39.0,7.0,,
2018-10-28,54.0,40.0,7.0,,
2018-11-04,100.0,74.0,14.0,,
2018-11-11,67.0,50.0,9.0,,
2018-11-18,51.0,38.0,7.0,,
2018-11-25,62.0,45.0,8.0,,
2018-12-02,83.0,61.0,11.0,,
2018-12-09,77.0,56.0,11.0,,
2018-12-16,41.0,30.0,6.0,,
2018-12-23,53.0,39.0,7.0,,
2018-12-30,57.0,42.0,8.0,,
2019-01-06,,71.0,13.0,7.0,
2019-01-13,,100.0,19.0,10.0,
2019-01-20,,81.0,15.0,8.0,
2019-01-27,,38.0,7.0,4.0,
2019-02-03,,39.0,7.0,4.0,
2019-02-10,,44.0,8.0,4.0,
2019-02-17,,41.0,8.0,4.0,
2019-02-24,,47.0,9.0,4.0,
2019-03-03,,59.0,11.0,6.0,
2019-03-10,,48.0,9.0,5.0,
2019-03-17,,27.0,5.0,3.0,
2019-03-24,,49.0,9.0,5.0,
2019-03-31,,53.0,10.0,5.0,
2019-04-07,,54.0,10.0,5.0,
2019-04-14,,37.0,7.0,4.0,
2019-04-21,,30.0,6.0,3.0,
2019-04-28,,50.0,9.0,5.0,
2019-05-05,,55.0,10.0,5.0,
2019-05-12,,45.0,8.0,4.0,
2019-05-19,,45.0,8.0,4.0,
2019-05-26,,33.0,6.0,3.0,
2019-06-02,,64.0,12.0,6.0,
2019-06-09,,69.0,13.0,7.0,
2019-06-16,,57.0,11.0,5.0,
2019-06-23,,57.0,11.0,5.0,
2019-06-30,,52.0,10.0,5.0,
2019-07-07,,56.0,11.0,5.0,
2019-07-14,,79.0,15.0,8.0,
2019-07-21,,38.0,7.0,4.0,
2019-07-28,,56.0,11.0,5.0,
2019-08-04,,56.0,11.0,5.0,
2019-08-11,,71.0,13.0,7.0,
2019-08-18,,48.0,9.0,5.0,
2019-08-25,,41.0,8.0,4.0,
2019-09-01,,62.0,12.0,6.0,
2019-09-08,,60.0,11.0,6.0,
2019-09-15,,37.0,7.0,3.0,
2019-09-22,,26.0,5.0,2.0,
2019-09-29,,69.0,13.0,7.0,
2019-10-06,,45.0,8.0,4.0,
2019-10-13,,49.0,9.0,5.0,
2019-10-20,,47.0,9.0,4.0,
2019-10-27,,52.0,10.0,5.0,
2019-11-03,,49.0,9.0,5.0,
2019-11-10,,62.0,12.0,6.0,
2019-11-17,,47.0,9.0,4.0,
2019-11-24,,31.0,6.0,3.0,
2019-12-01,,52.0,10.0,5.0,
2019-12-08,,71.0,13.0,7.0,
2019-12-15,,45.0,8.0,4.0,
2019-12-22,,34.0,6.0,3.0,
2019-12-29,,36.0,7.0,3.0,
2020-01-05,,,11.0,5.0,5.0
2020-01-12,,,12.0,6.0,6.0
2020-01-19,,,10.0,5.0,5.0
2020-01-26,,,6.0,3.0,3.0
2020-02-02,,,7.0,4.0,4.0
2020-02-09,,,13.0,7.0,7.0
2020-02-16,,,5.0,2.0,2.0
2020-02-23,,,9.0,4.0,4.0
2020-03-01,,,9.0,4.0,4.0
