date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,87.0,76.0,16.0,,
2018-01-14,58.0,51.0,11.0,,
2018-01-21,62.0,54.0,12.0,,
2018-01-28,95.0,83.0,18.0,,
2018-02-04,86.0,75.0,16.0,,
2018-02-11,77.0,68.0,14.0,,
2018-02-18,53.0,46.0,10.0,,
2018-02-25,79.0,69.0,15.0,,
2018-03-04,93.0,81.0,17.0,,
2018-03-11,76.0,67.0,14.0,,
2018-03-18,56.0,49.0,10.0,,
2018-03-25,75.0,65.0,14.0,,
2018-04-01,100.0,87.0,19.0,,
2018-04-08,87.0,76.0,16.0,,
2018-04-15,54.0,47.0,10.0,,
2018-04-22,41.0,36.0,8.0,,
2018-04-29,66.0,58.0,12.0,,
2018-05-06,84.0,74.0,16.0,,
2018-05-13,57.0,50.0,11.0,,
2018-05-20,60.0,52.0,11.0,,
2018-05-27,29.0,26.0,5.0,,
2018-06-03,92.0,81.0,17.0,,
2018-06-10,93.0,82.0,17.0,,
2018-06-17,79.0,69.0,15.0,,
2018-06-24,74.0,64.0,14.0,,
2018-07-01,100.0,88.0,19.0,,
2018-07-08,76.0,67.0,14.0,,
2018-07-15,64.0,56.0,12.0,,
2018-07-22,47.0,41.0,9.0,,
2018-07-29,88.0,78.0,17.0,,
2018-08-05,80.0,70.0,15.0,,
2018-08-12,47.0,41.0,9.0,,
2018-08-19,66.0,58.0,12.0,,
2018-08-26,49.0,43.0,9.0,,
2018-09-02,88.0,77.0,16.0,,
2018-09-09,65.0,57.0,12.0,,
2018-09-16,57.0,50.0,11.0,,
2018-09-23,50.0,44.0,9.0,,
2018-09-30,65.0,57.0,12.0,,
2018-10-07,65.0,57.0,12.0,,
2018-10-14,62.0,54.0,12.0,,
2018-10-21,42.0,37.0,8.0,,
2018-10-28,50.0,44.0,9.0,,
2018-11-04,65.0,57.0,12.0,,
2018-11-11,64.0,56.0,12.0,,
2018-11-18,45.0,39.0,8.0,,
2018-11-25,39.0,34.0,7.0,,
2018-12-02,67.0,59.0,12.0,,
2018-12-09,66.0,58.0,12.0,,
2018-12-16,61.0,54.0,11.0,,
2018-12-23,34.0,30.0,6.0,,
2018-12-30,75.0,66.0,14.0,,
2019-01-06,,83.0,18.0,18.0,
2019-01-13,,100.0,21.0,21.0,
2019-01-20,,62.0,13.0,13.0,
2019-01-27,,52.0,11.0,11.0,
2019-02-03,,55.0,12.0,12.0,
2019-02-10,,42.0,9.0,9.0,
2019-02-17,,41.0,9.0,9.0,
2019-02-24,,47.0,10.0,10.0,
2019-03-03,,58.0,12.0,12.0,
2019-03-10,,43.0,9.0,9.0,
2019-03-17,,47.0,10.0,10.0,
2019-03-24,,27.0,6.0,6.0,
2019-03-31,,50.0,11.0,11.0,
2019-04-07,,59.0,13.0,13.0,
2019-04-14,,63.0,13.0,13.0,
2019-04-21,,35.0,7.0,7.0,
2019-04-28,,44.0,9.0,9.0,
2019-05-05,,62.0,13.0,13.0,
2019-05-12,,59.0,13.0,13.0,
2019-05-19,,59.0,12.0,12.0,
2019-05-26,,42.0,9.0,9.0,
2019-06-02,,68.0,14.0,14.0,
2019-06-09,,57.0,12.0,12.0,
2019-06-16,,59.0,13.0,13.0,
2019-06-23,,59.0,13.0,13.0,
2019-06-30,,65.0,14.0,14.0,
2019-07-07,,90.0,19.0,19.0,
2019-07-14,,71.0,15.0,15.0,
2019-07-21,,27.0,6.0,6.0,
2019-07-28,,71.0,15.0,15.0,
2019-08-04,,71.0,15.0,15.0,
2019-08-11,,90.0,19.0,19.0,
2019-08-18,,76.0,16.0,16.0,
2019-08-25,,37.0,8.0,8.0,
2019-09-01,,80.0,17.0,17.0,
2019-09-08,,71.0,15.0,15.0,
2019-09-15,,46.0,10.0,10.0,
2019-09-22,,48.0,10.0,10.0,
2019-09-29,,60.0,13.0,13.0,
2019-10-06,,80.0,17.0,17.0,
2019-10-13,,63.0,13.0,13.0,
2019-10-20,,47.0,10.0,10.0,
2019-10-27,,54.0,12.0,12.0,
2019-11-03,,65.0,14.0,14.0,
2019-11-10,,56.0,12.0,12.0,
2019-11-17,,54.0,12.0,12.0,
2019-11-24,,42.0,9.0,9.0,
2019-12-01,,56.0,12.0,12.0,
2019-12-08,,68.0,15.0,15.0,
2019-12-15,,48.0,10.0,10.0,
2019-12-22,,47.0,10.0,10.0,
2019-12-29,,69.0,15.0,15.0,
2020-01-05,,,15.0,15.0,15.0
2020-01-12,,,13.0,13.0,13.0
2020-01-19,,,8.0,8.0,8.0
2020-01-26,,,11.0,11.0,11.0
2020-02-02,,,15.0,15.0,15.0
2020-02-09,,,14.0,14.0,14.0
2020-02-16,,,8.0,8.0,8.0
2020-02-23,,,10.0,10.0,10.0
2020-03-01,,,12.0,12.0,12.0
2020-03-08,,,13.0,13.0,13.0
2020-03-15,,,12.0,12.0,12.0
2020-03-22,,,13.0,13.0,13.0
2020-03-29,,,22.0,22.0,22.0
2020-04-05,,,28.0,28.0,28.0
2020-04-12,,,31.0,31.0,31.0
2020-04-19,,,29.0,29.0,29.0
2020-04-26,,,30.0,30.0,30.0
2020-05-03,,,47.0,47.0,47.0
2020-05-10,,,53.0,53.0,53.0
2020-05-17,,,87.0,87.0,87.0
2020-05-24,,,100.0,100.0,100.0
2020-05-31,,,62.0,62.0,62.0
2020-06-07,,,76.0,76.0,76.0
2020-06-14,,,55.0,55.0,55.0
2020-06-21,,,50.0,50.0,50.0
2020-06-28,,,46.0,46.0,46.0
2020-07-05,,,51.0,51.0,51.0
2020-07-12,,,38.0,38.0,38.0
2020-07-19,,,33.0,33.0,33.0
2020-07-26,,,32.0,32.0,32.0
2020-08-02,,,34.0,34.0,34.0
2020-08-09,,,34.0,34.0,34.0
2020-08-16,,,28.0,28.0,28.0
2020-08-23,,,22.0,22.0,22.0
2020-08-30,,,23.0,23.0,23.0
2020-09-06,,,24.0,24.0,24.0
2020-09-13,,,24.0,24.0,24.0
2020-09-20,,,24.0,24.0,24.0
2020-09-27,,,22.0,22.0,22.0
2020-10-04,,,26.0,26.0,26.0
2020-10-11,,,28.0,28.0,28.0
2020-10-18,,,29.0,29.0,29.0
2020-10-25,,,17.0,17.0,17.0
2020-11-01,,,24.0,24.0,24.0
2020-11-08,,,32.0,32.0,32.0
2020-11-15,,,44.0,44.0,44.0
2020-11-22,,,28.0,28.0,28.0
2020-11-29,,,35.0,35.0,35.0
2020-12-06,,,33.0,33.0,33.0
2020-12-13,,,41.0,41.0,41.0
2020-12-20,,,30.0,30.0,30.0
2020-12-27,,,23.0,23.0,23.0
2021-01-03,,,,31.0,31.0
2021-01-10,,,,34.0,34.0
2021-01-17,,,,26.0,26.0
2021-01-24,,,,25.0,25.0
2021-01-31,,,,24.0,24.0
2021-02-07,,,,31.0,31.0
2021-02-14,,,,29.0,29.0
2021-02-21,,,,22.0,22.0
2021-02-28,,,,34.0,34.0
2021-03-07,,,,37.0,37.0
2021-03-14,,,,22.0,22.0
2021-03-21,,,,23.0,23.0
2021-03-28,,,,27.0,27.0
2021-04-04,,,,30.0,30.0
2021-04-11,,,,26.0,26.0
2021-04-18,,,,26.0,26.0
2021-04-25,,,,25.0,25.0
2021-05-02,,,,27.0,27.0
2021-05-09,,,,31.0,31.0
2021-05-16,,,,33.0,33.0
2021-05-23,,,,36.0,36.0
2021-05-30,,,,29.0,29.0
2021-06-06,,,,30.0,30.0
2021-06-13,,,,32.0,32.0
2021-06-20,,,,24.0,24.0
2021-06-27,,,,28.0,28.0
2021-07-04,,,,43.0,43.0
2021-07-11,,,,44.0,44.0
2021-07-18,,,,40.0,40.0
2021-07-25,,,,25.0,25.0
2021-08-01,,,,35.0,35.0
2021-08-08,,,,38.0,38.0
2021-08-15,,,,37.0,37.0
2021-08-22,,,,29.0,29.0
2021-08-29,,,,41.0,41.0
2021-09-05,,,,60.0,60.0
2021-09-12,,,,51.0,51.0
2021-09-19,,,,41.0,41.0
2021-09-26,,,,41.0,41.0
2021-10-03,,,,46.0,46.0
2021-10-10,,,,52.0,52.0
2021-10-17,,,,48.0,48.0
2021-10-24,,,,54.0,54.0
2021-10-31,,,,69.0,69.0
2021-11-07,,,,60.0,60.0
2021-11-14,,,,65.0,65.0
2021-11-21,,,,46.0,46.0
2021-11-28,,,,50.0,50.0
2021-12-05,,,,58.0,58.0
2021-12-12,,,,52.0,52.0
2021-12-19,,,,42.0,42.0
2021-12-26,,,,44.0,44.0
2022-01-02,,,,,46.0
2022-01-09,,,,,46.0
2022-01-16,,,,,51.0
2022-01-23,,,,,44.0
2022-01-30,,,,,54.0
2022-02-06,,,,,52.0
2022-02-13,,,,,47.0
2022-02-20,,,,,39.0
2022-02-27,,,,,44.0
2022-03-06,,,,,44.0
2022-03-13,,,,,34.0
2022-03-20,,,,,40.0
2022-03-27,,,,,31.0
2022-04-03,,,,,38.0
2022-04-10,,,,,36.0
2022-04-17,,,,,34.0
2022-04-24,,,,,29.0
2022-05-01,,,,,29.0
2022-05-08,,,,,37.0
2022-05-15,,,,,44.0
2022-05-22,,,,,35.0
2022-05-29,,,,,37.0
2022-06-05,,,,,49.0
2022-06-12,,,,,37.0
2022-06-19,,,,,37.0
2022-06-26,,,,,37.0
2022-07-03,,,,,39.0
2022-07-10,,,,,43.0
2022-07-17,,,,,54.0
2022-07-24,,,,,36.0
2022-07-31,,,,,42.0
2022-08-07,,,,,33.0
2022-08-14,,,,,40.0
2022-08-21,,,,,40.0
2022-08-28,,,,,41.0
2022-09-04,,,,,43.0
2022-09-11,,,,,37.0
2022-09-18,,,,,38.0
2022-09-25,,,,,38.0
2022-10-02,,,,,53.0
2022-10-09,,,,,50.0
2022-10-16,,,,,44.0
2022-10-23,,,,,42.0
2022-10-30,,,,,48.0
2022-11-06,,,,,55.0
2022-11-13,,,,,49.0
2022-11-20,,,,,45.0
2022-11-27,,,,,47.0
2022-12-04,,,,,59.0
2022-12-11,,,,,56.0
2022-12-18,,,,,74.0
2022-12-25,,,,,49.0
2023-01-01,,,,,55.0
