date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,20.0,20.0,20.0,,
2018-01-14,0.0,0.0,0.0,,
2018-01-21,39.0,39.0,39.0,,
2018-01-28,0.0,0.0,0.0,,
2018-02-04,59.0,59.0,59.0,,
2018-02-11,33.0,33.0,33.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,21.0,21.0,21.0,,
2018-03-04,24.0,24.0,24.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,22.0,22.0,22.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,75.0,75.0,75.0,,
2018-04-08,0.0,0.0,0.0,,
2018-04-15,36.0,36.0,36.0,,
2018-04-22,67.0,67.0,67.0,,
2018-04-29,18.0,18.0,18.0,,
2018-05-06,22.0,22.0,22.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,22.0,22.0,22.0,,
2018-05-27,54.0,54.0,54.0,,
2018-06-03,53.0,53.0,53.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,46.0,46.0,46.0,,
2018-06-24,31.0,31.0,31.0,,
2018-07-01,17.0,17.0,17.0,,
2018-07-08,17.0,17.0,17.0,,
2018-07-15,34.0,34.0,34.0,,
2018-07-22,100.0,100.0,100.0,,
2018-07-29,17.0,17.0,17.0,,
2018-08-05,28.0,28.0,28.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,33.0,33.0,33.0,,
2018-08-26,37.0,37.0,37.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-09,57.0,57.0,57.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,18.0,18.0,18.0,,
2018-09-30,41.0,41.0,41.0,,
2018-10-07,57.0,57.0,57.0,,
2018-10-14,18.0,18.0,18.0,,
2018-10-21,23.0,23.0,23.0,,
2018-10-28,37.0,37.0,37.0,,
2018-11-04,69.0,69.0,69.0,,
2018-11-11,76.0,76.0,76.0,,
2018-11-18,72.0,72.0,72.0,,
2018-11-25,70.0,70.0,70.0,,
2018-12-02,31.0,31.0,31.0,,
2018-12-09,53.0,53.0,53.0,,
2018-12-16,0.0,0.0,0.0,,
2018-12-23,45.0,45.0,45.0,,
2018-12-30,41.0,41.0,41.0,,
2019-01-06,,53.0,53.0,55.0,
2019-01-13,,46.0,46.0,48.0,
2019-01-20,,39.0,39.0,41.0,
2019-01-27,,31.0,31.0,33.0,
2019-02-03,,78.0,78.0,82.0,
2019-02-10,,32.0,32.0,33.0,
2019-02-17,,20.0,20.0,21.0,
2019-02-24,,0.0,0.0,0.0,
2019-03-03,,31.0,31.0,32.0,
2019-03-10,,29.0,29.0,30.0,
2019-03-17,,47.0,47.0,49.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,17.0,17.0,18.0,
2019-04-07,,23.0,23.0,24.0,
2019-04-14,,17.0,17.0,18.0,
2019-04-21,,33.0,33.0,34.0,
2019-04-28,,33.0,33.0,35.0,
2019-05-05,,40.0,40.0,42.0,
2019-05-12,,22.0,22.0,23.0,
2019-05-19,,16.0,16.0,17.0,
2019-05-26,,54.0,54.0,57.0,
2019-06-02,,27.0,27.0,28.0,
2019-06-09,,0.0,0.0,0.0,
2019-06-16,,13.0,13.0,14.0,
2019-06-23,,0.0,0.0,0.0,
2019-06-30,,33.0,33.0,34.0,
2019-07-07,,27.0,27.0,29.0,
2019-07-14,,50.0,50.0,53.0,
2019-07-21,,0.0,0.0,0.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,0.0,0.0,0.0,
2019-08-11,,0.0,0.0,0.0,
2019-08-18,,37.0,37.0,38.0,
2019-08-25,,22.0,22.0,23.0,
2019-09-01,,17.0,17.0,18.0,
2019-09-08,,0.0,0.0,0.0,
2019-09-15,,17.0,17.0,18.0,
2019-09-22,,21.0,21.0,22.0,
2019-09-29,,27.0,27.0,28.0,
2019-10-06,,17.0,17.0,18.0,
2019-10-13,,27.0,27.0,29.0,
2019-10-20,,69.0,69.0,72.0,
2019-10-27,,74.0,74.0,78.0,
2019-11-03,,30.0,30.0,31.0,
2019-11-10,,89.0,89.0,93.0,
2019-11-17,,80.0,80.0,84.0,
2019-11-24,,55.0,55.0,57.0,
2019-12-01,,45.0,45.0,47.0,
2019-12-08,,0.0,0.0,0.0,
2019-12-15,,55.0,55.0,57.0,
2019-12-22,,84.0,84.0,88.0,
2019-12-29,,26.0,26.0,27.0,
2020-01-05,,,17.0,17.0,17.0
2020-01-12,,,18.0,18.0,18.0
2020-01-19,,,32.0,33.0,33.0
2020-01-26,,,13.0,14.0,14.0
2020-02-02,,,23.0,24.0,24.0
2020-02-09,,,0.0,0.0,0.0
2020-02-16,,,26.0,28.0,28.0
2020-02-23,,,44.0,47.0,47.0
2020-03-01,,,27.0,28.0,28.0
2020-03-08,,,23.0,24.0,24.0
2020-03-15,,,24.0,25.0,25.0
2020-03-22,,,25.0,26.0,26.0
2020-03-29,,,47.0,49.0,49.0
2020-04-05,,,23.0,24.0,24.0
2020-04-12,,,41.0,43.0,43.0
2020-04-19,,,0.0,0.0,0.0
2020-04-26,,,24.0,26.0,26.0
2020-05-03,,,0.0,0.0,0.0
2020-05-10,,,32.0,33.0,33.0
2020-05-17,,,28.0,30.0,30.0
2020-05-24,,,0.0,0.0,0.0
2020-05-31,,,31.0,32.0,32.0
2020-06-07,,,0.0,0.0,0.0
2020-06-14,,,21.0,21.0,21.0
2020-06-21,,,0.0,0.0,0.0
2020-06-28,,,26.0,27.0,27.0
2020-07-05,,,18.0,19.0,19.0
2020-07-12,,,17.0,18.0,18.0
2020-07-19,,,0.0,0.0,0.0
2020-07-26,,,0.0,0.0,0.0
2020-08-02,,,48.0,50.0,50.0
2020-08-09,,,0.0,0.0,0.0
2020-08-16,,,0.0,0.0,0.0
2020-08-23,,,16.0,16.0,16.0
2020-08-30,,,32.0,33.0,33.0
2020-09-06,,,0.0,0.0,0.0
2020-09-13,,,28.0,29.0,29.0
2020-09-20,,,35.0,36.0,36.0
2020-09-27,,,0.0,0.0,0.0
2020-10-04,,,18.0,19.0,19.0
2020-10-11,,,0.0,0.0,0.0
2020-10-18,,,0.0,0.0,0.0
2020-10-25,,,57.0,59.0,59.0
2020-11-01,,,28.0,30.0,30.0
2020-11-08,,,0.0,0.0,0.0
2020-11-15,,,32.0,34.0,34.0
2020-11-22,,,26.0,28.0,28.0
2020-11-29,,,39.0,41.0,41.0
2020-12-06,,,0.0,0.0,0.0
2020-12-13,,,40.0,42.0,42.0
2020-12-20,,,16.0,17.0,17.0
2020-12-27,,,0.0,0.0,0.0
2021-01-03,,,,0.0,0.0
2021-01-10,,,,0.0,0.0
2021-01-17,,,,0.0,0.0
2021-01-24,,,,22.0,22.0
2021-01-31,,,,33.0,33.0
2021-02-07,,,,13.0,13.0
2021-02-14,,,,22.0,22.0
2021-02-21,,,,0.0,0.0
2021-02-28,,,,0.0,0.0
2021-03-07,,,,0.0,0.0
2021-03-14,,,,0.0,0.0
2021-03-21,,,,0.0,0.0
2021-03-28,,,,0.0,0.0
2021-04-04,,,,13.0,13.0
2021-04-11,,,,36.0,36.0
2021-04-18,,,,17.0,17.0
2021-04-25,,,,40.0,40.0
2021-05-02,,,,19.0,19.0
2021-05-09,,,,0.0,0.0
2021-05-16,,,,0.0,0.0
2021-05-23,,,,0.0,0.0
2021-05-30,,,,0.0,0.0
2021-06-06,,,,33.0,33.0
2021-06-13,,,,26.0,26.0
2021-06-20,,,,100.0,100.0
2021-06-27,,,,28.0,28.0
2021-07-04,,,,27.0,27.0
2021-07-11,,,,0.0,0.0
2021-07-18,,,,26.0,26.0
2021-07-25,,,,19.0,19.0
2021-08-01,,,,0.0,0.0
2021-08-08,,,,0.0,0.0
2021-08-15,,,,0.0,0.0
2021-08-22,,,,0.0,0.0
2021-08-29,,,,36.0,36.0
2021-09-05,,,,23.0,23.0
2021-09-12,,,,20.0,20.0
2021-09-19,,,,0.0,0.0
2021-09-26,,,,39.0,39.0
