date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,64.0,40.0,31.0,,
2018-01-14,76.0,48.0,37.0,,
2018-01-21,64.0,40.0,31.0,,
2018-01-28,70.0,44.0,34.0,,
2018-02-04,86.0,54.0,41.0,,
2018-02-11,100.0,63.0,48.0,,
2018-02-18,57.0,36.0,27.0,,
2018-02-25,69.0,44.0,33.0,,
2018-03-04,66.0,42.0,32.0,,
2018-03-11,51.0,32.0,24.0,,
2018-03-18,37.0,23.0,18.0,,
2018-03-25,70.0,44.0,33.0,,
2018-04-01,76.0,48.0,37.0,,
2018-04-08,91.0,57.0,43.0,,
2018-04-15,62.0,39.0,30.0,,
2018-04-22,82.0,52.0,39.0,,
2018-04-29,64.0,40.0,31.0,,
2018-05-06,67.0,42.0,32.0,,
2018-05-13,93.0,59.0,45.0,,
2018-05-20,54.0,34.0,26.0,,
2018-05-27,53.0,33.0,25.0,,
2018-06-03,86.0,54.0,41.0,,
2018-06-10,77.0,48.0,37.0,,
2018-06-17,95.0,59.0,45.0,,
2018-06-24,57.0,36.0,27.0,,
2018-07-01,84.0,52.0,40.0,,
2018-07-08,78.0,49.0,37.0,,
2018-07-15,77.0,48.0,37.0,,
2018-07-22,68.0,43.0,33.0,,
2018-07-29,79.0,50.0,38.0,,
2018-08-05,91.0,57.0,44.0,,
2018-08-12,81.0,51.0,39.0,,
2018-08-19,69.0,43.0,33.0,,
2018-08-26,74.0,47.0,36.0,,
2018-09-02,85.0,53.0,41.0,,
2018-09-09,48.0,30.0,23.0,,
2018-09-16,66.0,41.0,32.0,,
2018-09-23,59.0,37.0,28.0,,
2018-09-30,84.0,53.0,40.0,,
2018-10-07,73.0,46.0,35.0,,
2018-10-14,65.0,40.0,31.0,,
2018-10-21,63.0,39.0,30.0,,
2018-10-28,57.0,36.0,27.0,,
2018-11-04,76.0,48.0,36.0,,
2018-11-11,71.0,45.0,34.0,,
2018-11-18,63.0,40.0,30.0,,
2018-11-25,75.0,47.0,36.0,,
2018-12-02,72.0,45.0,34.0,,
2018-12-09,46.0,29.0,22.0,,
2018-12-16,59.0,37.0,28.0,,
2018-12-23,45.0,28.0,22.0,,
2018-12-30,83.0,52.0,40.0,,
2019-01-06,,100.0,76.0,56.0,
2019-01-13,,100.0,76.0,56.0,
2019-01-20,,66.0,50.0,37.0,
2019-01-27,,41.0,31.0,23.0,
2019-02-03,,54.0,41.0,30.0,
2019-02-10,,45.0,34.0,25.0,
2019-02-17,,34.0,26.0,19.0,
2019-02-24,,29.0,22.0,16.0,
2019-03-03,,47.0,36.0,26.0,
2019-03-10,,34.0,26.0,19.0,
2019-03-17,,36.0,27.0,20.0,
2019-03-24,,37.0,29.0,21.0,
2019-03-31,,57.0,43.0,32.0,
2019-04-07,,35.0,27.0,20.0,
2019-04-14,,34.0,26.0,19.0,
2019-04-21,,31.0,24.0,18.0,
2019-04-28,,27.0,21.0,15.0,
2019-05-05,,37.0,28.0,21.0,
2019-05-12,,37.0,28.0,21.0,
2019-05-19,,34.0,26.0,19.0,
2019-05-26,,28.0,22.0,16.0,
2019-06-02,,49.0,37.0,27.0,
2019-06-09,,61.0,46.0,34.0,
2019-06-16,,47.0,35.0,26.0,
2019-06-23,,37.0,29.0,21.0,
2019-06-30,,37.0,28.0,21.0,
2019-07-07,,39.0,30.0,22.0,
2019-07-14,,47.0,36.0,26.0,
2019-07-21,,47.0,36.0,26.0,
2019-07-28,,44.0,33.0,25.0,
2019-08-04,,46.0,35.0,26.0,
2019-08-11,,50.0,38.0,28.0,
2019-08-18,,45.0,34.0,25.0,
2019-08-25,,45.0,34.0,25.0,
2019-09-01,,35.0,27.0,20.0,
2019-09-08,,51.0,39.0,28.0,
2019-09-15,,45.0,34.0,25.0,
2019-09-22,,30.0,23.0,17.0,
2019-09-29,,60.0,46.0,33.0,
2019-10-06,,46.0,35.0,26.0,
2019-10-13,,26.0,20.0,15.0,
2019-10-20,,36.0,27.0,20.0,
2019-10-27,,25.0,19.0,14.0,
2019-11-03,,38.0,29.0,22.0,
2019-11-10,,39.0,30.0,22.0,
2019-11-17,,39.0,30.0,22.0,
2019-11-24,,27.0,21.0,15.0,
2019-12-01,,49.0,37.0,27.0,
2019-12-08,,39.0,30.0,22.0,
2019-12-15,,35.0,27.0,20.0,
2019-12-22,,16.0,12.0,9.0,
2019-12-29,,37.0,28.0,21.0,
2020-01-05,,,41.0,30.0,30.0
2020-01-12,,,36.0,27.0,27.0
2020-01-19,,,26.0,19.0,19.0
2020-01-26,,,30.0,22.0,22.0
2020-02-02,,,33.0,24.0,24.0
2020-02-09,,,29.0,21.0,21.0
2020-02-16,,,21.0,15.0,15.0
2020-02-23,,,25.0,18.0,18.0
2020-03-01,,,21.0,15.0,15.0
2020-03-08,,,28.0,21.0,21.0
2020-03-15,,,65.0,48.0,48.0
2020-03-22,,,70.0,51.0,51.0
2020-03-29,,,96.0,71.0,71.0
2020-04-05,,,100.0,73.0,73.0
2020-04-12,,,84.0,62.0,62.0
2020-04-19,,,72.0,53.0,53.0
2020-04-26,,,59.0,43.0,43.0
2020-05-03,,,55.0,40.0,40.0
2020-05-10,,,66.0,49.0,49.0
2020-05-17,,,62.0,45.0,45.0
2020-05-24,,,55.0,40.0,40.0
2020-05-31,,,50.0,37.0,37.0
2020-06-07,,,58.0,43.0,43.0
2020-06-14,,,50.0,36.0,36.0
2020-06-21,,,53.0,39.0,39.0
