date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,34.0,21.0,21.0,,
2018-01-14,17.0,11.0,11.0,,
2018-01-21,21.0,13.0,13.0,,
2018-01-28,41.0,26.0,26.0,,
2018-02-04,49.0,31.0,31.0,,
2018-02-11,100.0,63.0,63.0,,
2018-02-18,30.0,19.0,19.0,,
2018-02-25,32.0,20.0,20.0,,
2018-03-04,26.0,16.0,16.0,,
2018-03-11,13.0,8.0,8.0,,
2018-03-18,0.0,0.0,0.0,,
2018-03-25,27.0,17.0,17.0,,
2018-04-01,55.0,35.0,35.0,,
2018-04-08,26.0,16.0,16.0,,
2018-04-15,46.0,29.0,29.0,,
2018-04-22,21.0,13.0,13.0,,
2018-04-29,17.0,11.0,11.0,,
2018-05-06,57.0,36.0,36.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,36.0,23.0,23.0,,
2018-05-27,44.0,27.0,27.0,,
2018-06-03,40.0,25.0,25.0,,
2018-06-10,14.0,9.0,9.0,,
2018-06-17,37.0,24.0,24.0,,
2018-06-24,9.0,6.0,6.0,,
2018-07-01,41.0,26.0,26.0,,
2018-07-08,34.0,21.0,21.0,,
2018-07-15,26.0,16.0,16.0,,
2018-07-22,26.0,16.0,16.0,,
2018-07-29,46.0,29.0,29.0,,
2018-08-05,28.0,18.0,18.0,,
2018-08-12,16.0,10.0,10.0,,
2018-08-19,29.0,18.0,18.0,,
2018-08-26,31.0,19.0,19.0,,
2018-09-02,44.0,28.0,28.0,,
2018-09-09,22.0,14.0,14.0,,
2018-09-16,25.0,16.0,16.0,,
2018-09-23,24.0,15.0,15.0,,
2018-09-30,36.0,23.0,23.0,,
2018-10-07,30.0,19.0,19.0,,
2018-10-14,45.0,28.0,28.0,,
2018-10-21,41.0,26.0,26.0,,
2018-10-28,23.0,14.0,14.0,,
2018-11-04,19.0,12.0,12.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,11.0,7.0,7.0,,
2018-11-25,11.0,7.0,7.0,,
2018-12-02,37.0,23.0,23.0,,
2018-12-09,54.0,34.0,34.0,,
2018-12-16,22.0,14.0,14.0,,
2018-12-23,11.0,7.0,7.0,,
2018-12-30,39.0,25.0,25.0,,
2019-01-06,,27.0,27.0,27.0,
2019-01-13,,100.0,100.0,100.0,
2019-01-20,,36.0,36.0,36.0,
2019-01-27,,18.0,18.0,18.0,
2019-02-03,,22.0,22.0,22.0,
2019-02-10,,48.0,48.0,48.0,
2019-02-17,,13.0,13.0,13.0,
2019-02-24,,27.0,27.0,27.0,
2019-03-03,,22.0,22.0,22.0,
2019-03-10,,22.0,22.0,22.0,
2019-03-17,,23.0,23.0,23.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,31.0,31.0,31.0,
2019-04-07,,23.0,23.0,23.0,
2019-04-14,,29.0,29.0,29.0,
2019-04-21,,12.0,12.0,12.0,
2019-04-28,,42.0,42.0,42.0,
2019-05-05,,37.0,37.0,37.0,
2019-05-12,,32.0,32.0,32.0,
2019-05-19,,10.0,10.0,10.0,
2019-05-26,,26.0,26.0,26.0,
2019-06-02,,25.0,25.0,25.0,
2019-06-09,,22.0,22.0,22.0,
2019-06-16,,22.0,22.0,22.0,
2019-06-23,,20.0,20.0,20.0,
2019-06-30,,31.0,31.0,31.0,
2019-07-07,,24.0,24.0,24.0,
2019-07-14,,19.0,19.0,19.0,
2019-07-21,,18.0,18.0,18.0,
2019-07-28,,42.0,42.0,42.0,
2019-08-04,,32.0,32.0,32.0,
2019-08-11,,40.0,40.0,40.0,
2019-08-18,,14.0,14.0,14.0,
2019-08-25,,5.0,5.0,5.0,
2019-09-01,,19.0,19.0,19.0,
2019-09-08,,24.0,24.0,24.0,
2019-09-15,,12.0,12.0,12.0,
2019-09-22,,0.0,0.0,0.0,
2019-09-29,,25.0,25.0,25.0,
2019-10-06,,23.0,23.0,23.0,
2019-10-13,,21.0,21.0,21.0,
2019-10-20,,8.0,8.0,8.0,
2019-10-27,,20.0,20.0,20.0,
2019-11-03,,46.0,46.0,46.0,
2019-11-10,,21.0,21.0,21.0,
2019-11-17,,0.0,0.0,0.0,
2019-11-24,,13.0,13.0,13.0,
2019-12-01,,27.0,27.0,27.0,
2019-12-08,,21.0,21.0,21.0,
2019-12-15,,10.0,10.0,10.0,
2019-12-22,,0.0,0.0,0.0,
2019-12-29,,25.0,25.0,25.0,
2020-01-05,,,22.0,22.0,27.0
2020-01-12,,,12.0,12.0,15.0
2020-01-19,,,10.0,10.0,13.0
2020-01-26,,,16.0,16.0,20.0
2020-02-02,,,11.0,11.0,14.0
2020-02-09,,,16.0,16.0,20.0
2020-02-16,,,24.0,24.0,30.0
2020-02-23,,,14.0,14.0,17.0
2020-03-01,,,18.0,18.0,23.0
2020-03-08,,,12.0,12.0,14.0
2020-03-15,,,36.0,36.0,45.0
2020-03-22,,,27.0,27.0,34.0
2020-03-29,,,44.0,44.0,54.0
2020-04-05,,,53.0,53.0,66.0
2020-04-12,,,54.0,54.0,67.0
2020-04-19,,,26.0,26.0,33.0
2020-04-26,,,54.0,54.0,68.0
2020-05-03,,,32.0,32.0,40.0
2020-05-10,,,51.0,51.0,64.0
2020-05-17,,,47.0,47.0,58.0
2020-05-24,,,41.0,41.0,52.0
2020-05-31,,,42.0,42.0,53.0
2020-06-07,,,28.0,28.0,35.0
2020-06-14,,,45.0,45.0,56.0
2020-06-21,,,31.0,31.0,39.0
2020-06-28,,,30.0,30.0,38.0
2020-07-05,,,25.0,25.0,32.0
2020-07-12,,,24.0,24.0,29.0
2020-07-19,,,32.0,32.0,40.0
2020-07-26,,,29.0,29.0,36.0
2020-08-02,,,20.0,20.0,25.0
2020-08-09,,,28.0,28.0,35.0
2020-08-16,,,33.0,33.0,41.0
2020-08-23,,,24.0,24.0,30.0
2020-08-30,,,19.0,19.0,23.0
2020-09-06,,,23.0,23.0,29.0
2020-09-13,,,22.0,22.0,28.0
2020-09-20,,,13.0,13.0,16.0
2020-09-27,,,31.0,31.0,39.0
2020-10-04,,,27.0,27.0,34.0
2020-10-11,,,42.0,42.0,53.0
2020-10-18,,,25.0,25.0,32.0
2020-10-25,,,15.0,15.0,19.0
2020-11-01,,,23.0,23.0,29.0
2020-11-08,,,18.0,18.0,22.0
2020-11-15,,,10.0,10.0,13.0
2020-11-22,,,19.0,19.0,23.0
2020-11-29,,,21.0,21.0,26.0
2020-12-06,,,17.0,17.0,21.0
2020-12-13,,,37.0,37.0,47.0
2020-12-20,,,27.0,27.0,34.0
2020-12-27,,,26.0,26.0,32.0
2021-01-03,,,,40.0,50.0
2021-01-10,,,,37.0,46.0
2021-01-17,,,,33.0,42.0
2021-01-24,,,,15.0,19.0
2021-01-31,,,,28.0,35.0
2021-02-07,,,,37.0,46.0
2021-02-14,,,,50.0,62.0
2021-02-21,,,,18.0,22.0
2021-02-28,,,,17.0,21.0
2021-03-07,,,,18.0,22.0
2021-03-14,,,,21.0,27.0
2021-03-21,,,,18.0,22.0
2021-03-28,,,,30.0,37.0
2021-04-04,,,,26.0,33.0
2021-04-11,,,,0.0,0.0
2021-04-18,,,,21.0,26.0
2021-04-25,,,,21.0,26.0
2021-05-02,,,,5.0,6.0
2021-05-09,,,,31.0,39.0
2021-05-16,,,,18.0,23.0
2021-05-23,,,,27.0,33.0
2021-05-30,,,,45.0,56.0
2021-06-06,,,,24.0,30.0
2021-06-13,,,,27.0,34.0
2021-06-20,,,,25.0,31.0
2021-06-27,,,,23.0,29.0
2021-07-04,,,,33.0,42.0
2021-07-11,,,,42.0,52.0
2021-07-18,,,,21.0,27.0
2021-07-25,,,,25.0,31.0
2021-08-01,,,,29.0,37.0
2021-08-08,,,,16.0,20.0
2021-08-15,,,,27.0,34.0
2021-08-22,,,,38.0,48.0
2021-08-29,,,,36.0,44.0
2021-09-05,,,,32.0,40.0
2021-09-12,,,,41.0,51.0
2021-09-19,,,,45.0,57.0
2021-09-26,,,,24.0,30.0
2021-10-03,,,,41.0,52.0
2021-10-10,,,,30.0,38.0
2021-10-17,,,,50.0,62.0
2021-10-24,,,,35.0,44.0
2021-10-31,,,,22.0,27.0
2021-11-07,,,,55.0,68.0
2021-11-14,,,,23.0,29.0
2021-11-21,,,,16.0,20.0
2021-11-28,,,,57.0,71.0
2021-12-05,,,,41.0,52.0
2021-12-12,,,,46.0,57.0
2021-12-19,,,,36.0,44.0
2021-12-26,,,,21.0,26.0
2022-01-02,,,,,85.0
2022-01-09,,,,,92.0
2022-01-16,,,,,87.0
2022-01-23,,,,,31.0
2022-01-30,,,,,88.0
2022-02-06,,,,,45.0
2022-02-13,,,,,36.0
2022-02-20,,,,,50.0
2022-02-27,,,,,31.0
2022-03-06,,,,,49.0
2022-03-13,,,,,47.0
2022-03-20,,,,,61.0
2022-03-27,,,,,44.0
2022-04-03,,,,,56.0
2022-04-10,,,,,63.0
2022-04-17,,,,,45.0
2022-04-24,,,,,44.0
2022-05-01,,,,,53.0
2022-05-08,,,,,57.0
2022-05-15,,,,,63.0
2022-05-22,,,,,26.0
2022-05-29,,,,,44.0
2022-06-05,,,,,59.0
2022-06-12,,,,,28.0
2022-06-19,,,,,35.0
2022-06-26,,,,,45.0
2022-07-03,,,,,55.0
2022-07-10,,,,,84.0
2022-07-17,,,,,55.0
2022-07-24,,,,,29.0
2022-07-31,,,,,43.0
2022-08-07,,,,,60.0
2022-08-14,,,,,60.0
2022-08-21,,,,,47.0
2022-08-28,,,,,40.0
2022-09-04,,,,,67.0
2022-09-11,,,,,35.0
2022-09-18,,,,,61.0
2022-09-25,,,,,64.0
2022-10-02,,,,,84.0
2022-10-09,,,,,70.0
2022-10-16,,,,,52.0
2022-10-23,,,,,71.0
2022-10-30,,,,,71.0
2022-11-06,,,,,46.0
2022-11-13,,,,,67.0
2022-11-20,,,,,100.0
2022-11-27,,,,,49.0
2022-12-04,,,,,37.0
