date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,28.0,17.0,8.0,,
2018-01-14,51.0,32.0,15.0,,
2018-01-21,61.0,38.0,18.0,,
2018-01-28,0.0,0.0,0.0,,
2018-02-04,0.0,0.0,0.0,,
2018-02-11,78.0,48.0,23.0,,
2018-02-18,39.0,24.0,12.0,,
2018-02-25,52.0,32.0,16.0,,
2018-03-04,48.0,30.0,14.0,,
2018-03-11,47.0,29.0,14.0,,
2018-03-18,34.0,21.0,10.0,,
2018-03-25,28.0,17.0,8.0,,
2018-04-01,53.0,33.0,16.0,,
2018-04-08,50.0,31.0,15.0,,
2018-04-15,26.0,16.0,8.0,,
2018-04-22,52.0,32.0,16.0,,
2018-04-29,31.0,19.0,9.0,,
2018-05-06,58.0,36.0,17.0,,
2018-05-13,82.0,50.0,24.0,,
2018-05-20,53.0,33.0,16.0,,
2018-05-27,29.0,18.0,9.0,,
2018-06-03,42.0,26.0,12.0,,
2018-06-10,33.0,20.0,10.0,,
2018-06-17,58.0,36.0,17.0,,
2018-06-24,39.0,24.0,12.0,,
2018-07-01,50.0,31.0,15.0,,
2018-07-08,43.0,26.0,13.0,,
2018-07-15,59.0,36.0,18.0,,
2018-07-22,39.0,24.0,12.0,,
2018-07-29,64.0,40.0,19.0,,
2018-08-05,83.0,51.0,25.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,40.0,24.0,12.0,,
2018-08-26,58.0,35.0,17.0,,
2018-09-02,27.0,16.0,8.0,,
2018-09-09,39.0,24.0,12.0,,
2018-09-16,46.0,28.0,14.0,,
2018-09-23,23.0,14.0,7.0,,
2018-09-30,52.0,32.0,15.0,,
2018-10-07,65.0,40.0,19.0,,
2018-10-14,51.0,31.0,15.0,,
2018-10-21,65.0,40.0,19.0,,
2018-10-28,100.0,61.0,30.0,,
2018-11-04,61.0,37.0,18.0,,
2018-11-11,36.0,22.0,11.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,39.0,24.0,12.0,,
2018-12-02,56.0,34.0,17.0,,
2018-12-09,79.0,48.0,23.0,,
2018-12-16,46.0,28.0,14.0,,
2018-12-23,34.0,21.0,10.0,,
2018-12-30,57.0,35.0,17.0,,
2019-01-06,,50.0,24.0,24.0,
2019-01-13,,100.0,49.0,49.0,
2019-01-20,,54.0,26.0,26.0,
2019-01-27,,30.0,15.0,15.0,
2019-02-03,,37.0,18.0,18.0,
2019-02-10,,27.0,13.0,13.0,
2019-02-17,,36.0,17.0,17.0,
2019-02-24,,30.0,15.0,15.0,
2019-03-03,,36.0,18.0,18.0,
2019-03-10,,41.0,20.0,20.0,
2019-03-17,,23.0,11.0,11.0,
2019-03-24,,17.0,8.0,8.0,
2019-03-31,,17.0,8.0,8.0,
2019-04-07,,37.0,18.0,18.0,
2019-04-14,,30.0,15.0,15.0,
2019-04-21,,25.0,12.0,12.0,
2019-04-28,,35.0,17.0,17.0,
2019-05-05,,38.0,18.0,18.0,
2019-05-12,,29.0,14.0,14.0,
2019-05-19,,44.0,21.0,21.0,
2019-05-26,,14.0,7.0,7.0,
2019-06-02,,29.0,14.0,14.0,
2019-06-09,,40.0,19.0,19.0,
2019-06-16,,42.0,20.0,20.0,
2019-06-23,,10.0,5.0,5.0,
2019-06-30,,31.0,15.0,15.0,
2019-07-07,,30.0,14.0,14.0,
2019-07-14,,46.0,23.0,23.0,
2019-07-21,,24.0,12.0,12.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,56.0,27.0,27.0,
2019-08-11,,30.0,15.0,15.0,
2019-08-18,,52.0,25.0,25.0,
2019-08-25,,27.0,13.0,13.0,
2019-09-01,,31.0,15.0,15.0,
2019-09-08,,25.0,12.0,12.0,
2019-09-15,,84.0,41.0,41.0,
2019-09-22,,60.0,29.0,29.0,
2019-09-29,,61.0,30.0,30.0,
2019-10-06,,51.0,25.0,25.0,
2019-10-13,,31.0,15.0,15.0,
2019-10-20,,27.0,13.0,13.0,
2019-10-27,,39.0,19.0,19.0,
2019-11-03,,28.0,13.0,13.0,
2019-11-10,,23.0,11.0,11.0,
2019-11-17,,27.0,13.0,13.0,
2019-11-24,,0.0,0.0,0.0,
2019-12-01,,39.0,19.0,19.0,
2019-12-08,,26.0,13.0,13.0,
2019-12-15,,0.0,0.0,0.0,
2019-12-22,,32.0,16.0,16.0,
2019-12-29,,26.0,12.0,12.0,
