date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,,
2018-01-14,58.0,52.0,27.0,,
2018-01-21,46.0,41.0,21.0,,
2018-01-28,35.0,31.0,16.0,,
2018-02-04,27.0,24.0,13.0,,
2018-02-11,42.0,38.0,20.0,,
2018-02-18,30.0,27.0,14.0,,
2018-02-25,34.0,30.0,16.0,,
2018-03-04,32.0,29.0,15.0,,
2018-03-11,19.0,17.0,9.0,,
2018-03-18,13.0,12.0,6.0,,
2018-03-25,35.0,32.0,17.0,,
2018-04-01,36.0,32.0,17.0,,
2018-04-08,25.0,23.0,12.0,,
2018-04-15,21.0,18.0,10.0,,
2018-04-22,28.0,25.0,13.0,,
2018-04-29,24.0,22.0,11.0,,
2018-05-06,52.0,46.0,24.0,,
2018-05-13,37.0,33.0,17.0,,
2018-05-20,27.0,24.0,13.0,,
2018-05-27,25.0,23.0,12.0,,
2018-06-03,37.0,33.0,17.0,,
2018-06-10,31.0,28.0,15.0,,
2018-06-17,35.0,32.0,16.0,,
2018-06-24,48.0,43.0,23.0,,
2018-07-01,38.0,34.0,18.0,,
2018-07-08,34.0,31.0,16.0,,
2018-07-15,38.0,34.0,18.0,,
2018-07-22,26.0,23.0,12.0,,
2018-07-29,22.0,20.0,11.0,,
2018-08-05,48.0,43.0,22.0,,
2018-08-12,56.0,50.0,26.0,,
2018-08-19,55.0,49.0,26.0,,
2018-08-26,23.0,20.0,11.0,,
2018-09-02,40.0,36.0,19.0,,
2018-09-09,30.0,27.0,14.0,,
2018-09-16,54.0,49.0,26.0,,
2018-09-23,100.0,90.0,47.0,,
2018-09-30,43.0,38.0,20.0,,
2018-10-07,27.0,24.0,13.0,,
2018-10-14,36.0,32.0,17.0,,
2018-10-21,9.0,8.0,4.0,,
2018-10-28,25.0,22.0,12.0,,
2018-11-04,31.0,28.0,15.0,,
2018-11-11,15.0,13.0,7.0,,
2018-11-18,15.0,13.0,7.0,,
2018-11-25,32.0,29.0,15.0,,
2018-12-02,39.0,35.0,19.0,,
2018-12-09,24.0,22.0,11.0,,
2018-12-16,38.0,34.0,18.0,,
2018-12-23,16.0,14.0,7.0,,
2018-12-30,24.0,22.0,11.0,,
2019-01-06,,77.0,40.0,40.0,
2019-01-13,,100.0,52.0,52.0,
2019-01-20,,70.0,37.0,37.0,
2019-01-27,,40.0,21.0,21.0,
2019-02-03,,41.0,21.0,21.0,
2019-02-10,,16.0,8.0,8.0,
2019-02-17,,53.0,28.0,28.0,
2019-02-24,,56.0,29.0,29.0,
2019-03-03,,32.0,17.0,17.0,
2019-03-10,,37.0,20.0,20.0,
2019-03-17,,21.0,11.0,11.0,
2019-03-24,,40.0,21.0,21.0,
2019-03-31,,25.0,13.0,13.0,
2019-04-07,,40.0,21.0,21.0,
2019-04-14,,30.0,16.0,16.0,
2019-04-21,,0.0,0.0,0.0,
2019-04-28,,23.0,12.0,12.0,
2019-05-05,,29.0,15.0,15.0,
2019-05-12,,33.0,17.0,17.0,
2019-05-19,,41.0,22.0,22.0,
2019-05-26,,33.0,17.0,17.0,
2019-06-02,,23.0,12.0,12.0,
2019-06-09,,68.0,36.0,36.0,
2019-06-16,,41.0,21.0,21.0,
2019-06-23,,28.0,15.0,15.0,
2019-06-30,,41.0,22.0,22.0,
2019-07-07,,25.0,13.0,13.0,
2019-07-14,,40.0,21.0,21.0,
2019-07-21,,33.0,17.0,17.0,
2019-07-28,,40.0,21.0,21.0,
2019-08-04,,42.0,22.0,22.0,
2019-08-11,,41.0,22.0,22.0,
2019-08-18,,25.0,13.0,13.0,
2019-08-25,,14.0,7.0,7.0,
2019-09-01,,14.0,7.0,7.0,
2019-09-08,,36.0,19.0,19.0,
2019-09-15,,43.0,23.0,23.0,
2019-09-22,,30.0,16.0,16.0,
2019-09-29,,38.0,20.0,20.0,
2019-10-06,,12.0,7.0,7.0,
2019-10-13,,21.0,11.0,11.0,
2019-10-20,,35.0,18.0,18.0,
2019-10-27,,16.0,8.0,8.0,
2019-11-03,,19.0,10.0,10.0,
2019-11-10,,43.0,23.0,23.0,
2019-11-17,,21.0,11.0,11.0,
2019-11-24,,21.0,11.0,11.0,
2019-12-01,,38.0,20.0,20.0,
2019-12-08,,49.0,26.0,26.0,
2019-12-15,,32.0,17.0,17.0,
2019-12-22,,18.0,9.0,9.0,
2019-12-29,,30.0,16.0,16.0,
2020-01-05,,,19.0,19.0,19.0
2020-01-12,,,16.0,16.0,16.0
2020-01-19,,,16.0,16.0,16.0
2020-01-26,,,17.0,17.0,17.0
2020-02-02,,,16.0,16.0,16.0
2020-02-09,,,19.0,19.0,19.0
2020-02-16,,,16.0,16.0,16.0
2020-02-23,,,17.0,17.0,17.0
2020-03-01,,,12.0,12.0,12.0
2020-03-08,,,10.0,10.0,10.0
2020-03-15,,,68.0,68.0,68.0
2020-03-22,,,47.0,47.0,47.0
2020-03-29,,,68.0,68.0,68.0
2020-04-05,,,84.0,84.0,84.0
2020-04-12,,,100.0,100.0,100.0
2020-04-19,,,61.0,61.0,61.0
2020-04-26,,,29.0,29.0,29.0
2020-05-03,,,39.0,39.0,39.0
2020-05-10,,,65.0,65.0,65.0
2020-05-17,,,56.0,56.0,56.0
2020-05-24,,,28.0,28.0,28.0
2020-05-31,,,59.0,59.0,59.0
2020-06-07,,,46.0,46.0,46.0
2020-06-14,,,44.0,44.0,44.0
2020-06-21,,,31.0,31.0,31.0
2020-06-28,,,44.0,44.0,44.0
2020-07-05,,,70.0,70.0,70.0
2020-07-12,,,41.0,41.0,41.0
2020-07-19,,,29.0,29.0,29.0
2020-07-26,,,38.0,38.0,38.0
2020-08-02,,,42.0,42.0,42.0
2020-08-09,,,44.0,44.0,44.0
2020-08-16,,,36.0,36.0,36.0
2020-08-23,,,28.0,28.0,28.0
2020-08-30,,,25.0,25.0,25.0
2020-09-06,,,25.0,25.0,25.0
2020-09-13,,,16.0,16.0,16.0
2020-09-20,,,24.0,24.0,24.0
2020-09-27,,,38.0,38.0,38.0
2020-10-04,,,42.0,42.0,42.0
2020-10-11,,,39.0,39.0,39.0
2020-10-18,,,27.0,27.0,27.0
2020-10-25,,,42.0,42.0,42.0
2020-11-01,,,41.0,41.0,41.0
2020-11-08,,,39.0,39.0,39.0
2020-11-15,,,14.0,14.0,14.0
2020-11-22,,,16.0,16.0,16.0
2020-11-29,,,28.0,28.0,28.0
2020-12-06,,,23.0,23.0,23.0
2020-12-13,,,18.0,18.0,18.0
2020-12-20,,,24.0,24.0,24.0
2020-12-27,,,41.0,41.0,41.0
2021-01-03,,,,37.0,37.0
2021-01-10,,,,35.0,35.0
2021-01-17,,,,31.0,31.0
2021-01-24,,,,24.0,24.0
2021-01-31,,,,31.0,31.0
2021-02-07,,,,28.0,28.0
2021-02-14,,,,55.0,55.0
2021-02-21,,,,87.0,87.0
2021-02-28,,,,50.0,50.0
2021-03-07,,,,34.0,34.0
2021-03-14,,,,23.0,23.0
2021-03-21,,,,16.0,16.0
2021-03-28,,,,23.0,23.0
2021-04-04,,,,35.0,35.0
2021-04-11,,,,40.0,40.0
2021-04-18,,,,37.0,37.0
2021-04-25,,,,28.0,28.0
2021-05-02,,,,37.0,37.0
2021-05-09,,,,32.0,32.0
2021-05-16,,,,19.0,19.0
2021-05-23,,,,87.0,87.0
2021-05-30,,,,82.0,82.0
2021-06-06,,,,39.0,39.0
2021-06-13,,,,35.0,35.0
2021-06-20,,,,41.0,41.0
2021-06-27,,,,20.0,20.0
2021-07-04,,,,29.0,29.0
2021-07-11,,,,43.0,43.0
2021-07-18,,,,36.0,36.0
2021-07-25,,,,36.0,36.0
2021-08-01,,,,42.0,42.0
2021-08-08,,,,43.0,43.0
2021-08-15,,,,58.0,58.0
2021-08-22,,,,34.0,34.0
2021-08-29,,,,48.0,48.0
2021-09-05,,,,39.0,39.0
2021-09-12,,,,30.0,30.0
2021-09-19,,,,30.0,30.0
2021-09-26,,,,31.0,31.0
2021-10-03,,,,27.0,27.0
2021-10-10,,,,34.0,34.0
2021-10-17,,,,30.0,30.0
2021-10-24,,,,25.0,25.0
2021-10-31,,,,36.0,36.0
2021-11-07,,,,34.0,34.0
2021-11-14,,,,40.0,40.0
2021-11-21,,,,14.0,14.0
2021-11-28,,,,41.0,41.0
2021-12-05,,,,45.0,45.0
2021-12-12,,,,42.0,42.0
2021-12-19,,,,23.0,23.0
2021-12-26,,,,22.0,22.0
2022-01-02,,,,,34.0
2022-01-09,,,,,26.0
2022-01-16,,,,,31.0
2022-01-23,,,,,31.0
2022-01-30,,,,,39.0
2022-02-06,,,,,36.0
2022-02-13,,,,,30.0
2022-02-20,,,,,29.0
2022-02-27,,,,,43.0
2022-03-06,,,,,45.0
2022-03-13,,,,,21.0
2022-03-20,,,,,21.0
2022-03-27,,,,,31.0
2022-04-03,,,,,28.0
2022-04-10,,,,,32.0
2022-04-17,,,,,33.0
2022-04-24,,,,,26.0
2022-05-01,,,,,30.0
2022-05-08,,,,,34.0
2022-05-15,,,,,33.0
2022-05-22,,,,,28.0
2022-05-29,,,,,44.0
2022-06-05,,,,,56.0
2022-06-12,,,,,42.0
2022-06-19,,,,,35.0
2022-06-26,,,,,48.0
2022-07-03,,,,,51.0
2022-07-10,,,,,29.0
2022-07-17,,,,,27.0
2022-07-24,,,,,30.0
2022-07-31,,,,,50.0
2022-08-07,,,,,37.0
2022-08-14,,,,,42.0
2022-08-21,,,,,36.0
2022-08-28,,,,,52.0
2022-09-04,,,,,49.0
2022-09-11,,,,,13.0
2022-09-18,,,,,36.0
2022-09-25,,,,,30.0
2022-10-02,,,,,46.0
2022-10-09,,,,,29.0
2022-10-16,,,,,37.0
2022-10-23,,,,,33.0
2022-10-30,,,,,46.0
2022-11-06,,,,,32.0
2022-11-13,,,,,34.0
2022-11-20,,,,,9.0
2022-11-27,,,,,48.0
2022-12-04,,,,,47.0
2022-12-11,,,,,52.0
2022-12-18,,,,,34.0
2022-12-25,,,,,24.0
2023-01-01,,,,,47.0
