date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,77.0,53.0,53.0,,
2018-01-14,61.0,42.0,42.0,,
2018-01-21,45.0,31.0,31.0,,
2018-01-28,75.0,52.0,52.0,,
2018-02-04,46.0,32.0,32.0,,
2018-02-11,100.0,69.0,69.0,,
2018-02-18,43.0,30.0,30.0,,
2018-02-25,33.0,23.0,23.0,,
2018-03-04,63.0,44.0,44.0,,
2018-03-11,42.0,29.0,29.0,,
2018-03-18,33.0,23.0,23.0,,
2018-03-25,36.0,25.0,25.0,,
2018-04-01,55.0,38.0,38.0,,
2018-04-08,77.0,53.0,53.0,,
2018-04-15,48.0,33.0,33.0,,
2018-04-22,28.0,19.0,19.0,,
2018-04-29,26.0,18.0,18.0,,
2018-05-06,67.0,46.0,46.0,,
2018-05-13,71.0,49.0,49.0,,
2018-05-20,25.0,18.0,18.0,,
2018-05-27,61.0,42.0,42.0,,
2018-06-03,46.0,32.0,32.0,,
2018-06-10,62.0,43.0,43.0,,
2018-06-17,54.0,37.0,37.0,,
2018-06-24,44.0,30.0,30.0,,
2018-07-01,47.0,33.0,33.0,,
2018-07-08,49.0,34.0,34.0,,
2018-07-15,57.0,40.0,40.0,,
2018-07-22,48.0,33.0,33.0,,
2018-07-29,69.0,47.0,47.0,,
2018-08-05,73.0,50.0,50.0,,
2018-08-12,54.0,37.0,37.0,,
2018-08-19,26.0,18.0,18.0,,
2018-08-26,56.0,39.0,39.0,,
2018-09-02,69.0,48.0,48.0,,
2018-09-09,64.0,44.0,44.0,,
2018-09-16,20.0,14.0,14.0,,
2018-09-23,58.0,40.0,40.0,,
2018-09-30,49.0,34.0,34.0,,
2018-10-07,44.0,30.0,30.0,,
2018-10-14,19.0,13.0,13.0,,
2018-10-21,20.0,14.0,14.0,,
2018-10-28,63.0,43.0,43.0,,
2018-11-04,27.0,18.0,18.0,,
2018-11-11,35.0,24.0,24.0,,
2018-11-18,38.0,26.0,26.0,,
2018-11-25,31.0,21.0,21.0,,
2018-12-02,37.0,26.0,26.0,,
2018-12-09,53.0,37.0,37.0,,
2018-12-16,66.0,46.0,46.0,,
2018-12-23,64.0,44.0,44.0,,
2018-12-30,41.0,29.0,29.0,,
2019-01-06,,68.0,68.0,64.0,
2019-01-13,,100.0,100.0,95.0,
2019-01-20,,83.0,83.0,78.0,
2019-01-27,,16.0,16.0,15.0,
2019-02-03,,39.0,39.0,37.0,
2019-02-10,,44.0,44.0,42.0,
2019-02-17,,42.0,42.0,40.0,
2019-02-24,,41.0,41.0,39.0,
2019-03-03,,46.0,46.0,43.0,
2019-03-10,,27.0,27.0,26.0,
2019-03-17,,52.0,52.0,50.0,
2019-03-24,,39.0,39.0,37.0,
2019-03-31,,35.0,35.0,33.0,
2019-04-07,,29.0,29.0,27.0,
2019-04-14,,27.0,27.0,26.0,
2019-04-21,,39.0,39.0,37.0,
2019-04-28,,27.0,27.0,25.0,
2019-05-05,,41.0,41.0,39.0,
2019-05-12,,40.0,40.0,38.0,
2019-05-19,,8.0,8.0,8.0,
2019-05-26,,27.0,27.0,25.0,
2019-06-02,,37.0,37.0,35.0,
2019-06-09,,43.0,43.0,40.0,
2019-06-16,,24.0,24.0,22.0,
2019-06-23,,33.0,33.0,31.0,
2019-06-30,,28.0,28.0,27.0,
2019-07-07,,27.0,27.0,25.0,
2019-07-14,,20.0,20.0,19.0,
2019-07-21,,33.0,33.0,31.0,
2019-07-28,,29.0,29.0,27.0,
2019-08-04,,45.0,45.0,43.0,
2019-08-11,,40.0,40.0,38.0,
2019-08-18,,48.0,48.0,46.0,
2019-08-25,,17.0,17.0,16.0,
2019-09-01,,50.0,50.0,47.0,
2019-09-08,,44.0,44.0,41.0,
2019-09-15,,39.0,39.0,37.0,
2019-09-22,,26.0,26.0,25.0,
2019-09-29,,24.0,24.0,23.0,
2019-10-06,,31.0,31.0,29.0,
2019-10-13,,19.0,19.0,18.0,
2019-10-20,,21.0,21.0,20.0,
2019-10-27,,24.0,24.0,23.0,
2019-11-03,,30.0,30.0,29.0,
2019-11-10,,29.0,29.0,28.0,
2019-11-17,,30.0,30.0,29.0,
2019-11-24,,11.0,11.0,10.0,
2019-12-01,,44.0,44.0,42.0,
2019-12-08,,31.0,31.0,29.0,
2019-12-15,,22.0,22.0,21.0,
2019-12-22,,29.0,29.0,27.0,
2019-12-29,,29.0,29.0,28.0,
2020-01-05,,,22.0,21.0,21.0
2020-01-12,,,40.0,38.0,38.0
2020-01-19,,,25.0,23.0,23.0
2020-01-26,,,27.0,26.0,26.0
2020-02-02,,,30.0,28.0,28.0
2020-02-09,,,28.0,27.0,27.0
2020-02-16,,,38.0,36.0,36.0
2020-02-23,,,34.0,32.0,32.0
2020-03-01,,,28.0,26.0,26.0
2020-03-08,,,21.0,20.0,20.0
2020-03-15,,,49.0,47.0,47.0
2020-03-22,,,52.0,49.0,49.0
2020-03-29,,,65.0,61.0,61.0
2020-04-05,,,89.0,84.0,84.0
2020-04-12,,,90.0,85.0,85.0
2020-04-19,,,58.0,55.0,55.0
2020-04-26,,,60.0,56.0,56.0
2020-05-03,,,39.0,37.0,37.0
2020-05-10,,,58.0,55.0,55.0
2020-05-17,,,57.0,54.0,54.0
2020-05-24,,,47.0,44.0,44.0
2020-05-31,,,59.0,55.0,55.0
2020-06-07,,,50.0,48.0,48.0
2020-06-14,,,55.0,52.0,52.0
2020-06-21,,,48.0,46.0,46.0
2020-06-28,,,71.0,67.0,67.0
2020-07-05,,,66.0,63.0,63.0
2020-07-12,,,53.0,50.0,50.0
2020-07-19,,,49.0,47.0,47.0
2020-07-26,,,55.0,52.0,52.0
2020-08-02,,,63.0,59.0,59.0
2020-08-09,,,59.0,56.0,56.0
2020-08-16,,,36.0,34.0,34.0
2020-08-23,,,54.0,51.0,51.0
2020-08-30,,,44.0,42.0,42.0
2020-09-06,,,56.0,53.0,53.0
2020-09-13,,,33.0,31.0,31.0
2020-09-20,,,33.0,32.0,32.0
2020-09-27,,,63.0,59.0,59.0
2020-10-04,,,44.0,41.0,41.0
2020-10-11,,,65.0,61.0,61.0
2020-10-18,,,66.0,63.0,63.0
2020-10-25,,,68.0,64.0,64.0
2020-11-01,,,60.0,56.0,56.0
2020-11-08,,,64.0,60.0,60.0
2020-11-15,,,48.0,45.0,45.0
2020-11-22,,,31.0,29.0,29.0
2020-11-29,,,55.0,52.0,52.0
2020-12-06,,,43.0,41.0,41.0
2020-12-13,,,37.0,35.0,35.0
2020-12-20,,,44.0,42.0,42.0
2020-12-27,,,50.0,48.0,48.0
2021-01-03,,,,48.0,48.0
2021-01-10,,,,47.0,47.0
2021-01-17,,,,37.0,37.0
2021-01-24,,,,54.0,54.0
2021-01-31,,,,56.0,56.0
2021-02-07,,,,22.0,22.0
2021-02-14,,,,46.0,46.0
2021-02-21,,,,54.0,54.0
2021-02-28,,,,50.0,50.0
2021-03-07,,,,67.0,67.0
2021-03-14,,,,25.0,25.0
2021-03-21,,,,28.0,28.0
2021-03-28,,,,46.0,46.0
2021-04-04,,,,48.0,48.0
2021-04-11,,,,55.0,55.0
2021-04-18,,,,42.0,42.0
