date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,40.0,25.0,20.0,,
2018-01-14,33.0,21.0,16.0,,
2018-01-21,29.0,18.0,14.0,,
2018-01-28,24.0,15.0,12.0,,
2018-02-04,49.0,31.0,24.0,,
2018-02-11,52.0,33.0,25.0,,
2018-02-18,15.0,10.0,7.0,,
2018-02-25,38.0,24.0,18.0,,
2018-03-04,29.0,18.0,14.0,,
2018-03-11,28.0,17.0,13.0,,
2018-03-18,23.0,14.0,11.0,,
2018-03-25,27.0,17.0,13.0,,
2018-04-01,28.0,17.0,13.0,,
2018-04-08,30.0,19.0,15.0,,
2018-04-15,24.0,15.0,12.0,,
2018-04-22,35.0,22.0,17.0,,
2018-04-29,23.0,15.0,11.0,,
2018-05-06,28.0,18.0,14.0,,
2018-05-13,43.0,27.0,21.0,,
2018-05-20,69.0,43.0,34.0,,
2018-05-27,16.0,10.0,8.0,,
2018-06-03,47.0,29.0,23.0,,
2018-06-10,55.0,34.0,27.0,,
2018-06-17,45.0,28.0,22.0,,
2018-06-24,100.0,62.0,49.0,,
2018-07-01,67.0,42.0,33.0,,
2018-07-08,68.0,42.0,33.0,,
2018-07-15,48.0,30.0,23.0,,
2018-07-22,45.0,28.0,22.0,,
2018-07-29,42.0,26.0,21.0,,
2018-08-05,45.0,28.0,22.0,,
2018-08-12,47.0,29.0,23.0,,
2018-08-19,27.0,17.0,13.0,,
2018-08-26,26.0,16.0,13.0,,
2018-09-02,21.0,13.0,10.0,,
2018-09-09,24.0,15.0,12.0,,
2018-09-16,38.0,24.0,19.0,,
2018-09-23,30.0,19.0,15.0,,
2018-09-30,53.0,33.0,26.0,,
2018-10-07,46.0,29.0,22.0,,
2018-10-14,29.0,18.0,14.0,,
2018-10-21,29.0,18.0,14.0,,
2018-10-28,28.0,17.0,14.0,,
2018-11-04,36.0,22.0,17.0,,
2018-11-11,15.0,10.0,7.0,,
2018-11-18,37.0,23.0,18.0,,
2018-11-25,30.0,19.0,15.0,,
2018-12-02,31.0,19.0,15.0,,
2018-12-09,43.0,27.0,21.0,,
2018-12-16,36.0,22.0,18.0,,
2018-12-23,27.0,17.0,13.0,,
2018-12-30,58.0,36.0,28.0,,
2019-01-06,,38.0,30.0,24.0,
2019-01-13,,100.0,78.0,62.0,
2019-01-20,,94.0,74.0,59.0,
2019-01-27,,34.0,26.0,21.0,
2019-02-03,,24.0,19.0,15.0,
2019-02-10,,23.0,18.0,14.0,
2019-02-17,,44.0,34.0,27.0,
2019-02-24,,25.0,20.0,16.0,
2019-03-03,,36.0,28.0,23.0,
2019-03-10,,6.0,5.0,4.0,
2019-03-17,,15.0,12.0,10.0,
2019-03-24,,21.0,17.0,13.0,
2019-03-31,,17.0,14.0,11.0,
2019-04-07,,26.0,20.0,16.0,
2019-04-14,,18.0,14.0,11.0,
2019-04-21,,25.0,20.0,16.0,
2019-04-28,,27.0,21.0,17.0,
2019-05-05,,20.0,16.0,13.0,
2019-05-12,,29.0,22.0,18.0,
2019-05-19,,11.0,9.0,7.0,
2019-05-26,,15.0,11.0,9.0,
2019-06-02,,15.0,12.0,9.0,
2019-06-09,,24.0,18.0,15.0,
2019-06-16,,23.0,18.0,15.0,
2019-06-23,,46.0,36.0,29.0,
2019-06-30,,33.0,26.0,20.0,
2019-07-07,,30.0,23.0,18.0,
2019-07-14,,19.0,15.0,12.0,
2019-07-21,,33.0,26.0,21.0,
2019-07-28,,31.0,24.0,19.0,
2019-08-04,,22.0,18.0,14.0,
2019-08-11,,25.0,20.0,16.0,
2019-08-18,,32.0,25.0,20.0,
2019-08-25,,26.0,21.0,16.0,
2019-09-01,,18.0,14.0,11.0,
2019-09-08,,19.0,15.0,12.0,
2019-09-15,,13.0,10.0,8.0,
2019-09-22,,19.0,15.0,12.0,
2019-09-29,,25.0,20.0,16.0,
2019-10-06,,21.0,16.0,13.0,
2019-10-13,,20.0,15.0,12.0,
2019-10-20,,26.0,20.0,16.0,
2019-10-27,,15.0,12.0,10.0,
2019-11-03,,22.0,17.0,14.0,
2019-11-10,,28.0,22.0,17.0,
2019-11-17,,24.0,19.0,15.0,
2019-11-24,,15.0,11.0,9.0,
2019-12-01,,28.0,22.0,17.0,
2019-12-08,,19.0,15.0,12.0,
2019-12-15,,8.0,6.0,5.0,
2019-12-22,,20.0,16.0,13.0,
2019-12-29,,17.0,13.0,10.0,
2020-01-05,,,13.0,10.0,10.0
2020-01-12,,,20.0,16.0,16.0
2020-01-19,,,18.0,14.0,14.0
2020-01-26,,,14.0,11.0,11.0
2020-02-02,,,17.0,14.0,14.0
2020-02-09,,,14.0,11.0,11.0
2020-02-16,,,16.0,13.0,13.0
2020-02-23,,,14.0,11.0,11.0
2020-03-01,,,2.0,2.0,2.0
2020-03-08,,,15.0,12.0,12.0
2020-03-15,,,40.0,32.0,32.0
