date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,16.0,16.0,15.0,,
2018-01-14,33.0,32.0,30.0,,
2018-01-21,50.0,50.0,46.0,,
2018-01-28,54.0,53.0,49.0,,
2018-02-04,28.0,27.0,25.0,,
2018-02-11,67.0,67.0,62.0,,
2018-02-18,30.0,30.0,28.0,,
2018-02-25,38.0,38.0,35.0,,
2018-03-04,14.0,14.0,13.0,,
2018-03-11,42.0,42.0,39.0,,
2018-03-18,18.0,18.0,17.0,,
2018-03-25,14.0,14.0,13.0,,
2018-04-01,21.0,21.0,20.0,,
2018-04-08,33.0,33.0,31.0,,
2018-04-15,21.0,20.0,19.0,,
2018-04-22,15.0,15.0,14.0,,
2018-04-29,61.0,61.0,56.0,,
2018-05-06,10.0,10.0,9.0,,
2018-05-13,24.0,24.0,22.0,,
2018-05-20,13.0,13.0,12.0,,
2018-05-27,45.0,45.0,42.0,,
2018-06-03,21.0,21.0,20.0,,
2018-06-10,41.0,40.0,37.0,,
2018-06-17,61.0,61.0,57.0,,
2018-06-24,100.0,99.0,92.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,15.0,15.0,14.0,,
2018-07-15,40.0,40.0,37.0,,
2018-07-22,27.0,26.0,24.0,,
2018-07-29,44.0,43.0,40.0,,
2018-08-05,44.0,44.0,41.0,,
2018-08-12,40.0,39.0,36.0,,
2018-08-19,39.0,38.0,36.0,,
2018-08-26,28.0,28.0,26.0,,
2018-09-02,30.0,30.0,28.0,,
2018-09-09,32.0,32.0,29.0,,
2018-09-16,37.0,37.0,34.0,,
2018-09-23,37.0,37.0,34.0,,
2018-09-30,55.0,54.0,50.0,,
2018-10-07,0.0,0.0,0.0,,
2018-10-14,18.0,18.0,17.0,,
2018-10-21,27.0,27.0,25.0,,
2018-10-28,22.0,22.0,20.0,,
2018-11-04,13.0,13.0,12.0,,
2018-11-11,32.0,32.0,29.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,12.0,11.0,11.0,,
2018-12-02,30.0,30.0,28.0,,
2018-12-09,24.0,24.0,22.0,,
2018-12-16,17.0,17.0,16.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,34.0,34.0,31.0,,
2019-01-06,,46.0,42.0,20.0,
2019-01-13,,100.0,93.0,44.0,
2019-01-20,,62.0,58.0,27.0,
2019-01-27,,13.0,12.0,6.0,
2019-02-03,,37.0,35.0,16.0,
2019-02-10,,41.0,38.0,18.0,
2019-02-17,,35.0,32.0,15.0,
2019-02-24,,26.0,24.0,11.0,
2019-03-03,,36.0,34.0,16.0,
2019-03-10,,14.0,13.0,6.0,
2019-03-17,,44.0,41.0,19.0,
2019-03-24,,29.0,27.0,13.0,
2019-03-31,,23.0,22.0,10.0,
2019-04-07,,37.0,34.0,16.0,
2019-04-14,,31.0,28.0,13.0,
2019-04-21,,11.0,10.0,5.0,
2019-04-28,,25.0,23.0,11.0,
2019-05-05,,37.0,34.0,16.0,
2019-05-12,,53.0,49.0,23.0,
2019-05-19,,28.0,26.0,12.0,
2019-05-26,,25.0,23.0,11.0,
2019-06-02,,25.0,23.0,11.0,
2019-06-09,,22.0,20.0,10.0,
2019-06-16,,55.0,51.0,24.0,
2019-06-23,,37.0,34.0,16.0,
2019-06-30,,31.0,29.0,14.0,
2019-07-07,,50.0,46.0,22.0,
2019-07-14,,53.0,49.0,23.0,
2019-07-21,,0.0,0.0,0.0,
2019-07-28,,36.0,34.0,16.0,
2019-08-04,,0.0,0.0,0.0,
2019-08-11,,23.0,22.0,10.0,
2019-08-18,,39.0,36.0,17.0,
2019-08-25,,35.0,32.0,15.0,
2019-09-01,,27.0,25.0,12.0,
2019-09-08,,30.0,28.0,13.0,
2019-09-15,,39.0,36.0,17.0,
2019-09-22,,17.0,15.0,7.0,
2019-09-29,,19.0,18.0,8.0,
2019-10-06,,26.0,24.0,11.0,
2019-10-13,,12.0,11.0,5.0,
2019-10-20,,25.0,23.0,11.0,
2019-10-27,,11.0,10.0,5.0,
2019-11-03,,30.0,28.0,13.0,
2019-11-10,,28.0,26.0,12.0,
2019-11-17,,38.0,36.0,17.0,
2019-11-24,,12.0,11.0,5.0,
2019-12-01,,48.0,44.0,21.0,
2019-12-08,,39.0,36.0,17.0,
