date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,51.0,27.0,27.0,,
2018-01-14,55.0,29.0,29.0,,
2018-01-21,55.0,29.0,29.0,,
2018-01-28,66.0,35.0,35.0,,
2018-02-04,71.0,38.0,38.0,,
2018-02-11,79.0,42.0,42.0,,
2018-02-18,57.0,30.0,30.0,,
2018-02-25,52.0,27.0,27.0,,
2018-03-04,36.0,19.0,19.0,,
2018-03-11,59.0,31.0,31.0,,
2018-03-18,64.0,34.0,34.0,,
2018-03-25,34.0,18.0,18.0,,
2018-04-01,57.0,30.0,30.0,,
2018-04-08,59.0,31.0,31.0,,
2018-04-15,46.0,25.0,25.0,,
2018-04-22,66.0,35.0,35.0,,
2018-04-29,47.0,25.0,25.0,,
2018-05-06,59.0,31.0,31.0,,
2018-05-13,50.0,27.0,27.0,,
2018-05-20,58.0,31.0,31.0,,
2018-05-27,47.0,25.0,25.0,,
2018-06-03,51.0,27.0,27.0,,
2018-06-10,50.0,27.0,27.0,,
2018-06-17,100.0,53.0,53.0,,
2018-06-24,57.0,30.0,30.0,,
2018-07-01,66.0,35.0,35.0,,
2018-07-08,67.0,35.0,35.0,,
2018-07-15,28.0,15.0,15.0,,
2018-07-22,59.0,32.0,32.0,,
2018-07-29,71.0,38.0,38.0,,
2018-08-05,81.0,43.0,43.0,,
2018-08-12,49.0,26.0,26.0,,
2018-08-19,43.0,23.0,23.0,,
2018-08-26,51.0,27.0,27.0,,
2018-09-02,58.0,31.0,31.0,,
2018-09-09,49.0,26.0,26.0,,
2018-09-16,65.0,35.0,35.0,,
2018-09-23,55.0,29.0,29.0,,
2018-09-30,65.0,35.0,35.0,,
2018-10-07,64.0,34.0,34.0,,
2018-10-14,52.0,27.0,27.0,,
2018-10-21,42.0,22.0,22.0,,
2018-10-28,49.0,26.0,26.0,,
2018-11-04,56.0,30.0,30.0,,
2018-11-11,59.0,32.0,32.0,,
2018-11-18,37.0,20.0,20.0,,
2018-11-25,46.0,25.0,25.0,,
2018-12-02,46.0,24.0,24.0,,
2018-12-09,51.0,27.0,27.0,,
2018-12-16,56.0,30.0,30.0,,
2018-12-23,43.0,23.0,23.0,,
2018-12-30,71.0,38.0,38.0,,
2019-01-06,,70.0,70.0,70.0,
2019-01-13,,100.0,100.0,100.0,
2019-01-20,,56.0,56.0,56.0,
2019-01-27,,42.0,42.0,42.0,
2019-02-03,,32.0,32.0,32.0,
2019-02-10,,33.0,33.0,33.0,
2019-02-17,,42.0,42.0,42.0,
2019-02-24,,34.0,34.0,34.0,
2019-03-03,,28.0,28.0,28.0,
2019-03-10,,21.0,21.0,21.0,
2019-03-17,,24.0,24.0,24.0,
2019-03-24,,27.0,27.0,27.0,
2019-03-31,,27.0,27.0,27.0,
2019-04-07,,21.0,21.0,21.0,
2019-04-14,,25.0,25.0,25.0,
2019-04-21,,24.0,24.0,24.0,
2019-04-28,,30.0,30.0,30.0,
2019-05-05,,37.0,37.0,37.0,
2019-05-12,,40.0,40.0,40.0,
2019-05-19,,23.0,23.0,23.0,
2019-05-26,,27.0,27.0,27.0,
2019-06-02,,47.0,47.0,47.0,
2019-06-09,,49.0,49.0,49.0,
2019-06-16,,31.0,31.0,31.0,
2019-06-23,,26.0,26.0,26.0,
2019-06-30,,43.0,43.0,43.0,
2019-07-07,,29.0,29.0,29.0,
2019-07-14,,35.0,35.0,35.0,
2019-07-21,,37.0,37.0,37.0,
2019-07-28,,44.0,44.0,44.0,
2019-08-04,,43.0,43.0,43.0,
2019-08-11,,34.0,34.0,34.0,
2019-08-18,,26.0,26.0,26.0,
2019-08-25,,23.0,23.0,23.0,
2019-09-01,,28.0,28.0,28.0,
2019-09-08,,39.0,39.0,39.0,
2019-09-15,,20.0,20.0,20.0,
2019-09-22,,23.0,23.0,23.0,
2019-09-29,,31.0,31.0,31.0,
2019-10-06,,30.0,30.0,30.0,
2019-10-13,,32.0,32.0,32.0,
2019-10-20,,30.0,30.0,30.0,
2019-10-27,,29.0,29.0,29.0,
2019-11-03,,37.0,37.0,37.0,
2019-11-10,,26.0,26.0,26.0,
2019-11-17,,33.0,33.0,33.0,
2019-11-24,,24.0,24.0,24.0,
2019-12-01,,58.0,58.0,58.0,
2019-12-08,,35.0,35.0,35.0,
2019-12-15,,27.0,27.0,27.0,
2019-12-22,,23.0,23.0,23.0,
2019-12-29,,24.0,24.0,24.0,
2020-01-05,,,35.0,35.0,40.0
2020-01-12,,,33.0,33.0,38.0
2020-01-19,,,30.0,30.0,34.0
2020-01-26,,,25.0,25.0,29.0
2020-02-02,,,30.0,30.0,35.0
2020-02-09,,,27.0,27.0,31.0
2020-02-16,,,26.0,26.0,30.0
2020-02-23,,,22.0,22.0,25.0
2020-03-01,,,28.0,28.0,33.0
2020-03-08,,,34.0,34.0,39.0
2020-03-15,,,37.0,37.0,42.0
2020-03-22,,,57.0,57.0,65.0
2020-03-29,,,71.0,71.0,81.0
2020-04-05,,,65.0,65.0,74.0
2020-04-12,,,87.0,87.0,100.0
2020-04-19,,,46.0,46.0,52.0
2020-04-26,,,60.0,60.0,68.0
2020-05-03,,,52.0,52.0,59.0
2020-05-10,,,60.0,60.0,68.0
2020-05-17,,,49.0,49.0,56.0
2020-05-24,,,48.0,48.0,55.0
2020-05-31,,,41.0,41.0,47.0
2020-06-07,,,45.0,45.0,52.0
2020-06-14,,,40.0,40.0,45.0
2020-06-21,,,37.0,37.0,42.0
2020-06-28,,,41.0,41.0,47.0
2020-07-05,,,40.0,40.0,46.0
2020-07-12,,,40.0,40.0,46.0
2020-07-19,,,38.0,38.0,43.0
