date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,28.0,22.0,22.0,,
2018-01-14,68.0,54.0,54.0,,
2018-01-21,0.0,0.0,0.0,,
2018-01-28,35.0,28.0,28.0,,
2018-02-04,100.0,80.0,80.0,,
2018-02-11,46.0,37.0,37.0,,
2018-02-18,31.0,24.0,24.0,,
2018-02-25,42.0,33.0,33.0,,
2018-03-04,65.0,52.0,52.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,24.0,19.0,19.0,,
2018-03-25,30.0,24.0,24.0,,
2018-04-01,16.0,12.0,12.0,,
2018-04-08,54.0,43.0,43.0,,
2018-04-15,43.0,34.0,34.0,,
2018-04-22,32.0,26.0,26.0,,
2018-04-29,67.0,53.0,53.0,,
2018-05-06,51.0,40.0,40.0,,
2018-05-13,44.0,35.0,35.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,20.0,16.0,16.0,,
2018-06-03,43.0,34.0,34.0,,
2018-06-10,36.0,29.0,29.0,,
2018-06-17,74.0,59.0,59.0,,
2018-06-24,44.0,35.0,35.0,,
2018-07-01,58.0,46.0,46.0,,
2018-07-08,35.0,28.0,28.0,,
2018-07-15,38.0,31.0,31.0,,
2018-07-22,50.0,40.0,40.0,,
2018-07-29,32.0,25.0,25.0,,
2018-08-05,32.0,25.0,25.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,27.0,22.0,22.0,,
2018-08-26,45.0,36.0,36.0,,
2018-09-02,65.0,51.0,51.0,,
2018-09-09,59.0,47.0,47.0,,
2018-09-16,42.0,34.0,34.0,,
2018-09-23,67.0,53.0,53.0,,
2018-09-30,51.0,40.0,40.0,,
2018-10-07,32.0,26.0,26.0,,
2018-10-14,39.0,31.0,31.0,,
2018-10-21,0.0,0.0,0.0,,
2018-10-28,67.0,53.0,53.0,,
2018-11-04,36.0,29.0,29.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,24.0,19.0,19.0,,
2018-12-02,0.0,0.0,0.0,,
2018-12-09,27.0,21.0,21.0,,
2018-12-16,35.0,28.0,28.0,,
2018-12-23,42.0,34.0,34.0,,
2018-12-30,30.0,24.0,24.0,,
2019-01-06,,41.0,41.0,33.0,
2019-01-13,,76.0,76.0,60.0,
2019-01-20,,34.0,34.0,27.0,
2019-01-27,,57.0,57.0,45.0,
2019-02-03,,40.0,40.0,32.0,
2019-02-10,,38.0,38.0,30.0,
2019-02-17,,82.0,82.0,64.0,
2019-02-24,,58.0,58.0,46.0,
2019-03-03,,76.0,76.0,60.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,24.0,24.0,19.0,
2019-03-24,,33.0,33.0,26.0,
2019-03-31,,27.0,27.0,22.0,
2019-04-07,,40.0,40.0,32.0,
2019-04-14,,22.0,22.0,17.0,
2019-04-21,,16.0,16.0,12.0,
2019-04-28,,0.0,0.0,0.0,
2019-05-05,,36.0,36.0,29.0,
2019-05-12,,23.0,23.0,18.0,
2019-05-19,,28.0,28.0,22.0,
2019-05-26,,13.0,13.0,10.0,
2019-06-02,,41.0,41.0,32.0,
2019-06-09,,23.0,23.0,18.0,
2019-06-16,,45.0,45.0,36.0,
2019-06-23,,16.0,16.0,12.0,
2019-06-30,,0.0,0.0,0.0,
2019-07-07,,0.0,0.0,0.0,
2019-07-14,,100.0,100.0,79.0,
2019-07-21,,40.0,40.0,32.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,74.0,74.0,59.0,
2019-08-11,,24.0,24.0,19.0,
2019-08-18,,37.0,37.0,29.0,
2019-08-25,,14.0,14.0,11.0,
2019-09-01,,29.0,29.0,23.0,
2019-09-08,,0.0,0.0,0.0,
2019-09-15,,0.0,0.0,0.0,
2019-09-22,,27.0,27.0,22.0,
2019-09-29,,30.0,30.0,23.0,
2019-10-06,,0.0,0.0,0.0,
2019-10-13,,75.0,75.0,59.0,
2019-10-20,,0.0,0.0,0.0,
2019-10-27,,0.0,0.0,0.0,
2019-11-03,,0.0,0.0,0.0,
2019-11-10,,21.0,21.0,17.0,
2019-11-17,,0.0,0.0,0.0,
2019-11-24,,21.0,21.0,17.0,
2019-12-01,,48.0,48.0,38.0,
2019-12-08,,23.0,23.0,18.0,
2019-12-15,,65.0,65.0,51.0,
2019-12-22,,24.0,24.0,19.0,
2019-12-29,,28.0,28.0,22.0,
2020-01-05,,,27.0,22.0,22.0
2020-01-12,,,16.0,13.0,13.0
2020-01-19,,,43.0,34.0,34.0
2020-01-26,,,33.0,26.0,26.0
2020-02-02,,,17.0,13.0,13.0
2020-02-09,,,0.0,0.0,0.0
2020-02-16,,,30.0,24.0,24.0
2020-02-23,,,11.0,9.0,9.0
2020-03-01,,,31.0,25.0,25.0
2020-03-08,,,22.0,17.0,17.0
2020-03-15,,,34.0,27.0,27.0
2020-03-22,,,41.0,32.0,32.0
2020-03-29,,,93.0,74.0,74.0
2020-04-05,,,85.0,67.0,67.0
2020-04-12,,,78.0,61.0,61.0
2020-04-19,,,31.0,24.0,24.0
2020-04-26,,,52.0,41.0,41.0
2020-05-03,,,72.0,57.0,57.0
2020-05-10,,,50.0,40.0,40.0
2020-05-17,,,71.0,56.0,56.0
2020-05-24,,,57.0,45.0,45.0
2020-05-31,,,46.0,37.0,37.0
2020-06-07,,,0.0,0.0,0.0
2020-06-14,,,16.0,13.0,13.0
2020-06-21,,,48.0,38.0,38.0
2020-06-28,,,41.0,32.0,32.0
2020-07-05,,,0.0,0.0,0.0
2020-07-12,,,20.0,16.0,16.0
2020-07-19,,,52.0,41.0,41.0
2020-07-26,,,26.0,20.0,20.0
2020-08-02,,,39.0,31.0,31.0
2020-08-09,,,90.0,71.0,71.0
2020-08-16,,,28.0,22.0,22.0
2020-08-23,,,24.0,19.0,19.0
2020-08-30,,,29.0,23.0,23.0
2020-09-06,,,88.0,70.0,70.0
2020-09-13,,,57.0,45.0,45.0
2020-09-20,,,24.0,19.0,19.0
2020-09-27,,,39.0,31.0,31.0
2020-10-04,,,37.0,29.0,29.0
2020-10-11,,,24.0,19.0,19.0
2020-10-18,,,78.0,62.0,62.0
2020-10-25,,,45.0,36.0,36.0
2020-11-01,,,13.0,10.0,10.0
2020-11-08,,,43.0,34.0,34.0
2020-11-15,,,36.0,28.0,28.0
2020-11-22,,,37.0,30.0,30.0
2020-11-29,,,45.0,36.0,36.0
2020-12-06,,,39.0,31.0,31.0
2020-12-13,,,98.0,78.0,78.0
2020-12-20,,,0.0,0.0,0.0
2020-12-27,,,62.0,49.0,49.0
2021-01-03,,,,16.0,16.0
2021-01-10,,,,52.0,52.0
2021-01-17,,,,32.0,32.0
2021-01-24,,,,55.0,55.0
2021-01-31,,,,35.0,35.0
2021-02-07,,,,48.0,48.0
2021-02-14,,,,100.0,100.0
2021-02-21,,,,38.0,38.0
2021-02-28,,,,34.0,34.0
2021-03-07,,,,0.0,0.0
2021-03-14,,,,31.0,31.0
2021-03-21,,,,45.0,45.0
2021-03-28,,,,14.0,14.0
2021-04-04,,,,19.0,19.0
2021-04-11,,,,56.0,56.0
2021-04-18,,,,84.0,84.0
2021-04-25,,,,25.0,25.0
2021-05-02,,,,0.0,0.0
2021-05-09,,,,34.0,34.0
2021-05-16,,,,0.0,0.0
2021-05-23,,,,35.0,35.0
2021-05-30,,,,33.0,33.0
2021-06-06,,,,0.0,0.0
2021-06-13,,,,61.0,61.0
2021-06-20,,,,36.0,36.0
2021-06-27,,,,34.0,34.0
2021-07-04,,,,43.0,43.0
2021-07-11,,,,26.0,26.0
2021-07-18,,,,34.0,34.0
2021-07-25,,,,0.0,0.0
2021-08-01,,,,16.0,16.0
2021-08-08,,,,20.0,20.0
2021-08-15,,,,72.0,72.0
2021-08-22,,,,29.0,29.0
2021-08-29,,,,40.0,40.0
2021-09-05,,,,48.0,48.0
2021-09-12,,,,36.0,36.0
2021-09-19,,,,40.0,40.0
2021-09-26,,,,16.0,16.0
2021-10-03,,,,78.0,78.0
2021-10-10,,,,60.0,60.0
2021-10-17,,,,66.0,66.0
2021-10-24,,,,17.0,17.0
2021-10-31,,,,30.0,30.0
2021-11-07,,,,41.0,41.0
2021-11-14,,,,0.0,0.0
2021-11-21,,,,12.0,12.0
2021-11-28,,,,40.0,40.0
2021-12-05,,,,22.0,22.0
2021-12-12,,,,43.0,43.0
2021-12-19,,,,0.0,0.0
2021-12-26,,,,27.0,27.0
2022-01-02,,,,,43.0
2022-01-09,,,,,62.0
2022-01-16,,,,,37.0
2022-01-23,,,,,34.0
2022-01-30,,,,,43.0
2022-02-06,,,,,21.0
2022-02-13,,,,,57.0
2022-02-20,,,,,41.0
2022-02-27,,,,,31.0
2022-03-06,,,,,15.0
2022-03-13,,,,,31.0
2022-03-20,,,,,62.0
2022-03-27,,,,,21.0
2022-04-03,,,,,48.0
2022-04-10,,,,,14.0
2022-04-17,,,,,25.0
2022-04-24,,,,,26.0
2022-05-01,,,,,58.0
2022-05-08,,,,,43.0
2022-05-15,,,,,39.0
2022-05-22,,,,,22.0
2022-05-29,,,,,16.0
2022-06-05,,,,,29.0
2022-06-12,,,,,55.0
2022-06-19,,,,,0.0
2022-06-26,,,,,14.0
2022-07-03,,,,,28.0
2022-07-10,,,,,32.0
2022-07-17,,,,,34.0
2022-07-24,,,,,87.0
2022-07-31,,,,,17.0
2022-08-07,,,,,49.0
2022-08-14,,,,,39.0
2022-08-21,,,,,54.0
2022-08-28,,,,,31.0
2022-09-04,,,,,50.0
2022-09-11,,,,,18.0
2022-09-18,,,,,13.0
2022-09-25,,,,,25.0
2022-10-02,,,,,40.0
2022-10-09,,,,,36.0
2022-10-16,,,,,40.0
2022-10-23,,,,,26.0
2022-10-30,,,,,22.0
2022-11-06,,,,,18.0
2022-11-13,,,,,71.0
2022-11-20,,,,,30.0
2022-11-27,,,,,38.0
2022-12-04,,,,,29.0
2022-12-11,,,,,36.0
2022-12-18,,,,,24.0
2022-12-25,,,,,55.0
2023-01-01,,,,,0.0
