date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,38.0,38.0,38.0,38.0,38.0
2018-01-14,17.0,17.0,17.0,17.0,17.0
2018-01-21,43.0,43.0,43.0,43.0,43.0
2018-01-28,45.0,45.0,45.0,45.0,45.0
2018-02-04,25.0,25.0,25.0,25.0,25.0
2018-02-11,21.0,21.0,21.0,21.0,21.0
2018-02-18,13.0,13.0,13.0,13.0,13.0
2018-02-25,38.0,38.0,38.0,38.0,38.0
2018-03-04,42.0,42.0,42.0,42.0,42.0
2018-03-11,23.0,23.0,23.0,23.0,23.0
2018-03-18,40.0,40.0,40.0,40.0,40.0
2018-03-25,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0
2018-04-08,25.0,25.0,25.0,25.0,25.0
2018-04-15,34.0,34.0,34.0,34.0,34.0
2018-04-22,53.0,53.0,53.0,53.0,53.0
2018-04-29,24.0,24.0,24.0,24.0,24.0
2018-05-06,19.0,19.0,19.0,19.0,19.0
2018-05-13,15.0,15.0,15.0,15.0,15.0
2018-05-20,35.0,35.0,35.0,35.0,35.0
2018-05-27,19.0,19.0,19.0,19.0,19.0
2018-06-03,46.0,46.0,46.0,46.0,46.0
2018-06-10,54.0,54.0,54.0,54.0,54.0
2018-06-17,16.0,16.0,16.0,16.0,16.0
2018-06-24,0.0,0.0,0.0,0.0,0.0
2018-07-01,15.0,15.0,15.0,15.0,15.0
2018-07-08,33.0,33.0,33.0,33.0,33.0
2018-07-15,17.0,17.0,17.0,17.0,17.0
2018-07-22,85.0,85.0,85.0,85.0,85.0
2018-07-29,13.0,13.0,13.0,13.0,13.0
2018-08-05,17.0,17.0,17.0,17.0,17.0
2018-08-12,42.0,42.0,42.0,42.0,42.0
2018-08-19,38.0,38.0,38.0,38.0,38.0
2018-08-26,34.0,34.0,34.0,34.0,34.0
2018-09-02,0.0,0.0,0.0,0.0,0.0
2018-09-09,49.0,49.0,49.0,49.0,49.0
2018-09-16,33.0,33.0,33.0,33.0,33.0
2018-09-23,96.0,96.0,96.0,96.0,96.0
2018-09-30,100.0,100.0,100.0,100.0,100.0
2018-10-07,78.0,78.0,78.0,78.0,78.0
2018-10-14,45.0,45.0,45.0,45.0,45.0
2018-10-21,35.0,35.0,35.0,35.0,35.0
2018-10-28,38.0,38.0,38.0,38.0,38.0
2018-11-04,0.0,0.0,0.0,0.0,0.0
2018-11-11,36.0,36.0,36.0,36.0,36.0
2018-11-18,33.0,33.0,33.0,33.0,33.0
2018-11-25,58.0,58.0,58.0,58.0,58.0
2018-12-02,44.0,44.0,44.0,44.0,44.0
2018-12-09,30.0,30.0,30.0,30.0,30.0
2018-12-16,18.0,18.0,18.0,18.0,18.0
2018-12-23,0.0,0.0,0.0,0.0,0.0
2018-12-30,57.0,57.0,57.0,57.0,57.0
2019-01-06,,43.75,43.75,43.75,43.75
2019-01-13,,65.0,65.0,65.0,65.0
2019-01-20,,11.25,11.25,11.25,11.25
2019-01-27,,38.75,38.75,38.75,38.75
2019-02-03,,25.0,25.0,25.0,25.0
2019-02-10,,50.0,50.0,50.0,50.0
2019-02-17,,25.0,25.0,25.0,25.0
2019-02-24,,50.0,50.0,50.0,50.0
2019-03-03,,81.25,81.25,81.25,81.25
2019-03-10,,66.25,66.25,66.25,66.25
2019-03-17,,40.0,40.0,40.0,40.0
2019-03-24,,56.25,56.25,56.25,56.25
2019-03-31,,87.5,87.5,87.5,87.5
2019-04-07,,35.0,35.0,35.0,35.0
2019-04-14,,0.0,0.0,0.0,0.0
2019-04-21,,56.25,56.25,56.25,56.25
2019-04-28,,18.75,18.75,18.75,18.75
2019-05-05,,0.0,0.0,0.0,0.0
2019-05-12,,46.25,46.25,46.25,46.25
2019-05-19,,41.25,41.25,41.25,41.25
2019-05-26,,36.25,36.25,36.25,36.25
2019-06-02,,76.25,76.25,76.25,76.25
2019-06-09,,0.0,0.0,0.0,0.0
2019-06-16,,42.5,42.5,42.5,42.5
2019-06-23,,31.25,31.25,31.25,31.25
