date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,37.0,37.0,37.0,37.0,37.0
2018-01-14,17.0,17.0,17.0,17.0,17.0
2018-01-21,0.0,0.0,0.0,0.0,0.0
2018-01-28,38.0,38.0,38.0,38.0,38.0
2018-02-04,16.0,16.0,16.0,16.0,16.0
2018-02-11,20.0,20.0,20.0,20.0,20.0
2018-02-18,0.0,0.0,0.0,0.0,0.0
2018-02-25,18.0,18.0,18.0,18.0,18.0
2018-03-04,29.0,29.0,29.0,29.0,29.0
2018-03-11,0.0,0.0,0.0,0.0,0.0
2018-03-18,42.0,42.0,42.0,42.0,42.0
2018-03-25,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0
2018-04-08,31.0,31.0,31.0,31.0,31.0
2018-04-15,30.0,30.0,30.0,30.0,30.0
2018-04-22,29.0,29.0,29.0,29.0,29.0
2018-04-29,27.0,27.0,27.0,27.0,27.0
2018-05-06,100.0,100.0,100.0,100.0,100.0
2018-05-13,0.0,0.0,0.0,0.0,0.0
2018-05-20,0.0,0.0,0.0,0.0,0.0
2018-05-27,0.0,0.0,0.0,0.0,0.0
2018-06-03,0.0,0.0,0.0,0.0,0.0
2018-06-10,24.0,24.0,24.0,24.0,24.0
2018-06-17,0.0,0.0,0.0,0.0,0.0
2018-06-24,37.0,37.0,37.0,37.0,37.0
2018-07-01,57.0,57.0,57.0,57.0,57.0
2018-07-08,58.0,58.0,58.0,58.0,58.0
2018-07-15,0.0,0.0,0.0,0.0,0.0
2018-07-22,0.0,0.0,0.0,0.0,0.0
2018-07-29,0.0,0.0,0.0,0.0,0.0
2018-08-05,0.0,0.0,0.0,0.0,0.0
2018-08-12,26.0,26.0,26.0,26.0,26.0
2018-08-19,0.0,0.0,0.0,0.0,0.0
2018-08-26,0.0,0.0,0.0,0.0,0.0
2018-09-02,0.0,0.0,0.0,0.0,0.0
2018-09-09,14.0,14.0,14.0,14.0,14.0
2018-09-16,0.0,0.0,0.0,0.0,0.0
2018-09-23,0.0,0.0,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0,0.0,0.0
2018-10-14,23.0,23.0,23.0,23.0,23.0
2018-10-21,0.0,0.0,0.0,0.0,0.0
2018-10-28,31.0,31.0,31.0,31.0,31.0
2018-11-04,20.0,20.0,20.0,20.0,20.0
2018-11-11,27.0,27.0,27.0,27.0,27.0
2018-11-18,0.0,0.0,0.0,0.0,0.0
2018-11-25,0.0,0.0,0.0,0.0,0.0
2018-12-02,0.0,0.0,0.0,0.0,0.0
2018-12-09,0.0,0.0,0.0,0.0,0.0
2018-12-16,23.0,23.0,23.0,23.0,23.0
2018-12-23,0.0,0.0,0.0,0.0,0.0
2018-12-30,33.0,33.0,33.0,33.0,33.0
2019-01-06,,0.0,0.0,0.0,0.0
2019-01-13,,60.0,60.0,60.0,60.0
2019-01-20,,17.0,17.0,17.0,17.0
2019-01-27,,0.0,0.0,0.0,0.0
2019-02-03,,0.0,0.0,0.0,0.0
2019-02-10,,0.0,0.0,0.0,0.0
2019-02-17,,0.0,0.0,0.0,0.0
2019-02-24,,19.0,19.0,19.0,19.0
2019-03-03,,24.0,24.0,24.0,24.0
2019-03-10,,15.0,15.0,15.0,15.0
2019-03-17,,0.0,0.0,0.0,0.0
2019-03-24,,0.0,0.0,0.0,0.0
2019-03-31,,24.0,24.0,24.0,24.0
2019-04-07,,19.0,19.0,19.0,19.0
2019-04-14,,0.0,0.0,0.0,0.0
2019-04-21,,55.0,55.0,55.0,55.0
2019-04-28,,0.0,0.0,0.0,0.0
2019-05-05,,0.0,0.0,0.0,0.0
2019-05-12,,0.0,0.0,0.0,0.0
2019-05-19,,0.0,0.0,0.0,0.0
2019-05-26,,0.0,0.0,0.0,0.0
2019-06-02,,0.0,0.0,0.0,0.0
2019-06-09,,45.0,45.0,45.0,45.0
2019-06-16,,0.0,0.0,0.0,0.0
2019-06-23,,0.0,0.0,0.0,0.0
2019-06-30,,0.0,0.0,0.0,0.0
2019-07-07,,22.0,22.0,22.0,22.0
2019-07-14,,0.0,0.0,0.0,0.0
2019-07-21,,0.0,0.0,0.0,0.0
2019-07-28,,0.0,0.0,0.0,0.0
2019-08-04,,0.0,0.0,0.0,0.0
2019-08-11,,0.0,0.0,0.0,0.0
2019-08-18,,0.0,0.0,0.0,0.0
2019-08-25,,0.0,0.0,0.0,0.0
2019-09-01,,0.0,0.0,0.0,0.0
2019-09-08,,0.0,0.0,0.0,0.0
2019-09-15,,0.0,0.0,0.0,0.0
2019-09-22,,0.0,0.0,0.0,0.0
2019-09-29,,0.0,0.0,0.0,0.0
2019-10-06,,23.0,23.0,23.0,23.0
2019-10-13,,0.0,0.0,0.0,0.0
2019-10-20,,0.0,0.0,0.0,0.0
2019-10-27,,61.0,61.0,61.0,61.0
2019-11-03,,33.0,33.0,33.0,33.0
2019-11-10,,0.0,0.0,0.0,0.0
2019-11-17,,21.0,21.0,21.0,21.0
2019-11-24,,41.0,41.0,41.0,41.0
2019-12-01,,50.0,50.0,50.0,50.0
2019-12-08,,39.0,39.0,39.0,39.0
2019-12-15,,0.0,0.0,0.0,0.0
2019-12-22,,25.0,25.0,25.0,25.0
2019-12-29,,0.0,0.0,0.0,0.0
2020-01-05,,,17.0,17.0,17.0
2020-01-12,,,0.0,0.0,0.0
2020-01-19,,,13.0,13.0,13.0
2020-01-26,,,0.0,0.0,0.0
2020-02-02,,,0.0,0.0,0.0
2020-02-09,,,42.0,42.0,42.0
2020-02-16,,,0.0,0.0,0.0
2020-02-23,,,29.0,29.0,29.0
2020-03-01,,,22.0,22.0,22.0
2020-03-08,,,0.0,0.0,0.0
2020-03-15,,,20.0,20.0,20.0
2020-03-22,,,33.0,33.0,33.0
2020-03-29,,,31.0,31.0,31.0
2020-04-05,,,29.0,29.0,29.0
2020-04-12,,,52.0,52.0,52.0
2020-04-19,,,20.0,20.0,20.0
