date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,61.0,61.0,61.0,61.0,61.0
2018-01-14,0.0,0.0,0.0,0.0,0.0
2018-01-21,0.0,0.0,0.0,0.0,0.0
2018-01-28,0.0,0.0,0.0,0.0,0.0
2018-02-04,0.0,0.0,0.0,0.0,0.0
2018-02-11,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0
2018-02-25,32.0,32.0,32.0,32.0,32.0
2018-03-04,0.0,0.0,0.0,0.0,0.0
2018-03-11,52.0,52.0,52.0,52.0,52.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-25,71.0,71.0,71.0,71.0,71.0
2018-04-01,100.0,100.0,100.0,100.0,100.0
2018-04-08,0.0,0.0,0.0,0.0,0.0
2018-04-15,0.0,0.0,0.0,0.0,0.0
2018-04-22,0.0,0.0,0.0,0.0,0.0
2018-04-29,0.0,0.0,0.0,0.0,0.0
2018-05-06,0.0,0.0,0.0,0.0,0.0
2018-05-13,0.0,0.0,0.0,0.0,0.0
2018-05-20,68.0,68.0,68.0,68.0,68.0
2018-05-27,57.0,57.0,57.0,57.0,57.0
2018-06-03,0.0,0.0,0.0,0.0,0.0
2018-06-10,0.0,0.0,0.0,0.0,0.0
2018-06-17,50.0,50.0,50.0,50.0,50.0
2018-06-24,0.0,0.0,0.0,0.0,0.0
2018-07-01,59.0,59.0,59.0,59.0,59.0
2018-07-08,0.0,0.0,0.0,0.0,0.0
2018-07-15,0.0,0.0,0.0,0.0,0.0
2018-07-22,0.0,0.0,0.0,0.0,0.0
2018-07-29,90.0,90.0,90.0,90.0,90.0
2018-08-05,0.0,0.0,0.0,0.0,0.0
2018-08-12,47.0,47.0,47.0,47.0,47.0
2018-08-19,42.0,42.0,42.0,42.0,42.0
2018-08-26,56.0,56.0,56.0,56.0,56.0
2018-09-02,0.0,0.0,0.0,0.0,0.0
2018-09-09,30.0,30.0,30.0,30.0,30.0
2018-09-16,72.0,72.0,72.0,72.0,72.0
2018-09-23,0.0,0.0,0.0,0.0,0.0
2018-09-30,36.0,36.0,36.0,36.0,36.0
2018-10-07,0.0,0.0,0.0,0.0,0.0
2018-10-14,40.0,40.0,40.0,40.0,40.0
2018-10-21,66.0,66.0,66.0,66.0,66.0
2018-10-28,54.0,54.0,54.0,54.0,54.0
2018-11-04,0.0,0.0,0.0,0.0,0.0
2018-11-11,0.0,0.0,0.0,0.0,0.0
2018-11-18,77.0,77.0,77.0,77.0,77.0
2018-11-25,0.0,0.0,0.0,0.0,0.0
2018-12-02,31.0,31.0,31.0,31.0,31.0
2018-12-09,81.0,81.0,81.0,81.0,81.0
2018-12-16,0.0,0.0,0.0,0.0,0.0
2018-12-23,0.0,0.0,0.0,0.0,0.0
2018-12-30,79.0,79.0,79.0,79.0,79.0
2019-01-06,,70.0,70.0,70.0,70.0
2019-01-13,,49.0,49.0,49.0,49.0
2019-01-20,,81.0,81.0,81.0,81.0
2019-01-27,,0.0,0.0,0.0,0.0
2019-02-03,,0.0,0.0,0.0,0.0
2019-02-10,,65.0,65.0,65.0,65.0
2019-02-17,,0.0,0.0,0.0,0.0
2019-02-24,,47.0,47.0,47.0,47.0
2019-03-03,,62.0,62.0,62.0,62.0
2019-03-10,,0.0,0.0,0.0,0.0
2019-03-17,,0.0,0.0,0.0,0.0
2019-03-24,,36.0,36.0,36.0,36.0
2019-03-31,,0.0,0.0,0.0,0.0
2019-04-07,,0.0,0.0,0.0,0.0
2019-04-14,,0.0,0.0,0.0,0.0
