date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,77.0,77.0,77.0,77.0,77.0
2018-01-14,53.0,53.0,53.0,53.0,53.0
2018-01-21,41.0,41.0,41.0,41.0,41.0
2018-01-28,80.0,80.0,80.0,80.0,80.0
2018-02-04,96.0,96.0,96.0,96.0,96.0
2018-02-11,73.0,73.0,73.0,73.0,73.0
2018-02-18,39.0,39.0,39.0,39.0,39.0
2018-02-25,62.0,62.0,62.0,62.0,62.0
2018-03-04,89.0,89.0,89.0,89.0,89.0
2018-03-11,71.0,71.0,71.0,71.0,71.0
2018-03-18,57.0,57.0,57.0,57.0,57.0
2018-03-25,41.0,41.0,41.0,41.0,41.0
2018-04-01,98.0,98.0,98.0,98.0,98.0
2018-04-08,70.0,70.0,70.0,70.0,70.0
2018-04-15,53.0,53.0,53.0,53.0,53.0
2018-04-22,26.0,26.0,26.0,26.0,26.0
2018-04-29,65.0,65.0,65.0,65.0,65.0
2018-05-06,83.0,83.0,83.0,83.0,83.0
2018-05-13,40.0,40.0,40.0,40.0,40.0
2018-05-20,39.0,39.0,39.0,39.0,39.0
2018-05-27,52.0,52.0,52.0,52.0,52.0
2018-06-03,100.0,100.0,100.0,100.0,100.0
2018-06-10,72.0,72.0,72.0,72.0,72.0
2018-06-17,76.0,76.0,76.0,76.0,76.0
2018-06-24,93.0,93.0,93.0,93.0,93.0
2018-07-01,69.0,69.0,69.0,69.0,69.0
2018-07-08,77.0,77.0,77.0,77.0,77.0
2018-07-15,73.0,73.0,73.0,73.0,73.0
2018-07-22,23.0,23.0,23.0,23.0,23.0
2018-07-29,50.0,50.0,50.0,50.0,50.0
2018-08-05,70.0,70.0,70.0,70.0,70.0
2018-08-12,50.0,50.0,50.0,50.0,50.0
2018-08-19,57.0,57.0,57.0,57.0,57.0
2018-08-26,54.0,54.0,54.0,54.0,54.0
2018-09-02,91.0,91.0,91.0,91.0,91.0
2018-09-09,53.0,53.0,53.0,53.0,53.0
2018-09-16,50.0,50.0,50.0,50.0,50.0
2018-09-23,45.0,45.0,45.0,45.0,45.0
2018-09-30,61.0,61.0,61.0,61.0,61.0
2018-10-07,54.0,54.0,54.0,54.0,54.0
2018-10-14,46.0,46.0,46.0,46.0,46.0
2018-10-21,44.0,44.0,44.0,44.0,44.0
2018-10-28,53.0,53.0,53.0,53.0,53.0
2018-11-04,69.0,69.0,69.0,69.0,69.0
2018-11-11,48.0,48.0,48.0,48.0,48.0
2018-11-18,27.0,27.0,27.0,27.0,27.0
2018-11-25,34.0,34.0,34.0,34.0,34.0
2018-12-02,64.0,64.0,64.0,64.0,64.0
2018-12-09,57.0,57.0,57.0,57.0,57.0
2018-12-16,51.0,51.0,51.0,51.0,51.0
2018-12-23,37.0,37.0,37.0,37.0,37.0
2018-12-30,68.0,68.0,68.0,68.0,68.0
