date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,0.0,0.0
2018-01-14,62.0,62.0,62.0,62.0,62.0
2018-01-21,73.0,73.0,73.0,73.0,73.0
2018-01-28,0.0,0.0,0.0,0.0,0.0
2018-02-04,28.0,28.0,28.0,28.0,28.0
2018-02-11,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0
2018-02-25,0.0,0.0,0.0,0.0,0.0
2018-03-04,0.0,0.0,0.0,0.0,0.0
2018-03-11,0.0,0.0,0.0,0.0,0.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-25,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0
2018-04-08,0.0,0.0,0.0,0.0,0.0
2018-04-15,20.0,20.0,20.0,20.0,20.0
2018-04-22,0.0,0.0,0.0,0.0,0.0
2018-04-29,100.0,100.0,100.0,100.0,100.0
2018-05-06,55.0,55.0,55.0,55.0,55.0
2018-05-13,0.0,0.0,0.0,0.0,0.0
2018-05-20,24.0,24.0,24.0,24.0,24.0
2018-05-27,66.0,66.0,66.0,66.0,66.0
2018-06-03,0.0,0.0,0.0,0.0,0.0
2018-06-10,0.0,0.0,0.0,0.0,0.0
2018-06-17,0.0,0.0,0.0,0.0,0.0
2018-06-24,61.0,61.0,61.0,61.0,61.0
2018-07-01,0.0,0.0,0.0,0.0,0.0
2018-07-08,0.0,0.0,0.0,0.0,0.0
2018-07-15,0.0,0.0,0.0,0.0,0.0
2018-07-22,0.0,0.0,0.0,0.0,0.0
2018-07-29,0.0,0.0,0.0,0.0,0.0
2018-08-05,0.0,0.0,0.0,0.0,0.0
2018-08-12,0.0,0.0,0.0,0.0,0.0
2018-08-19,24.0,24.0,24.0,24.0,24.0
2018-08-26,0.0,0.0,0.0,0.0,0.0
2018-09-02,26.0,26.0,26.0,26.0,26.0
2018-09-09,70.0,70.0,70.0,70.0,70.0
2018-09-16,0.0,0.0,0.0,0.0,0.0
2018-09-23,0.0,0.0,0.0,0.0,0.0
2018-09-30,0.0,0.0,0.0,0.0,0.0
2018-10-07,0.0,0.0,0.0,0.0,0.0
2018-10-14,0.0,0.0,0.0,0.0,0.0
2018-10-21,0.0,0.0,0.0,0.0,0.0
2018-10-28,64.0,64.0,64.0,64.0,64.0
2018-11-04,0.0,0.0,0.0,0.0,0.0
2018-11-11,0.0,0.0,0.0,0.0,0.0
2018-11-18,0.0,0.0,0.0,0.0,0.0
2018-11-25,25.0,25.0,25.0,25.0,25.0
2018-12-02,0.0,0.0,0.0,0.0,0.0
2018-12-09,0.0,0.0,0.0,0.0,0.0
2018-12-16,0.0,0.0,0.0,0.0,0.0
2018-12-23,45.0,45.0,45.0,45.0,45.0
2018-12-30,0.0,0.0,0.0,0.0,0.0
2019-01-06,,62.0,62.0,62.0,62.0
2019-01-13,,0.0,0.0,0.0,0.0
2019-01-20,,0.0,0.0,0.0,0.0
2019-01-27,,0.0,0.0,0.0,0.0
2019-02-03,,0.0,0.0,0.0,0.0
2019-02-10,,0.0,0.0,0.0,0.0
2019-02-17,,44.0,44.0,44.0,44.0
2019-02-24,,0.0,0.0,0.0,0.0
2019-03-03,,0.0,0.0,0.0,0.0
2019-03-10,,27.0,27.0,27.0,27.0
2019-03-17,,0.0,0.0,0.0,0.0
2019-03-24,,27.0,27.0,27.0,27.0
2019-03-31,,65.0,65.0,65.0,65.0
2019-04-07,,0.0,0.0,0.0,0.0
2019-04-14,,0.0,0.0,0.0,0.0
2019-04-21,,0.0,0.0,0.0,0.0
2019-04-28,,0.0,0.0,0.0,0.0
2019-05-05,,32.0,32.0,32.0,32.0
2019-05-12,,26.0,26.0,26.0,26.0
2019-05-19,,0.0,0.0,0.0,0.0
2019-05-26,,0.0,0.0,0.0,0.0
2019-06-02,,40.0,40.0,40.0,40.0
2019-06-09,,0.0,0.0,0.0,0.0
2019-06-16,,0.0,0.0,0.0,0.0
2019-06-23,,0.0,0.0,0.0,0.0
2019-06-30,,0.0,0.0,0.0,0.0
2019-07-07,,0.0,0.0,0.0,0.0
2019-07-14,,52.0,52.0,52.0,52.0
2019-07-21,,29.0,29.0,29.0,29.0
2019-07-28,,0.0,0.0,0.0,0.0
2019-08-04,,0.0,0.0,0.0,0.0
2019-08-11,,0.0,0.0,0.0,0.0
2019-08-18,,0.0,0.0,0.0,0.0
2019-08-25,,26.0,26.0,26.0,26.0
2019-09-01,,0.0,0.0,0.0,0.0
2019-09-08,,0.0,0.0,0.0,0.0
2019-09-15,,0.0,0.0,0.0,0.0
2019-09-22,,0.0,0.0,0.0,0.0
2019-09-29,,0.0,0.0,0.0,0.0
2019-10-06,,0.0,0.0,0.0,0.0
2019-10-13,,30.0,30.0,30.0,30.0
2019-10-20,,0.0,0.0,0.0,0.0
2019-10-27,,0.0,0.0,0.0,0.0
2019-11-03,,0.0,0.0,0.0,0.0
2019-11-10,,0.0,0.0,0.0,0.0
2019-11-17,,20.0,20.0,20.0,20.0
2019-11-24,,0.0,0.0,0.0,0.0
2019-12-01,,0.0,0.0,0.0,0.0
2019-12-08,,0.0,0.0,0.0,0.0
2019-12-15,,0.0,0.0,0.0,0.0
2019-12-22,,0.0,0.0,0.0,0.0
2019-12-29,,0.0,0.0,0.0,0.0
2020-01-05,,,46.0,46.0,46.0
2020-01-12,,,22.0,22.0,22.0
2020-01-19,,,0.0,0.0,0.0
2020-01-26,,,0.0,0.0,0.0
2020-02-02,,,52.0,52.0,52.0
2020-02-09,,,0.0,0.0,0.0
2020-02-16,,,0.0,0.0,0.0
2020-02-23,,,0.0,0.0,0.0
2020-03-01,,,0.0,0.0,0.0
2020-03-08,,,0.0,0.0,0.0
2020-03-15,,,31.0,31.0,31.0
2020-03-22,,,0.0,0.0,0.0
2020-03-29,,,0.0,0.0,0.0
2020-04-05,,,26.0,26.0,26.0
2020-04-12,,,0.0,0.0,0.0
2020-04-19,,,38.0,38.0,38.0
2020-04-26,,,20.0,20.0,20.0
2020-05-03,,,0.0,0.0,0.0
2020-05-10,,,20.0,20.0,20.0
2020-05-17,,,0.0,0.0,0.0
2020-05-24,,,0.0,0.0,0.0
2020-05-31,,,0.0,0.0,0.0
2020-06-07,,,0.0,0.0,0.0
2020-06-14,,,0.0,0.0,0.0
2020-06-21,,,0.0,0.0,0.0
2020-06-28,,,35.0,35.0,35.0
2020-07-05,,,0.0,0.0,0.0
2020-07-12,,,0.0,0.0,0.0
2020-07-19,,,40.0,40.0,40.0
