date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,64.0,64.0,64.0,64.0,64.0
2018-01-14,76.0,76.0,76.0,76.0,76.0
2018-01-21,64.0,64.0,64.0,64.0,64.0
2018-01-28,70.0,70.0,70.0,70.0,70.0
2018-02-04,86.0,86.0,86.0,86.0,86.0
2018-02-11,100.0,100.0,100.0,100.0,100.0
2018-02-18,57.0,57.0,57.0,57.0,57.0
2018-02-25,69.0,69.0,69.0,69.0,69.0
2018-03-04,66.0,66.0,66.0,66.0,66.0
2018-03-11,51.0,51.0,51.0,51.0,51.0
2018-03-18,37.0,37.0,37.0,37.0,37.0
2018-03-25,70.0,70.0,70.0,70.0,70.0
2018-04-01,76.0,76.0,76.0,76.0,76.0
2018-04-08,91.0,91.0,91.0,91.0,91.0
2018-04-15,62.0,62.0,62.0,62.0,62.0
2018-04-22,82.0,82.0,82.0,82.0,82.0
2018-04-29,64.0,64.0,64.0,64.0,64.0
2018-05-06,67.0,67.0,67.0,67.0,67.0
2018-05-13,93.0,93.0,93.0,93.0,93.0
2018-05-20,54.0,54.0,54.0,54.0,54.0
2018-05-27,53.0,53.0,53.0,53.0,53.0
2018-06-03,86.0,86.0,86.0,86.0,86.0
2018-06-10,77.0,77.0,77.0,77.0,77.0
2018-06-17,95.0,95.0,95.0,95.0,95.0
2018-06-24,57.0,57.0,57.0,57.0,57.0
2018-07-01,84.0,84.0,84.0,84.0,84.0
2018-07-08,78.0,78.0,78.0,78.0,78.0
2018-07-15,77.0,77.0,77.0,77.0,77.0
2018-07-22,68.0,68.0,68.0,68.0,68.0
2018-07-29,79.0,79.0,79.0,79.0,79.0
2018-08-05,91.0,91.0,91.0,91.0,91.0
2018-08-12,81.0,81.0,81.0,81.0,81.0
2018-08-19,69.0,69.0,69.0,69.0,69.0
2018-08-26,74.0,74.0,74.0,74.0,74.0
2018-09-02,85.0,85.0,85.0,85.0,85.0
2018-09-09,48.0,48.0,48.0,48.0,48.0
2018-09-16,66.0,66.0,66.0,66.0,66.0
2018-09-23,59.0,59.0,59.0,59.0,59.0
2018-09-30,84.0,84.0,84.0,84.0,84.0
2018-10-07,73.0,73.0,73.0,73.0,73.0
2018-10-14,65.0,65.0,65.0,65.0,65.0
2018-10-21,63.0,63.0,63.0,63.0,63.0
2018-10-28,57.0,57.0,57.0,57.0,57.0
2018-11-04,76.0,76.0,76.0,76.0,76.0
2018-11-11,71.0,71.0,71.0,71.0,71.0
2018-11-18,63.0,63.0,63.0,63.0,63.0
2018-11-25,75.0,75.0,75.0,75.0,75.0
2018-12-02,72.0,72.0,72.0,72.0,72.0
2018-12-09,46.0,46.0,46.0,46.0,46.0
2018-12-16,59.0,59.0,59.0,59.0,59.0
2018-12-23,45.0,45.0,45.0,45.0,45.0
2018-12-30,83.0,83.0,83.0,83.0,83.0
2019-01-06,,158.73015873015873,158.73015873015873,158.73015873015873,158.73015873015873
2019-01-13,,158.73015873015873,158.73015873015873,158.73015873015873,158.73015873015873
2019-01-20,,104.76190476190476,104.76190476190476,104.76190476190476,104.76190476190476
2019-01-27,,65.07936507936508,65.07936507936508,65.07936507936508,65.07936507936508
2019-02-03,,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571
2019-02-10,,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
2019-02-17,,53.96825396825397,53.96825396825397,53.96825396825397,53.96825396825397
2019-02-24,,46.03174603174603,46.03174603174603,46.03174603174603,46.03174603174603
2019-03-03,,74.6031746031746,74.6031746031746,74.6031746031746,74.6031746031746
2019-03-10,,53.96825396825397,53.96825396825397,53.96825396825397,53.96825396825397
2019-03-17,,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714
2019-03-24,,58.73015873015873,58.73015873015873,58.73015873015873,58.73015873015873
2019-03-31,,90.47619047619047,90.47619047619047,90.47619047619047,90.47619047619047
2019-04-07,,55.55555555555555,55.55555555555555,55.55555555555555,55.55555555555555
2019-04-14,,53.96825396825397,53.96825396825397,53.96825396825397,53.96825396825397
2019-04-21,,49.2063492063492,49.2063492063492,49.2063492063492,49.2063492063492
2019-04-28,,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854
2019-05-05,,58.73015873015873,58.73015873015873,58.73015873015873,58.73015873015873
2019-05-12,,58.73015873015873,58.73015873015873,58.73015873015873,58.73015873015873
2019-05-19,,53.96825396825397,53.96825396825397,53.96825396825397,53.96825396825397
2019-05-26,,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
2019-06-02,,77.77777777777777,77.77777777777777,77.77777777777777,77.77777777777777
2019-06-09,,96.82539682539682,96.82539682539682,96.82539682539682,96.82539682539682
2019-06-16,,74.6031746031746,74.6031746031746,74.6031746031746,74.6031746031746
2019-06-23,,58.73015873015873,58.73015873015873,58.73015873015873,58.73015873015873
2019-06-30,,58.73015873015873,58.73015873015873,58.73015873015873,58.73015873015873
2019-07-07,,61.9047619047619,61.9047619047619,61.9047619047619,61.9047619047619
2019-07-14,,74.6031746031746,74.6031746031746,74.6031746031746,74.6031746031746
2019-07-21,,74.6031746031746,74.6031746031746,74.6031746031746,74.6031746031746
2019-07-28,,69.84126984126983,69.84126984126983,69.84126984126983,69.84126984126983
2019-08-04,,73.01587301587301,73.01587301587301,73.01587301587301,73.01587301587301
2019-08-11,,79.36507936507937,79.36507936507937,79.36507936507937,79.36507936507937
2019-08-18,,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
2019-08-25,,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
2019-09-01,,55.55555555555555,55.55555555555555,55.55555555555555,55.55555555555555
2019-09-08,,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095
2019-09-15,,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143
2019-09-22,,47.61904761904761,47.61904761904761,47.61904761904761,47.61904761904761
2019-09-29,,95.23809523809523,95.23809523809523,95.23809523809523,95.23809523809523
2019-10-06,,73.01587301587301,73.01587301587301,73.01587301587301,73.01587301587301
2019-10-13,,41.269841269841265,41.269841269841265,41.269841269841265,41.269841269841265
2019-10-20,,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714
2019-10-27,,39.682539682539684,39.682539682539684,39.682539682539684,39.682539682539684
2019-11-03,,60.317460317460316,60.317460317460316,60.317460317460316,60.317460317460316
2019-11-10,,61.9047619047619,61.9047619047619,61.9047619047619,61.9047619047619
2019-11-17,,61.9047619047619,61.9047619047619,61.9047619047619,61.9047619047619
2019-11-24,,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854
2019-12-01,,77.77777777777777,77.77777777777777,77.77777777777777,77.77777777777777
2019-12-08,,61.9047619047619,61.9047619047619,61.9047619047619,61.9047619047619
2019-12-15,,55.55555555555555,55.55555555555555,55.55555555555555,55.55555555555555
2019-12-22,,25.396825396825395,25.396825396825395,25.396825396825395,25.396825396825395
2019-12-29,,58.73015873015873,58.73015873015873,58.73015873015873,58.73015873015873
2020-01-05,,,85.63074352548037,85.63074352548037,85.63074352548037
2020-01-12,,,75.18796992481204,75.18796992481204,75.18796992481204
2020-01-19,,,54.30242272347536,54.30242272347536,54.30242272347536
2020-01-26,,,62.65664160401003,62.65664160401003,62.65664160401003
2020-02-02,,,68.92230576441104,68.92230576441104,68.92230576441104
2020-02-09,,,60.56808688387636,60.56808688387636,60.56808688387636
2020-02-16,,,43.85964912280702,43.85964912280702,43.85964912280702
2020-02-23,,,52.21386800334169,52.21386800334169,52.21386800334169
2020-03-01,,,43.85964912280702,43.85964912280702,43.85964912280702
2020-03-08,,,58.47953216374269,58.47953216374269,58.47953216374269
2020-03-15,,,135.75605680868838,135.75605680868838,135.75605680868838
2020-03-22,,,146.19883040935673,146.19883040935673,146.19883040935673
2020-03-29,,,200.5012531328321,200.5012531328321,200.5012531328321
2020-04-05,,,208.85547201336675,208.85547201336675,208.85547201336675
2020-04-12,,,175.43859649122808,175.43859649122808,175.43859649122808
2020-04-19,,,150.37593984962407,150.37593984962407,150.37593984962407
2020-04-26,,,123.2247284878864,123.2247284878864,123.2247284878864
2020-05-03,,,114.87050960735172,114.87050960735172,114.87050960735172
2020-05-10,,,137.84461152882207,137.84461152882207,137.84461152882207
2020-05-17,,,129.49039264828738,129.49039264828738,129.49039264828738
2020-05-24,,,114.87050960735172,114.87050960735172,114.87050960735172
2020-05-31,,,104.42773600668338,104.42773600668338,104.42773600668338
2020-06-07,,,121.13617376775272,121.13617376775272,121.13617376775272
2020-06-14,,,104.42773600668338,104.42773600668338,104.42773600668338
2020-06-21,,,110.69340016708438,110.69340016708438,110.69340016708438
2020-06-28,,,119.04761904761905,119.04761904761905,119.04761904761905
2020-07-05,,,93.98496240601504,93.98496240601504,93.98496240601504
2020-07-12,,,104.42773600668338,104.42773600668338,104.42773600668338
2020-07-19,,,104.42773600668338,104.42773600668338,104.42773600668338
2020-07-26,,,112.78195488721805,112.78195488721805,112.78195488721805
2020-08-02,,,129.49039264828738,129.49039264828738,129.49039264828738
2020-08-09,,,91.89640768588137,91.89640768588137,91.89640768588137
2020-08-16,,,91.89640768588137,91.89640768588137,91.89640768588137
2020-08-23,,,85.63074352548037,85.63074352548037,85.63074352548037
2020-08-30,,,104.42773600668338,104.42773600668338,104.42773600668338
2020-09-06,,,104.42773600668338,104.42773600668338,104.42773600668338
2020-09-13,,,64.74519632414369,64.74519632414369,64.74519632414369
2020-09-20,,,79.36507936507937,79.36507936507937,79.36507936507937
2020-09-27,,,112.78195488721805,112.78195488721805,112.78195488721805
2020-10-04,,,100.25062656641605,100.25062656641605,100.25062656641605
2020-10-11,,,89.80785296574771,89.80785296574771,89.80785296574771
2020-10-18,,,127.40183792815372,127.40183792815372,127.40183792815372
2020-10-25,,,119.04761904761905,119.04761904761905,119.04761904761905
2020-11-01,,,96.07351712614872,96.07351712614872,96.07351712614872
2020-11-08,,,116.95906432748538,116.95906432748538,116.95906432748538
2020-11-15,,,89.80785296574771,89.80785296574771,89.80785296574771
2020-11-22,,,60.56808688387636,60.56808688387636,60.56808688387636
2020-11-29,,,91.89640768588137,91.89640768588137,91.89640768588137
2020-12-06,,,102.33918128654972,102.33918128654972,102.33918128654972
2020-12-13,,,106.51629072681705,106.51629072681705,106.51629072681705
2020-12-20,,,73.09941520467837,73.09941520467837,73.09941520467837
2020-12-27,,,96.07351712614872,96.07351712614872,96.07351712614872
2021-01-03,,,,105.85825293828177,105.85825293828177
2021-01-10,,,,131.60755770705302,131.60755770705302
2021-01-17,,,,125.8854899806594,125.8854899806594
2021-01-24,,,,108.71928680147857,108.71928680147857
2021-01-31,,,,125.8854899806594,125.8854899806594
2021-02-07,,,,117.30238839106899,117.30238839106899
2021-02-14,,,,88.69204975910094,88.69204975910094
2021-02-21,,,,205.99443815016994,205.99443815016994
2021-02-28,,,,151.63479474943065,151.63479474943065
2021-03-07,,,,111.58032066467538,111.58032066467538
2021-03-14,,,,77.24791430631373,77.24791430631373
2021-03-21,,,,48.637575674345676,48.637575674345676
2021-03-28,,,,85.83101589590414,85.83101589590414
2021-04-04,,,,88.69204975910094,88.69204975910094
2021-04-11,,,,120.1634222542658,120.1634222542658
2021-04-18,,,,71.52584657992011,71.52584657992011
2021-04-25,,,,65.80377885352651,65.80377885352651
2021-05-02,,,,102.99721907508497,102.99721907508497
2021-05-09,,,,71.52584657992011,71.52584657992011
2021-05-16,,,,97.27515134869135,97.27515134869135
2021-05-23,,,,286.10338631968045,286.10338631968045
2021-05-30,,,,197.4113365605795,197.4113365605795
2021-06-06,,,,165.93996406541467,165.93996406541467
2021-06-13,,,,145.91272702303704,145.91272702303704
2021-06-20,,,,111.58032066467538,111.58032066467538
2021-06-27,,,,131.60755770705302,131.60755770705302
2021-07-04,,,,137.3296254334466,137.3296254334466
2021-07-11,,,,137.3296254334466,137.3296254334466
2021-07-18,,,,117.30238839106899,117.30238839106899
2021-07-25,,,,117.30238839106899,117.30238839106899
2021-08-01,,,,131.60755770705302,131.60755770705302
2021-08-08,,,,163.07893020221786,163.07893020221786
2021-08-15,,,,188.82823497098912,188.82823497098912
2021-08-22,,,,134.46859157024983,134.46859157024983
2021-08-29,,,,134.46859157024983,134.46859157024983
2021-09-05,,,,143.05169315984023,143.05169315984023
2021-09-12,,,,111.58032066467538,111.58032066467538
2021-09-19,,,,82.96998203270734,82.96998203270734
2021-09-26,,,,125.8854899806594,125.8854899806594
2021-10-03,,,,105.85825293828177,105.85825293828177
2021-10-10,,,,82.96998203270734,82.96998203270734
2021-10-17,,,,94.41411748549456,94.41411748549456
2021-10-24,,,,108.71928680147857,108.71928680147857
2021-10-31,,,,120.1634222542658,120.1634222542658
2021-11-07,,,,102.99721907508497,102.99721907508497
2021-11-14,,,,111.58032066467538,111.58032066467538
2021-11-21,,,,88.69204975910094,88.69204975910094
2021-11-28,,,,145.91272702303704,145.91272702303704
2021-12-05,,,,102.99721907508497,102.99721907508497
2021-12-12,,,,100.13618521188816,100.13618521188816
2021-12-19,,,,85.83101589590414,85.83101589590414
2021-12-26,,,,77.24791430631373,77.24791430631373
2022-01-02,,,,,47.0
2022-01-09,,,,,39.0
2022-01-16,,,,,30.0
2022-01-23,,,,,38.0
2022-01-30,,,,,42.0
2022-02-06,,,,,39.0
2022-02-13,,,,,36.0
2022-02-20,,,,,32.0
2022-02-27,,,,,33.0
2022-03-06,,,,,31.0
2022-03-13,,,,,25.0
2022-03-20,,,,,29.0
2022-03-27,,,,,27.0
2022-04-03,,,,,31.0
2022-04-10,,,,,30.0
2022-04-17,,,,,28.0
2022-04-24,,,,,39.0
2022-05-01,,,,,38.0
2022-05-08,,,,,33.0
2022-05-15,,,,,30.0
2022-05-22,,,,,33.0
2022-05-29,,,,,44.0
