date,2024-02-16
2018-01-07,0.0
2018-01-14,17.0
2018-01-21,21.0
2018-01-28,52.0
2018-02-04,38.0
2018-02-11,36.0
2018-02-18,0.0
2018-02-25,41.0
2018-03-04,23.0
2018-03-11,33.0
2018-03-18,66.0
2018-03-25,0.0
2018-04-01,48.0
2018-04-08,43.0
2018-04-15,64.0
2018-04-22,26.0
2018-04-29,32.0
2018-05-06,91.0
2018-05-13,61.0
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,57.0
2018-06-10,50.0
2018-06-17,0.0
2018-06-24,39.0
2018-07-01,21.0
2018-07-08,0.0
2018-07-15,0.0
2018-07-22,23.0
2018-07-29,21.0
2018-08-05,0.0
2018-08-12,81.0
2018-08-19,0.0
2018-08-26,42.0
2018-09-02,92.0
2018-09-09,20.0
2018-09-16,0.0
2018-09-23,0.0
2018-09-30,100.0
2018-10-07,0.0
2018-10-14,21.0
2018-10-21,60.0
2018-10-28,0.0
2018-11-04,38.0
2018-11-11,0.0
2018-11-18,39.0
2018-11-25,25.0
2018-12-02,46.0
2018-12-09,0.0
2018-12-16,29.0
2018-12-23,0.0
2018-12-30,48.0
2019-01-06,36.0
2019-01-13,42.0
2019-01-20,0.0
2019-01-27,33.0
2019-02-03,25.0
2019-02-10,27.0
2019-02-17,21.0
2019-02-24,29.0
2019-03-03,29.0
2019-03-10,19.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,17.0
2019-04-07,17.0
2019-04-14,0.0
2019-04-21,19.0
2019-04-28,0.0
2019-05-05,40.0
2019-05-12,36.0
2019-05-19,48.0
2019-05-26,37.0
2019-06-02,23.0
2019-06-09,50.0
2019-06-16,49.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,28.0
2019-07-21,66.0
2019-07-28,77.0
2019-08-04,59.0
2019-08-11,27.0
2019-08-18,0.0
2019-08-25,26.0
2019-09-01,23.0
2019-09-08,53.0
2019-09-15,21.0
2019-09-22,0.0
2019-09-29,74.0
2019-10-06,65.0
2019-10-13,34.0
2019-10-20,0.0
2019-10-27,35.0
2019-11-03,42.0
