date,2023-01-01
2018-01-07,0.0
2018-01-14,31.0
2018-01-21,0.0
2018-01-28,0.0
2018-02-04,0.0
2018-02-11,42.0
2018-02-18,70.0
2018-02-25,38.0
2018-03-04,33.0
2018-03-11,0.0
2018-03-18,32.0
2018-03-25,41.0
2018-04-01,33.0
2018-04-08,0.0
2018-04-15,58.0
2018-04-22,0.0
2018-04-29,100.0
2018-05-06,0.0
2018-05-13,39.0
2018-05-20,0.0
2018-05-27,37.0
2018-06-03,46.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,23.0
2018-07-01,0.0
2018-07-08,24.0
2018-07-15,0.0
2018-07-22,0.0
2018-07-29,27.0
2018-08-05,25.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,40.0
2018-09-23,0.0
2018-09-30,0.0
2018-10-07,42.0
2018-10-14,26.0
2018-10-21,0.0
2018-10-28,24.0
2018-11-04,45.0
2018-11-11,0.0
2018-11-18,99.0
2018-11-25,0.0
2018-12-02,76.0
2018-12-09,81.0
2018-12-16,0.0
2018-12-23,44.0
2018-12-30,0.0
2019-01-06,42.622950819672134
2019-01-13,52.459016393442624
2019-01-20,40.98360655737705
2019-01-27,70.49180327868852
2019-02-03,21.311475409836067
2019-02-10,24.59016393442623
2019-02-17,0.0
2019-02-24,83.60655737704919
2019-03-03,0.0
2019-03-10,26.229508196721312
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,54.09836065573771
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,31.147540983606557
2019-05-26,0.0
2019-06-02,52.459016393442624
2019-06-09,31.147540983606557
2019-06-16,163.9344262295082
2019-06-23,24.59016393442623
2019-06-30,22.950819672131146
2019-07-07,29.508196721311478
2019-07-14,0.0
2019-07-21,73.77049180327869
2019-07-28,0.0
2019-08-04,86.88524590163935
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,44.26229508196722
2019-09-01,21.311475409836067
2019-09-08,0.0
2019-09-15,26.229508196721312
2019-09-22,0.0
2019-09-29,72.1311475409836
2019-10-06,39.34426229508197
2019-10-13,0.0
2019-10-20,40.98360655737705
2019-10-27,44.26229508196722
2019-11-03,0.0
2019-11-10,103.27868852459017
2019-11-17,55.73770491803279
2019-11-24,118.03278688524591
2019-12-01,37.704918032786885
2019-12-08,47.540983606557376
2019-12-15,49.18032786885246
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,35.0
2020-01-12,19.0
2020-01-19,40.0
2020-01-26,0.0
2020-02-02,26.0
2020-02-09,39.0
2020-02-16,0.0
2020-02-23,13.0
2020-03-01,42.0
