date,2024-02-16
2020-02-02,0
2020-02-09,0
2020-02-16,12
2020-02-23,50
2020-03-01,22
2020-03-08,0
2020-03-15,6
2020-03-22,0
2020-03-29,0
2020-04-05,11
2020-04-12,10
2020-04-19,20
2020-04-26,18
2020-05-03,13
2020-05-10,17
2020-05-17,29
2020-05-24,28
2020-05-31,61
2020-06-07,46
2020-06-14,39
2020-06-21,32
2020-06-28,38
2020-07-05,18
2020-07-12,31
2020-07-19,17
2020-07-26,28
2020-08-02,27
2020-08-09,34
2020-08-16,0
2020-08-23,0
2020-08-30,39
2020-09-06,8
2020-09-13,8
2020-09-20,11
2020-09-27,8
2020-10-04,0
2020-10-11,33
2020-10-18,20
2020-10-25,0
2020-11-01,17
2020-11-08,15
2020-11-15,22
2020-11-22,14
2020-11-29,0
2020-12-06,17
2020-12-13,0
2020-12-20,10
2020-12-27,0
2021-01-03,15
2021-01-10,18
2021-01-17,17
2021-01-24,0
2021-01-31,13
2021-02-07,17
2021-02-14,20
2021-02-21,12
2021-02-28,9
2021-03-07,13
2021-03-14,8
2021-03-21,11
2021-03-28,7
2021-04-04,11
2021-04-11,0
2021-04-18,6
2021-04-25,11
2021-05-02,0
2021-05-09,0
2021-05-16,8
2021-05-23,78
2021-05-30,100
2021-06-06,66
2021-06-13,39
2021-06-20,50
2021-06-27,22
2021-07-04,0
2021-07-11,22
2021-07-18,13
2021-07-25,35
2021-08-01,23
2021-08-08,37
2021-08-15,14
2021-08-22,26
2021-08-29,19
2021-09-05,32
2021-09-12,13
2021-09-19,18
2021-09-26,30
2021-10-03,0
2021-10-10,30
2021-10-17,14
2021-10-24,28
2021-10-31,17
2021-11-07,0
2021-11-14,14
2021-11-21,20
2021-11-28,39
2021-12-05,36
2021-12-12,19
2021-12-19,20
2021-12-26,16
2022-01-02,18
2022-01-09,37
2022-01-16,25
2022-01-23,20
2022-01-30,0
2022-02-06,14
2022-02-13,21
2022-02-20,6
2022-02-27,32
2022-03-06,19
2022-03-13,20
2022-03-20,9
2022-03-27,11
2022-04-03,25
2022-04-10,36
2022-04-17,31
2022-04-24,38
2022-05-01,29
2022-05-08,13
2022-05-15,15
2022-05-22,28
2022-05-29,34
2022-06-05,30
2022-06-12,14
2022-06-19,18
2022-06-26,31
2022-07-03,0
2022-07-10,15
2022-07-17,27
2022-07-24,22
2022-07-31,26
2022-08-07,18
2022-08-14,0
2022-08-21,13
2022-08-28,31
2022-09-04,16
2022-09-11,0
2022-09-18,17
2022-09-25,9
2022-10-02,18
2022-10-09,23
2022-10-16,36
2022-10-23,21
2022-10-30,10
2022-11-06,10
2022-11-13,10
2022-11-20,10
2022-11-27,36
2022-12-04,53
2022-12-11,24
2022-12-18,63
2022-12-25,26
2023-01-01,33
2023-01-08,21
2023-01-15,18
2023-01-22,25
2023-01-29,24
2023-02-05,23
2023-02-12,14
2023-02-19,0
2023-02-26,0
2023-03-05,22
2023-03-12,9
2023-03-19,20
2023-03-26,12
2023-04-02,0
2023-04-09,23
2023-04-16,18
2023-04-23,8
2023-04-30,12
2023-05-07,18
2023-05-14,0
2023-05-21,16
2023-05-28,13
2023-06-04,11
2023-06-11,7
2023-06-18,11
2023-06-25,24
2023-07-02,13
2023-07-09,19
2023-07-16,19
2023-07-23,6
2023-07-30,14
2023-08-06,0
2023-08-13,8
2023-08-20,0
2023-08-27,6
2023-09-03,15
2023-09-10,0
2023-09-17,19
2023-09-24,18
2023-10-01,14
2023-10-08,0
2023-10-15,8
2023-10-22,15
2023-10-29,0
2023-11-05,16
2023-11-12,11
2023-11-19,0
2023-11-26,0
2023-12-03,11
2023-12-10,25
2023-12-17,24
2023-12-24,0
2023-12-31,24
2024-01-07,0
2024-01-14,0
2024-01-21,8
2024-01-28,0
2024-02-04,22
