date,2024-02-16
2020-02-02,14
2020-02-09,14
2020-02-16,18
2020-02-23,5
2020-03-01,10
2020-03-08,19
2020-03-15,15
2020-03-22,10
2020-03-29,33
2020-04-05,21
2020-04-12,31
2020-04-19,19
2020-04-26,31
2020-05-03,39
2020-05-10,33
2020-05-17,100
2020-05-24,91
2020-05-31,62
2020-06-07,54
2020-06-14,43
2020-06-21,32
2020-06-28,52
2020-07-05,39
2020-07-12,28
2020-07-19,36
2020-07-26,40
2020-08-02,18
2020-08-09,35
2020-08-16,20
2020-08-23,18
2020-08-30,52
2020-09-06,42
2020-09-13,35
2020-09-20,14
2020-09-27,11
2020-10-04,25
2020-10-11,31
2020-10-18,22
2020-10-25,0
2020-11-01,22
2020-11-08,33
2020-11-15,33
2020-11-22,0
2020-11-29,56
2020-12-06,41
2020-12-13,26
2020-12-20,15
2020-12-27,29
2021-01-03,35
2021-01-10,21
2021-01-17,24
2021-01-24,7
2021-01-31,29
2021-02-07,20
2021-02-14,19
2021-02-21,22
2021-02-28,16
2021-03-07,47
2021-03-14,27
2021-03-21,17
2021-03-28,28
2021-04-04,11
2021-04-11,22
2021-04-18,25
2021-04-25,33
2021-05-02,30
2021-05-09,19
2021-05-16,21
2021-05-23,34
2021-05-30,23
2021-06-06,45
2021-06-13,15
2021-06-20,28
2021-06-27,30
2021-07-04,25
2021-07-11,40
2021-07-18,24
2021-07-25,20
2021-08-01,35
2021-08-08,23
2021-08-15,24
2021-08-22,23
2021-08-29,48
2021-09-05,58
2021-09-12,36
2021-09-19,18
2021-09-26,37
2021-10-03,23
2021-10-10,45
2021-10-17,50
2021-10-24,26
2021-10-31,42
2021-11-07,51
2021-11-14,61
2021-11-21,33
2021-11-28,56
2021-12-05,80
2021-12-12,55
2021-12-19,32
2021-12-26,41
2022-01-02,64
2022-01-09,54
2022-01-16,43
2022-01-23,39
2022-01-30,48
2022-02-06,74
2022-02-13,50
2022-02-20,52
2022-02-27,36
2022-03-06,40
2022-03-13,29
2022-03-20,39
2022-03-27,30
2022-04-03,31
2022-04-10,33
2022-04-17,29
2022-04-24,27
2022-05-01,41
2022-05-08,31
2022-05-15,51
2022-05-22,33
2022-05-29,45
2022-06-05,31
2022-06-12,49
2022-06-19,30
2022-06-26,34
2022-07-03,36
2022-07-10,37
2022-07-17,49
2022-07-24,26
2022-07-31,41
2022-08-07,37
2022-08-14,42
2022-08-21,43
2022-08-28,31
2022-09-04,52
2022-09-11,49
2022-09-18,46
2022-09-25,55
2022-10-02,63
2022-10-09,44
2022-10-16,33
2022-10-23,34
2022-10-30,62
2022-11-06,82
2022-11-13,72
2022-11-20,79
2022-11-27,84
2022-12-04,66
2022-12-11,63
2022-12-18,96
2022-12-25,58
2023-01-01,58
2023-01-08,69
2023-01-15,77
2023-01-22,44
2023-01-29,58
2023-02-05,72
2023-02-12,38
2023-02-19,41
2023-02-26,65
2023-03-05,39
2023-03-12,42
2023-03-19,37
2023-03-26,41
2023-04-02,59
2023-04-09,37
2023-04-16,34
2023-04-23,16
2023-04-30,49
2023-05-07,44
2023-05-14,38
2023-05-21,38
2023-05-28,34
2023-06-04,46
2023-06-11,42
2023-06-18,32
2023-06-25,33
2023-07-02,40
2023-07-09,23
2023-07-16,55
2023-07-23,12
2023-07-30,48
2023-08-06,60
2023-08-13,49
2023-08-20,61
2023-08-27,56
2023-09-03,45
2023-09-10,55
2023-09-17,64
2023-09-24,42
2023-10-01,83
2023-10-08,45
2023-10-15,46
2023-10-22,23
2023-10-29,35
2023-11-05,38
2023-11-12,40
2023-11-19,22
2023-11-26,30
2023-12-03,32
2023-12-10,18
2023-12-17,28
2023-12-24,23
2023-12-31,55
2024-01-07,46
2024-01-14,20
2024-01-21,30
2024-01-28,16
2024-02-04,63
