date,2024-02-16
2020-02-02,10
2020-02-09,10
2020-02-16,7
2020-02-23,5
2020-03-01,9
2020-03-08,10
2020-03-15,9
2020-03-22,9
2020-03-29,13
2020-04-05,17
2020-04-12,17
2020-04-19,13
2020-04-26,20
2020-05-03,23
2020-05-10,37
2020-05-17,100
2020-05-24,65
2020-05-31,40
2020-06-07,45
2020-06-14,33
2020-06-21,30
2020-06-28,29
2020-07-05,26
2020-07-12,25
2020-07-19,23
2020-07-26,21
2020-08-02,23
2020-08-09,20
2020-08-16,18
2020-08-23,13
2020-08-30,14
2020-09-06,15
2020-09-13,13
2020-09-20,12
2020-09-27,15
2020-10-04,18
2020-10-11,16
2020-10-18,15
2020-10-25,12
2020-11-01,14
2020-11-08,20
2020-11-15,25
2020-11-22,20
2020-11-29,23
2020-12-06,24
2020-12-13,24
2020-12-20,22
2020-12-27,18
2021-01-03,20
2021-01-10,21
2021-01-17,17
2021-01-24,14
2021-01-31,16
2021-02-07,21
2021-02-14,17
2021-02-21,14
2021-02-28,17
2021-03-07,21
2021-03-14,14
2021-03-21,14
2021-03-28,17
2021-04-04,19
2021-04-11,15
2021-04-18,15
2021-04-25,14
2021-05-02,17
2021-05-09,16
2021-05-16,21
2021-05-23,25
2021-05-30,22
2021-06-06,19
2021-06-13,21
2021-06-20,16
2021-06-27,17
2021-07-04,27
2021-07-11,26
2021-07-18,22
2021-07-25,17
2021-08-01,22
2021-08-08,23
2021-08-15,21
2021-08-22,22
2021-08-29,26
2021-09-05,31
2021-09-12,27
2021-09-19,25
2021-09-26,24
2021-10-03,27
2021-10-10,27
2021-10-17,23
2021-10-24,28
2021-10-31,40
2021-11-07,37
2021-11-14,37
2021-11-21,28
2021-11-28,29
2021-12-05,31
2021-12-12,28
2021-12-19,26
2021-12-26,24
2022-01-02,31
2022-01-09,29
2022-01-16,31
2022-01-23,26
2022-01-30,31
2022-02-06,29
2022-02-13,25
2022-02-20,23
2022-02-27,27
2022-03-06,26
2022-03-13,23
2022-03-20,22
2022-03-27,22
2022-04-03,23
2022-04-10,22
2022-04-17,20
2022-04-24,20
2022-05-01,23
2022-05-08,23
2022-05-15,23
2022-05-22,19
2022-05-29,26
2022-06-05,28
2022-06-12,25
2022-06-19,24
2022-06-26,25
2022-07-03,26
2022-07-10,28
2022-07-17,26
2022-07-24,23
2022-07-31,27
2022-08-07,26
2022-08-14,27
2022-08-21,23
2022-08-28,24
2022-09-04,30
2022-09-11,26
2022-09-18,24
2022-09-25,24
2022-10-02,31
2022-10-09,28
2022-10-16,28
2022-10-23,24
2022-10-30,32
2022-11-06,33
2022-11-13,33
2022-11-20,31
2022-11-27,33
2022-12-04,34
2022-12-11,34
2022-12-18,46
2022-12-25,32
2023-01-01,35
2023-01-08,41
2023-01-15,35
2023-01-22,32
2023-01-29,36
2023-02-05,36
2023-02-12,30
2023-02-19,27
2023-02-26,29
2023-03-05,29
2023-03-12,27
2023-03-19,23
2023-03-26,25
2023-04-02,31
2023-04-09,26
2023-04-16,21
2023-04-23,20
2023-04-30,26
2023-05-07,25
2023-05-14,22
2023-05-21,21
2023-05-28,24
2023-06-04,30
2023-06-11,22
2023-06-18,21
2023-06-25,23
2023-07-02,31
2023-07-09,27
2023-07-16,25
2023-07-23,22
2023-07-30,31
2023-08-06,35
2023-08-13,31
2023-08-20,27
2023-08-27,30
2023-09-03,34
2023-09-10,31
2023-09-17,29
2023-09-24,28
2023-10-01,32
2023-10-08,28
2023-10-15,22
2023-10-22,19
2023-10-29,24
2023-11-05,30
2023-11-12,22
2023-11-19,17
2023-11-26,21
2023-12-03,25
2023-12-10,22
2023-12-17,19
2023-12-24,16
2023-12-31,24
2024-01-07,26
2024-01-14,20
2024-01-21,16
2024-01-28,21
2024-02-04,24
