date,2024-02-16
2020-02-02,7
2020-02-09,7
2020-02-16,1
2020-02-23,8
2020-03-01,5
2020-03-08,6
2020-03-15,9
2020-03-22,8
2020-03-29,7
2020-04-05,12
2020-04-12,13
2020-04-19,8
2020-04-26,6
2020-05-03,6
2020-05-10,16
2020-05-17,29
2020-05-24,21
2020-05-31,42
2020-06-07,37
2020-06-14,56
2020-06-21,43
2020-06-28,44
2020-07-05,33
2020-07-12,30
2020-07-19,25
2020-07-26,29
2020-08-02,20
2020-08-09,17
2020-08-16,18
2020-08-23,16
2020-08-30,14
2020-09-06,15
2020-09-13,12
2020-09-20,13
2020-09-27,14
2020-10-04,16
2020-10-11,13
2020-10-18,9
2020-10-25,13
2020-11-01,9
2020-11-08,14
2020-11-15,13
2020-11-22,7
2020-11-29,12
2020-12-06,10
2020-12-13,14
2020-12-20,9
2020-12-27,10
2021-01-03,13
2021-01-10,13
2021-01-17,11
2021-01-24,13
2021-01-31,11
2021-02-07,9
2021-02-14,12
2021-02-21,15
2021-02-28,20
2021-03-07,13
2021-03-14,15
2021-03-21,11
2021-03-28,15
2021-04-04,10
2021-04-11,14
2021-04-18,13
2021-04-25,14
2021-05-02,12
2021-05-09,15
2021-05-16,19
2021-05-23,76
2021-05-30,100
2021-06-06,57
2021-06-13,53
2021-06-20,75
2021-06-27,40
2021-07-04,34
2021-07-11,33
2021-07-18,30
2021-07-25,25
2021-08-01,26
2021-08-08,23
2021-08-15,36
2021-08-22,36
2021-08-29,28
2021-09-05,21
2021-09-12,26
2021-09-19,21
2021-09-26,23
2021-10-03,18
2021-10-10,23
2021-10-17,20
2021-10-24,19
2021-10-31,19
2021-11-07,18
2021-11-14,18
2021-11-21,17
2021-11-28,37
2021-12-05,26
2021-12-12,15
2021-12-19,19
2021-12-26,16
2022-01-02,17
2022-01-09,13
2022-01-16,9
2022-01-23,11
2022-01-30,13
2022-02-06,12
2022-02-13,9
2022-02-20,9
2022-02-27,12
2022-03-06,12
2022-03-13,11
2022-03-20,10
2022-03-27,11
2022-04-03,14
2022-04-10,18
2022-04-17,21
2022-04-24,11
2022-05-01,16
2022-05-08,14
2022-05-15,12
2022-05-22,13
2022-05-29,18
2022-06-05,22
2022-06-12,15
2022-06-19,15
2022-06-26,15
2022-07-03,14
2022-07-10,18
2022-07-17,12
2022-07-24,13
2022-07-31,14
2022-08-07,16
2022-08-14,15
2022-08-21,15
2022-08-28,17
2022-09-04,15
2022-09-11,10
2022-09-18,11
2022-09-25,12
2022-10-02,12
2022-10-09,17
2022-10-16,12
2022-10-23,12
2022-10-30,11
2022-11-06,10
2022-11-13,11
2022-11-20,12
2022-11-27,24
2022-12-04,47
2022-12-11,49
2022-12-18,35
2022-12-25,23
2023-01-01,20
2023-01-08,25
2023-01-15,22
2023-01-22,23
2023-01-29,22
2023-02-05,16
2023-02-12,19
2023-02-19,14
2023-02-26,13
2023-03-05,13
2023-03-12,11
2023-03-19,10
2023-03-26,10
2023-04-02,10
2023-04-09,14
2023-04-16,9
2023-04-23,8
2023-04-30,11
2023-05-07,9
2023-05-14,9
2023-05-21,9
2023-05-28,9
2023-06-04,13
2023-06-11,13
2023-06-18,12
2023-06-25,12
2023-07-02,14
2023-07-09,10
2023-07-16,10
2023-07-23,14
2023-07-30,12
2023-08-06,13
2023-08-13,8
2023-08-20,10
2023-08-27,9
2023-09-03,7
2023-09-10,11
2023-09-17,11
2023-09-24,9
2023-10-01,6
2023-10-08,7
2023-10-15,13
2023-10-22,9
2023-10-29,9
2023-11-05,11
2023-11-12,12
2023-11-19,8
2023-11-26,5
2023-12-03,6
2023-12-10,8
2023-12-17,8
2023-12-24,7
2023-12-31,14
2024-01-07,9
2024-01-14,7
2024-01-21,14
2024-01-28,10
2024-02-04,11
