date,2024-02-16
2020-02-02,24
2020-02-09,21
2020-02-16,18
2020-02-23,17
2020-03-01,16
2020-03-08,25
2020-03-15,83
2020-03-22,78
2020-03-29,61
2020-04-05,80
2020-04-12,100
2020-04-19,82
2020-04-26,65
2020-05-03,48
2020-05-10,44
2020-05-17,46
2020-05-24,35
2020-05-31,37
2020-06-07,29
2020-06-14,22
2020-06-21,38
2020-06-28,33
2020-07-05,28
2020-07-12,33
2020-07-19,29
2020-07-26,42
2020-08-02,32
2020-08-09,37
2020-08-16,32
2020-08-23,32
2020-08-30,30
2020-09-06,21
2020-09-13,20
2020-09-20,19
2020-09-27,27
2020-10-04,31
2020-10-11,24
2020-10-18,26
2020-10-25,26
2020-11-01,24
2020-11-08,30
2020-11-15,47
2020-11-22,39
2020-11-29,35
2020-12-06,31
2020-12-13,41
2020-12-20,23
2020-12-27,26
2021-01-03,25
2021-01-10,18
2021-01-17,25
2021-01-24,17
2021-01-31,17
2021-02-07,21
2021-02-14,34
2021-02-21,41
2021-02-28,26
2021-03-07,20
2021-03-14,16
2021-03-21,16
2021-03-28,12
2021-04-04,14
2021-04-11,11
2021-04-18,16
2021-04-25,10
2021-05-02,14
2021-05-09,12
2021-05-16,19
2021-05-23,17
2021-05-30,17
2021-06-06,11
2021-06-13,14
2021-06-20,11
2021-06-27,10
2021-07-04,18
2021-07-11,17
2021-07-18,16
2021-07-25,13
2021-08-01,11
2021-08-08,18
2021-08-15,21
2021-08-22,20
2021-08-29,20
2021-09-05,14
2021-09-12,18
2021-09-19,15
2021-09-26,18
2021-10-03,18
2021-10-10,16
2021-10-17,23
2021-10-24,11
2021-10-31,24
2021-11-07,29
2021-11-14,28
2021-11-21,19
2021-11-28,20
2021-12-05,27
2021-12-12,18
2021-12-19,15
2021-12-26,12
2022-01-02,13
2022-01-09,11
2022-01-16,14
2022-01-23,18
2022-01-30,18
2022-02-06,20
2022-02-13,16
2022-02-20,14
2022-02-27,17
2022-03-06,21
2022-03-13,19
2022-03-20,17
2022-03-27,17
2022-04-03,13
2022-04-10,17
2022-04-17,21
2022-04-24,27
2022-05-01,14
2022-05-08,18
2022-05-15,19
2022-05-22,16
2022-05-29,20
2022-06-05,27
2022-06-12,25
2022-06-19,25
2022-06-26,21
2022-07-03,34
2022-07-10,34
2022-07-17,24
2022-07-24,33
2022-07-31,32
2022-08-07,26
2022-08-14,30
2022-08-21,35
2022-08-28,29
2022-09-04,27
2022-09-11,22
2022-09-18,24
2022-09-25,30
2022-10-02,33
2022-10-09,24
2022-10-16,21
2022-10-23,27
2022-10-30,31
2022-11-06,27
2022-11-13,39
2022-11-20,22
2022-11-27,32
2022-12-04,24
2022-12-11,24
2022-12-18,20
2022-12-25,14
2023-01-01,20
2023-01-08,25
2023-01-15,23
2023-01-22,21
2023-01-29,21
2023-02-05,22
2023-02-12,20
2023-02-19,21
2023-02-26,24
2023-03-05,38
2023-03-12,36
2023-03-19,35
2023-03-26,43
2023-04-02,38
2023-04-09,38
2023-04-16,42
2023-04-23,47
2023-04-30,39
2023-05-07,40
2023-05-14,39
2023-05-21,47
2023-05-28,54
2023-06-04,55
2023-06-11,56
2023-06-18,57
2023-06-25,53
2023-07-02,54
2023-07-09,48
2023-07-16,45
2023-07-23,50
2023-07-30,53
2023-08-06,52
2023-08-13,55
2023-08-20,59
2023-08-27,54
2023-09-03,42
2023-09-10,53
2023-09-17,53
2023-09-24,52
2023-10-01,50
2023-10-08,45
2023-10-15,62
2023-10-22,57
2023-10-29,55
2023-11-05,56
2023-11-12,70
2023-11-19,61
2023-11-26,69
2023-12-03,45
2023-12-10,52
2023-12-17,35
2023-12-24,24
2023-12-31,31
2024-01-07,42
2024-01-14,28
2024-01-21,36
2024-01-28,26
2024-02-04,27
