date,2024-02-16
2020-02-02,11
2020-02-09,14
2020-02-16,13
2020-02-23,18
2020-03-01,13
2020-03-08,17
2020-03-15,69
2020-03-22,88
2020-03-29,54
2020-04-05,92
2020-04-12,100
2020-04-19,73
2020-04-26,55
2020-05-03,43
2020-05-10,39
2020-05-17,36
2020-05-24,27
2020-05-31,20
2020-06-07,18
2020-06-14,21
2020-06-21,23
2020-06-28,23
2020-07-05,21
2020-07-12,26
2020-07-19,26
2020-07-26,23
2020-08-02,25
2020-08-09,23
2020-08-16,19
2020-08-23,22
2020-08-30,23
2020-09-06,18
2020-09-13,20
2020-09-20,23
2020-09-27,17
2020-10-04,21
2020-10-11,17
2020-10-18,18
2020-10-25,19
2020-11-01,16
2020-11-08,23
2020-11-15,41
2020-11-22,48
2020-11-29,34
2020-12-06,32
2020-12-13,36
2020-12-20,29
2020-12-27,23
2021-01-03,20
2021-01-10,18
2021-01-17,24
2021-01-24,19
2021-01-31,18
2021-02-07,13
2021-02-14,15
2021-02-21,15
2021-02-28,15
2021-03-07,15
2021-03-14,14
2021-03-21,13
2021-03-28,12
2021-04-04,13
2021-04-11,12
2021-04-18,12
2021-04-25,10
2021-05-02,13
2021-05-09,12
2021-05-16,11
2021-05-23,12
2021-05-30,12
2021-06-06,10
2021-06-13,10
2021-06-20,11
2021-06-27,12
2021-07-04,13
2021-07-11,9
2021-07-18,11
2021-07-25,12
2021-08-01,13
2021-08-08,10
2021-08-15,11
2021-08-22,13
2021-08-29,13
2021-09-05,11
2021-09-12,10
2021-09-19,15
2021-09-26,14
2021-10-03,14
2021-10-10,12
2021-10-17,14
2021-10-24,13
2021-10-31,15
2021-11-07,21
2021-11-14,21
2021-11-21,18
2021-11-28,16
2021-12-05,14
2021-12-12,10
2021-12-19,12
2021-12-26,13
2022-01-02,11
2022-01-09,13
2022-01-16,10
2022-01-23,14
2022-01-30,13
2022-02-06,12
2022-02-13,14
2022-02-20,19
2022-02-27,12
2022-03-06,13
2022-03-13,16
2022-03-20,17
2022-03-27,10
2022-04-03,13
2022-04-10,16
2022-04-17,14
2022-04-24,14
2022-05-01,11
2022-05-08,12
2022-05-15,13
2022-05-22,11
2022-05-29,12
2022-06-05,16
2022-06-12,16
2022-06-19,14
2022-06-26,14
2022-07-03,16
2022-07-10,13
2022-07-17,18
2022-07-24,14
2022-07-31,19
2022-08-07,16
2022-08-14,14
2022-08-21,22
2022-08-28,19
2022-09-04,16
2022-09-11,17
2022-09-18,19
2022-09-25,20
2022-10-02,19
2022-10-09,18
2022-10-16,18
2022-10-23,19
2022-10-30,18
2022-11-06,16
2022-11-13,29
2022-11-20,22
2022-11-27,19
2022-12-04,17
2022-12-11,17
2022-12-18,14
2022-12-25,12
2023-01-01,15
2023-01-08,14
2023-01-15,16
2023-01-22,17
2023-01-29,15
2023-02-05,17
2023-02-12,14
2023-02-19,16
2023-02-26,17
2023-03-05,23
2023-03-12,19
2023-03-19,20
2023-03-26,20
2023-04-02,25
2023-04-09,21
2023-04-16,20
2023-04-23,27
2023-04-30,20
2023-05-07,20
2023-05-14,22
2023-05-21,29
2023-05-28,21
2023-06-04,22
2023-06-11,17
2023-06-18,30
2023-06-25,31
2023-07-02,23
2023-07-09,24
2023-07-16,24
2023-07-23,28
2023-07-30,22
2023-08-06,26
2023-08-13,25
2023-08-20,23
2023-08-27,26
2023-09-03,28
2023-09-10,23
2023-09-17,25
2023-09-24,27
2023-10-01,25
2023-10-08,25
2023-10-15,26
2023-10-22,28
2023-10-29,28
2023-11-05,29
2023-11-12,32
2023-11-19,27
2023-11-26,27
2023-12-03,25
2023-12-10,22
2023-12-17,25
2023-12-24,16
2023-12-31,15
2024-01-07,24
2024-01-14,22
2024-01-21,23
2024-01-28,22
2024-02-04,21
