date,2024-02-16
2020-02-02,0
2020-02-09,0
2020-02-16,50
2020-02-23,0
2020-03-01,0
2020-03-08,16
2020-03-15,41
2020-03-22,0
2020-03-29,44
2020-04-05,0
2020-04-12,20
2020-04-19,25
2020-04-26,14
2020-05-03,14
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,27
2020-06-07,48
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,21
2020-07-19,35
2020-07-26,40
2020-08-02,0
2020-08-09,25
2020-08-16,39
2020-08-23,22
2020-08-30,9
2020-09-06,14
2020-09-13,11
2020-09-20,9
2020-09-27,21
2020-10-04,11
2020-10-11,32
2020-10-18,28
2020-10-25,36
2020-11-01,17
2020-11-08,11
2020-11-15,27
2020-11-22,0
2020-11-29,21
2020-12-06,36
2020-12-13,43
2020-12-20,27
2020-12-27,18
2021-01-03,13
2021-01-10,0
2021-01-17,21
2021-01-24,0
2021-01-31,17
2021-02-07,15
2021-02-14,25
2021-02-21,26
2021-02-28,17
2021-03-07,13
2021-03-14,0
2021-03-21,31
2021-03-28,0
2021-04-04,15
2021-04-11,21
2021-04-18,0
2021-04-25,19
2021-05-02,0
2021-05-09,17
2021-05-16,15
2021-05-23,36
2021-05-30,0
2021-06-06,14
2021-06-13,0
2021-06-20,28
2021-06-27,0
2021-07-04,0
2021-07-11,23
2021-07-18,0
2021-07-25,0
2021-08-01,24
2021-08-08,0
2021-08-15,11
2021-08-22,0
2021-08-29,0
2021-09-05,16
2021-09-12,11
2021-09-19,44
2021-09-26,0
2021-10-03,16
2021-10-10,20
2021-10-17,12
2021-10-24,0
2021-10-31,0
2021-11-07,33
2021-11-14,22
2021-11-21,17
2021-11-28,11
2021-12-05,14
2021-12-12,25
2021-12-19,33
2021-12-26,0
2022-01-02,25
2022-01-09,0
2022-01-16,26
2022-01-23,14
2022-01-30,0
2022-02-06,0
2022-02-13,15
2022-02-20,29
2022-02-27,0
2022-03-06,19
2022-03-13,0
2022-03-20,16
2022-03-27,0
2022-04-03,14
2022-04-10,14
2022-04-17,19
2022-04-24,11
2022-05-01,15
2022-05-08,14
2022-05-15,20
2022-05-22,24
2022-05-29,17
2022-06-05,23
2022-06-12,0
2022-06-19,30
2022-06-26,0
2022-07-03,39
2022-07-10,17
2022-07-17,21
2022-07-24,19
2022-07-31,14
2022-08-07,12
2022-08-14,18
2022-08-21,23
2022-08-28,34
2022-09-04,12
2022-09-11,29
2022-09-18,11
2022-09-25,20
2022-10-02,0
2022-10-09,0
2022-10-16,23
2022-10-23,22
2022-10-30,22
2022-11-06,21
2022-11-13,17
2022-11-20,29
2022-11-27,32
2022-12-04,19
2022-12-11,0
2022-12-18,0
2022-12-25,10
2023-01-01,0
2023-01-08,0
2023-01-15,16
2023-01-22,0
2023-01-29,0
2023-02-05,16
2023-02-12,14
2023-02-19,10
2023-02-26,22
2023-03-05,0
2023-03-12,22
2023-03-19,34
2023-03-26,47
2023-04-02,52
2023-04-09,100
2023-04-16,23
2023-04-23,27
2023-04-30,28
2023-05-07,50
2023-05-14,40
2023-05-21,16
2023-05-28,46
2023-06-04,61
2023-06-11,27
2023-06-18,11
2023-06-25,47
2023-07-02,36
2023-07-09,68
2023-07-16,0
2023-07-23,10
2023-07-30,34
2023-08-06,68
2023-08-13,37
2023-08-20,16
2023-08-27,37
2023-09-03,36
2023-09-10,37
2023-09-17,34
2023-09-24,38
2023-10-01,0
2023-10-08,38
2023-10-15,61
2023-10-22,18
2023-10-29,20
2023-11-05,46
2023-11-12,55
2023-11-19,40
2023-11-26,45
2023-12-03,33
2023-12-10,65
2023-12-17,37
2023-12-24,67
2023-12-31,32
2024-01-07,48
2024-01-14,13
2024-01-21,29
2024-01-28,30
2024-02-04,41
