date,2024-02-16
2020-02-02,14
2020-02-09,43
2020-02-16,29
2020-02-23,38
2020-03-01,20
2020-03-08,0
2020-03-15,25
2020-03-22,63
2020-03-29,28
2020-04-05,36
2020-04-12,48
2020-04-19,24
2020-04-26,0
2020-05-03,0
2020-05-10,85
2020-05-17,0
2020-05-24,34
2020-05-31,0
2020-06-07,41
2020-06-14,14
2020-06-21,18
2020-06-28,13
2020-07-05,26
2020-07-12,39
2020-07-19,70
2020-07-26,0
2020-08-02,35
2020-08-09,29
2020-08-16,21
2020-08-23,40
2020-08-30,0
2020-09-06,0
2020-09-13,45
2020-09-20,20
2020-09-27,70
2020-10-04,16
2020-10-11,48
2020-10-18,24
2020-10-25,71
2020-11-01,0
2020-11-08,45
2020-11-15,38
2020-11-22,33
2020-11-29,16
2020-12-06,77
2020-12-13,26
2020-12-20,45
2020-12-27,20
2021-01-03,23
2021-01-10,47
2021-01-17,61
2021-01-24,0
2021-01-31,22
2021-02-07,0
2021-02-14,25
2021-02-21,39
2021-02-28,39
2021-03-07,22
2021-03-14,0
2021-03-21,17
2021-03-28,43
2021-04-04,21
2021-04-11,0
2021-04-18,23
2021-04-25,52
2021-05-02,0
2021-05-09,14
2021-05-16,15
2021-05-23,13
2021-05-30,0
2021-06-06,0
2021-06-13,16
2021-06-20,23
2021-06-27,15
2021-07-04,29
2021-07-11,0
2021-07-18,0
2021-07-25,28
2021-08-01,15
2021-08-08,15
2021-08-15,38
2021-08-22,13
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,50
2021-10-17,21
2021-10-24,38
2021-10-31,19
2021-11-07,43
2021-11-14,62
2021-11-21,41
2021-11-28,0
2021-12-05,39
2021-12-12,0
2021-12-19,44
2021-12-26,0
2022-01-02,0
2022-01-09,45
2022-01-16,39
2022-01-23,36
2022-01-30,45
2022-02-06,22
2022-02-13,14
2022-02-20,26
2022-02-27,38
2022-03-06,26
2022-03-13,34
2022-03-20,15
2022-03-27,29
2022-04-03,47
2022-04-10,30
2022-04-17,20
2022-04-24,17
2022-05-01,14
2022-05-08,25
2022-05-15,22
2022-05-22,14
2022-05-29,28
2022-06-05,62
2022-06-12,32
2022-06-19,27
2022-06-26,26
2022-07-03,35
2022-07-10,42
2022-07-17,61
2022-07-24,52
2022-07-31,25
2022-08-07,61
2022-08-14,45
2022-08-21,0
2022-08-28,32
2022-09-04,33
2022-09-11,0
2022-09-18,0
2022-09-25,30
2022-10-02,17
2022-10-09,35
2022-10-16,34
2022-10-23,26
2022-10-30,21
2022-11-06,20
2022-11-13,54
2022-11-20,35
2022-11-27,66
2022-12-04,39
2022-12-11,42
2022-12-18,38
2022-12-25,0
2023-01-01,32
2023-01-08,20
2023-01-15,0
2023-01-22,32
2023-01-29,19
2023-02-05,50
2023-02-12,74
2023-02-19,51
2023-02-26,52
2023-03-05,53
2023-03-12,70
2023-03-19,10
2023-03-26,42
2023-04-02,35
2023-04-09,63
2023-04-16,35
2023-04-23,39
2023-04-30,52
2023-05-07,80
2023-05-14,58
2023-05-21,51
2023-05-28,46
2023-06-04,46
2023-06-11,49
2023-06-18,55
2023-06-25,32
2023-07-02,39
2023-07-09,76
2023-07-16,81
2023-07-23,45
2023-07-30,70
2023-08-06,32
2023-08-13,75
2023-08-20,47
2023-08-27,47
2023-09-03,41
2023-09-10,83
2023-09-17,51
2023-09-24,53
2023-10-01,67
2023-10-08,47
2023-10-15,89
2023-10-22,73
2023-10-29,44
2023-11-05,58
2023-11-12,94
2023-11-19,65
2023-11-26,67
2023-12-03,56
2023-12-10,71
2023-12-17,51
2023-12-24,34
2023-12-31,18
2024-01-07,31
2024-01-14,14
2024-01-21,44
2024-01-28,20
2024-02-04,0
