date,2024-02-16
2020-02-02,28
2020-02-09,27
2020-02-16,26
2020-02-23,22
2020-03-01,27
2020-03-08,28
2020-03-15,54
2020-03-22,59
2020-03-29,98
2020-04-05,100
2020-04-12,98
2020-04-19,70
2020-04-26,50
2020-05-03,49
2020-05-10,56
2020-05-17,57
2020-05-24,48
2020-05-31,49
2020-06-07,49
2020-06-14,50
2020-06-21,40
2020-06-28,48
2020-07-05,50
2020-07-12,47
2020-07-19,40
2020-07-26,45
2020-08-02,48
2020-08-09,46
2020-08-16,41
2020-08-23,41
2020-08-30,54
2020-09-06,41
2020-09-13,35
2020-09-20,40
2020-09-27,42
2020-10-04,47
2020-10-11,48
2020-10-18,45
2020-10-25,41
2020-11-01,48
2020-11-08,54
2020-11-15,43
2020-11-22,30
2020-11-29,42
2020-12-06,44
2020-12-13,33
2020-12-20,31
2020-12-27,45
2021-01-03,55
2021-01-10,54
2021-01-17,50
2021-01-24,46
2021-01-31,41
2021-02-07,49
2021-02-14,48
2021-02-21,69
2021-02-28,56
2021-03-07,52
2021-03-14,34
2021-03-21,33
2021-03-28,33
2021-04-04,37
2021-04-11,38
2021-04-18,35
2021-04-25,31
2021-05-02,37
2021-05-09,34
2021-05-16,36
2021-05-23,92
2021-05-30,75
2021-06-06,53
2021-06-13,48
2021-06-20,54
2021-06-27,54
2021-07-04,46
2021-07-11,54
2021-07-18,46
2021-07-25,51
2021-08-01,50
2021-08-08,62
2021-08-15,66
2021-08-22,51
2021-08-29,76
2021-09-05,64
2021-09-12,50
2021-09-19,47
2021-09-26,52
2021-10-03,50
2021-10-10,41
2021-10-17,42
2021-10-24,39
2021-10-31,45
2021-11-07,41
2021-11-14,40
2021-11-21,36
2021-11-28,45
2021-12-05,46
2021-12-12,40
2021-12-19,30
2021-12-26,34
2022-01-02,48
2022-01-09,45
2022-01-16,40
2022-01-23,42
2022-01-30,53
2022-02-06,52
2022-02-13,43
2022-02-20,38
2022-02-27,46
2022-03-06,53
2022-03-13,41
2022-03-20,38
2022-03-27,45
2022-04-03,44
2022-04-10,42
2022-04-17,38
2022-04-24,38
2022-05-01,39
2022-05-08,43
2022-05-15,42
2022-05-22,50
2022-05-29,56
2022-06-05,70
2022-06-12,55
2022-06-19,49
2022-06-26,58
2022-07-03,59
2022-07-10,59
2022-07-17,48
2022-07-24,53
2022-07-31,59
2022-08-07,44
2022-08-14,45
2022-08-21,41
2022-08-28,57
2022-09-04,58
2022-09-11,39
2022-09-18,39
2022-09-25,50
2022-10-02,51
2022-10-09,43
2022-10-16,41
2022-10-23,44
2022-10-30,44
2022-11-06,48
2022-11-13,37
2022-11-20,30
2022-11-27,48
2022-12-04,53
2022-12-11,41
2022-12-18,47
2022-12-25,44
2023-01-01,49
2023-01-08,45
2023-01-15,42
2023-01-22,41
2023-01-29,39
2023-02-05,44
2023-02-12,41
2023-02-19,36
2023-02-26,47
2023-03-05,42
2023-03-12,41
2023-03-19,40
2023-03-26,39
2023-04-02,35
2023-04-09,39
2023-04-16,39
2023-04-23,36
2023-04-30,39
2023-05-07,34
2023-05-14,39
2023-05-21,45
2023-05-28,43
2023-06-04,39
2023-06-11,41
2023-06-18,43
2023-06-25,45
2023-07-02,48
2023-07-09,42
2023-07-16,52
2023-07-23,45
2023-07-30,44
2023-08-06,47
2023-08-13,47
2023-08-20,50
2023-08-27,49
2023-09-03,41
2023-09-10,42
2023-09-17,43
2023-09-24,42
2023-10-01,40
2023-10-08,39
2023-10-15,41
2023-10-22,35
2023-10-29,34
2023-11-05,33
2023-11-12,42
2023-11-19,29
2023-11-26,36
2023-12-03,40
2023-12-10,38
2023-12-17,37
2023-12-24,31
2023-12-31,39
2024-01-07,38
2024-01-14,34
2024-01-21,37
2024-01-28,37
2024-02-04,35
