date,2024-02-16
2020-02-02,5
2020-02-09,12
2020-02-16,10
2020-02-23,7
2020-03-01,0
2020-03-08,9
2020-03-15,32
2020-03-22,37
2020-03-29,50
2020-04-05,45
2020-04-12,44
2020-04-19,29
2020-04-26,18
2020-05-03,23
2020-05-10,52
2020-05-17,39
2020-05-24,36
2020-05-31,47
2020-06-07,25
2020-06-14,37
2020-06-21,45
2020-06-28,34
2020-07-05,24
2020-07-12,24
2020-07-19,36
2020-07-26,39
2020-08-02,38
2020-08-09,39
2020-08-16,26
2020-08-23,0
2020-08-30,24
2020-09-06,25
2020-09-13,19
2020-09-20,14
2020-09-27,30
2020-10-04,35
2020-10-11,30
2020-10-18,12
2020-10-25,13
2020-11-01,41
2020-11-08,31
2020-11-15,21
2020-11-22,40
2020-11-29,15
2020-12-06,25
2020-12-13,15
2020-12-20,22
2020-12-27,35
2021-01-03,20
2021-01-10,39
2021-01-17,29
2021-01-24,25
2021-01-31,36
2021-02-07,33
2021-02-14,24
2021-02-21,41
2021-02-28,32
2021-03-07,29
2021-03-14,13
2021-03-21,17
2021-03-28,12
2021-04-04,32
2021-04-11,38
2021-04-18,0
2021-04-25,20
2021-05-02,20
2021-05-09,6
2021-05-16,42
2021-05-23,100
2021-05-30,91
2021-06-06,32
2021-06-13,41
2021-06-20,27
2021-06-27,35
2021-07-04,36
2021-07-11,32
2021-07-18,30
2021-07-25,17
2021-08-01,38
2021-08-08,39
2021-08-15,34
2021-08-22,36
2021-08-29,31
2021-09-05,27
2021-09-12,29
2021-09-19,13
2021-09-26,35
2021-10-03,29
2021-10-10,19
2021-10-17,34
2021-10-24,35
2021-10-31,35
2021-11-07,39
2021-11-14,0
2021-11-21,29
2021-11-28,27
2021-12-05,24
2021-12-12,25
2021-12-19,7
2021-12-26,22
2022-01-02,42
2022-01-09,40
2022-01-16,29
2022-01-23,24
2022-01-30,51
2022-02-06,28
2022-02-13,21
2022-02-20,20
2022-02-27,21
2022-03-06,50
2022-03-13,31
2022-03-20,14
2022-03-27,23
2022-04-03,29
2022-04-10,34
2022-04-17,31
2022-04-24,38
2022-05-01,38
2022-05-08,24
2022-05-15,31
2022-05-22,47
2022-05-29,57
2022-06-05,65
2022-06-12,38
2022-06-19,43
2022-06-26,62
2022-07-03,45
2022-07-10,35
2022-07-17,44
2022-07-24,44
2022-07-31,47
2022-08-07,28
2022-08-14,26
2022-08-21,35
2022-08-28,41
2022-09-04,41
2022-09-11,25
2022-09-18,30
2022-09-25,36
2022-10-02,38
2022-10-09,30
2022-10-16,28
2022-10-23,25
2022-10-30,42
2022-11-06,33
2022-11-13,34
2022-11-20,25
2022-11-27,33
2022-12-04,37
2022-12-11,30
2022-12-18,25
2022-12-25,31
2023-01-01,30
2023-01-08,27
2023-01-15,31
2023-01-22,31
2023-01-29,33
2023-02-05,22
2023-02-12,26
2023-02-19,23
2023-02-26,24
2023-03-05,24
2023-03-12,31
2023-03-19,21
2023-03-26,35
2023-04-02,19
2023-04-09,26
2023-04-16,27
2023-04-23,44
2023-04-30,29
2023-05-07,28
2023-05-14,29
2023-05-21,37
2023-05-28,36
2023-06-04,32
2023-06-11,50
2023-06-18,21
2023-06-25,29
2023-07-02,26
2023-07-09,32
2023-07-16,22
2023-07-23,22
2023-07-30,27
2023-08-06,30
2023-08-13,45
2023-08-20,36
2023-08-27,36
2023-09-03,34
2023-09-10,34
2023-09-17,36
2023-09-24,25
2023-10-01,27
2023-10-08,34
2023-10-15,25
2023-10-22,36
2023-10-29,15
2023-11-05,36
2023-11-12,21
2023-11-19,12
2023-11-26,32
2023-12-03,29
2023-12-10,37
2023-12-17,44
2023-12-24,29
2023-12-31,27
2024-01-07,25
2024-01-14,26
2024-01-21,27
2024-01-28,38
2024-02-04,27
