date,2024-02-16
2020-02-02,0
2020-02-09,17
2020-02-16,26
2020-02-23,18
2020-03-01,14
2020-03-08,29
2020-03-15,25
2020-03-22,0
2020-03-29,54
2020-04-05,21
2020-04-12,32
2020-04-19,34
2020-04-26,31
2020-05-03,22
2020-05-10,36
2020-05-17,27
2020-05-24,22
2020-05-31,31
2020-06-07,33
2020-06-14,29
2020-06-21,35
2020-06-28,26
2020-07-05,28
2020-07-12,34
2020-07-19,0
2020-07-26,26
2020-08-02,24
2020-08-09,44
2020-08-16,13
2020-08-23,18
2020-08-30,0
2020-09-06,38
2020-09-13,14
2020-09-20,14
2020-09-27,26
2020-10-04,18
2020-10-11,20
2020-10-18,21
2020-10-25,24
2020-11-01,47
2020-11-08,28
2020-11-15,12
2020-11-22,0
2020-11-29,22
2020-12-06,0
2020-12-13,15
2020-12-20,26
2020-12-27,43
2021-01-03,0
2021-01-10,46
2021-01-17,30
2021-01-24,52
2021-01-31,0
2021-02-07,25
2021-02-14,23
2021-02-21,70
2021-02-28,19
2021-03-07,47
2021-03-14,48
2021-03-21,0
2021-03-28,31
2021-04-04,33
2021-04-11,0
2021-04-18,0
2021-04-25,25
2021-05-02,0
2021-05-09,18
2021-05-16,14
2021-05-23,46
2021-05-30,49
2021-06-06,0
2021-06-13,0
2021-06-20,68
2021-06-27,52
2021-07-04,57
2021-07-11,35
2021-07-18,22
2021-07-25,65
2021-08-01,25
2021-08-08,20
2021-08-15,56
2021-08-22,0
2021-08-29,28
2021-09-05,29
2021-09-12,0
2021-09-19,18
2021-09-26,0
2021-10-03,0
2021-10-10,16
2021-10-17,0
2021-10-24,30
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,16
2021-11-28,46
2021-12-05,0
2021-12-12,29
2021-12-19,25
2021-12-26,15
2022-01-02,16
2022-01-09,26
2022-01-16,0
2022-01-23,25
2022-01-30,58
2022-02-06,29
2022-02-13,46
2022-02-20,26
2022-02-27,35
2022-03-06,17
2022-03-13,41
2022-03-20,60
2022-03-27,39
2022-04-03,36
2022-04-10,48
2022-04-17,24
2022-04-24,0
2022-05-01,33
2022-05-08,29
2022-05-15,0
2022-05-22,51
2022-05-29,100
2022-06-05,50
2022-06-12,11
2022-06-19,38
2022-06-26,67
2022-07-03,11
2022-07-10,0
2022-07-17,23
2022-07-24,17
2022-07-31,19
2022-08-07,0
2022-08-14,40
2022-08-21,36
2022-08-28,26
2022-09-04,66
2022-09-11,27
2022-09-18,24
2022-09-25,26
2022-10-02,66
2022-10-09,0
2022-10-16,34
2022-10-23,24
2022-10-30,53
2022-11-06,0
2022-11-13,11
2022-11-20,15
2022-11-27,24
2022-12-04,47
2022-12-11,52
2022-12-18,13
2022-12-25,40
2023-01-01,0
2023-01-08,41
2023-01-15,20
2023-01-22,28
2023-01-29,14
2023-02-05,36
2023-02-12,34
2023-02-19,18
2023-02-26,25
2023-03-05,61
2023-03-12,21
2023-03-19,31
2023-03-26,17
2023-04-02,25
2023-04-09,26
2023-04-16,27
2023-04-23,20
2023-04-30,20
2023-05-07,27
2023-05-14,12
2023-05-21,17
2023-05-28,32
2023-06-04,42
2023-06-11,27
2023-06-18,48
2023-06-25,0
2023-07-02,36
2023-07-09,28
2023-07-16,17
2023-07-23,38
2023-07-30,24
2023-08-06,15
2023-08-13,0
2023-08-20,21
2023-08-27,41
2023-09-03,0
2023-09-10,44
2023-09-17,48
2023-09-24,38
2023-10-01,10
2023-10-08,38
2023-10-15,59
2023-10-22,13
2023-10-29,29
2023-11-05,46
2023-11-12,0
2023-11-19,0
2023-11-26,10
2023-12-03,13
2023-12-10,12
2023-12-17,26
2023-12-24,0
2023-12-31,74
2024-01-07,12
2024-01-14,0
2024-01-21,33
2024-01-28,22
2024-02-04,18
