date,2024-02-16
2020-02-02,30
2020-02-09,38
2020-02-16,35
2020-02-23,34
2020-03-01,28
2020-03-08,40
2020-03-15,56
2020-03-22,63
2020-03-29,77
2020-04-05,98
2020-04-12,91
2020-04-19,66
2020-04-26,68
2020-05-03,68
2020-05-10,72
2020-05-17,72
2020-05-24,54
2020-05-31,37
2020-06-07,62
2020-06-14,38
2020-06-21,44
2020-06-28,52
2020-07-05,59
2020-07-12,32
2020-07-19,36
2020-07-26,39
2020-08-02,36
2020-08-09,47
2020-08-16,42
2020-08-23,34
2020-08-30,41
2020-09-06,56
2020-09-13,29
2020-09-20,48
2020-09-27,40
2020-10-04,36
2020-10-11,33
2020-10-18,58
2020-10-25,30
2020-11-01,35
2020-11-08,47
2020-11-15,53
2020-11-22,46
2020-11-29,48
2020-12-06,35
2020-12-13,51
2020-12-20,41
2020-12-27,50
2021-01-03,46
2021-01-10,47
2021-01-17,54
2021-01-24,47
2021-01-31,58
2021-02-07,51
2021-02-14,39
2021-02-21,51
2021-02-28,59
2021-03-07,30
2021-03-14,40
2021-03-21,27
2021-03-28,44
2021-04-04,50
2021-04-11,30
2021-04-18,32
2021-04-25,38
2021-05-02,48
2021-05-09,47
2021-05-16,46
2021-05-23,31
2021-05-30,49
2021-06-06,41
2021-06-13,34
2021-06-20,39
2021-06-27,42
2021-07-04,56
2021-07-11,53
2021-07-18,44
2021-07-25,30
2021-08-01,28
2021-08-08,58
2021-08-15,66
2021-08-22,48
2021-08-29,54
2021-09-05,78
2021-09-12,55
2021-09-19,61
2021-09-26,53
2021-10-03,42
2021-10-10,56
2021-10-17,60
2021-10-24,48
2021-10-31,44
2021-11-07,50
2021-11-14,44
2021-11-21,35
2021-11-28,50
2021-12-05,74
2021-12-12,51
2021-12-19,42
2021-12-26,41
2022-01-02,55
2022-01-09,49
2022-01-16,66
2022-01-23,74
2022-01-30,57
2022-02-06,53
2022-02-13,67
2022-02-20,62
2022-02-27,53
2022-03-06,58
2022-03-13,54
2022-03-20,44
2022-03-27,47
2022-04-03,48
2022-04-10,54
2022-04-17,51
2022-04-24,40
2022-05-01,45
2022-05-08,60
2022-05-15,72
2022-05-22,54
2022-05-29,49
2022-06-05,59
2022-06-12,62
2022-06-19,43
2022-06-26,66
2022-07-03,56
2022-07-10,65
2022-07-17,100
2022-07-24,47
2022-07-31,51
2022-08-07,48
2022-08-14,51
2022-08-21,51
2022-08-28,55
2022-09-04,58
2022-09-11,66
2022-09-18,70
2022-09-25,63
2022-10-02,56
2022-10-09,57
2022-10-16,53
2022-10-23,50
2022-10-30,47
2022-11-06,63
2022-11-13,64
2022-11-20,43
2022-11-27,47
2022-12-04,53
2022-12-11,52
2022-12-18,56
2022-12-25,52
2023-01-01,60
2023-01-08,58
2023-01-15,60
2023-01-22,58
2023-01-29,62
2023-02-05,77
2023-02-12,56
2023-02-19,59
2023-02-26,54
2023-03-05,55
2023-03-12,51
2023-03-19,57
2023-03-26,45
2023-04-02,60
2023-04-09,53
2023-04-16,42
2023-04-23,48
2023-04-30,39
2023-05-07,40
2023-05-14,44
2023-05-21,42
2023-05-28,69
2023-06-04,56
2023-06-11,45
2023-06-18,44
2023-06-25,67
2023-07-02,53
2023-07-09,60
2023-07-16,48
2023-07-23,63
2023-07-30,49
2023-08-06,52
2023-08-13,59
2023-08-20,48
2023-08-27,64
2023-09-03,66
2023-09-10,72
2023-09-17,41
2023-09-24,63
2023-10-01,64
2023-10-08,53
2023-10-15,39
2023-10-22,41
2023-10-29,43
2023-11-05,45
2023-11-12,40
2023-11-19,43
2023-11-26,44
2023-12-03,46
2023-12-10,43
2023-12-17,46
2023-12-24,36
2023-12-31,58
2024-01-07,50
2024-01-14,29
2024-01-21,44
2024-01-28,52
2024-02-04,38
