date,2024-02-16
2020-02-02,26
2020-02-09,0
2020-02-16,71
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,33
2020-03-22,22
2020-03-29,40
2020-04-05,85
2020-04-12,62
2020-04-19,36
2020-04-26,17
2020-05-03,13
2020-05-10,33
2020-05-17,17
2020-05-24,26
2020-05-31,26
2020-06-07,0
2020-06-14,30
2020-06-21,32
2020-06-28,44
2020-07-05,46
2020-07-12,54
2020-07-19,0
2020-07-26,0
2020-08-02,36
2020-08-09,34
2020-08-16,0
2020-08-23,0
2020-08-30,20
2020-09-06,37
2020-09-13,46
2020-09-20,0
2020-09-27,24
2020-10-04,41
2020-10-11,23
2020-10-18,0
2020-10-25,40
2020-11-01,0
2020-11-08,33
2020-11-15,34
2020-11-22,38
2020-11-29,0
2020-12-06,0
2020-12-13,17
2020-12-20,0
2020-12-27,21
2021-01-03,19
2021-01-10,37
2021-01-17,13
2021-01-24,14
2021-01-31,30
2021-02-07,0
2021-02-14,100
2021-02-21,53
2021-02-28,17
2021-03-07,37
2021-03-14,0
2021-03-21,41
2021-03-28,38
2021-04-04,0
2021-04-11,38
2021-04-18,0
2021-04-25,17
2021-05-02,0
2021-05-09,42
2021-05-16,36
2021-05-23,94
2021-05-30,48
2021-06-06,25
2021-06-13,0
2021-06-20,35
2021-06-27,0
2021-07-04,56
2021-07-11,23
2021-07-18,0
2021-07-25,36
2021-08-01,50
2021-08-08,40
2021-08-15,86
2021-08-22,18
2021-08-29,24
2021-09-05,25
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,40
2021-10-10,20
2021-10-17,0
2021-10-24,34
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,46
2021-12-05,26
2021-12-12,25
2021-12-19,28
2021-12-26,30
2022-01-02,46
2022-01-09,23
2022-01-16,19
2022-01-23,27
2022-01-30,15
2022-02-06,0
2022-02-13,19
2022-02-20,36
2022-02-27,38
2022-03-06,33
2022-03-13,0
2022-03-20,20
2022-03-27,26
2022-04-03,37
2022-04-10,0
2022-04-17,29
2022-04-24,15
2022-05-01,22
2022-05-08,27
2022-05-15,31
2022-05-22,29
2022-05-29,23
2022-06-05,33
2022-06-12,69
2022-06-19,34
2022-06-26,58
2022-07-03,42
2022-07-10,0
2022-07-17,0
2022-07-24,49
2022-07-31,32
2022-08-07,40
2022-08-14,12
2022-08-21,32
2022-08-28,32
2022-09-04,55
2022-09-11,0
2022-09-18,34
2022-09-25,57
2022-10-02,42
2022-10-09,42
2022-10-16,30
2022-10-23,0
2022-10-30,49
2022-11-06,14
2022-11-13,14
2022-11-20,0
2022-11-27,15
2022-12-04,41
2022-12-11,14
2022-12-18,29
2022-12-25,18
2023-01-01,14
2023-01-08,24
2023-01-15,58
2023-01-22,0
2023-01-29,15
2023-02-05,0
2023-02-12,36
2023-02-19,25
2023-02-26,33
2023-03-05,0
2023-03-12,19
2023-03-19,39
2023-03-26,14
2023-04-02,0
2023-04-09,65
2023-04-16,39
2023-04-23,22
2023-04-30,29
2023-05-07,26
2023-05-14,0
2023-05-21,0
2023-05-28,14
2023-06-04,0
2023-06-11,28
2023-06-18,39
2023-06-25,93
2023-07-02,0
2023-07-09,24
2023-07-16,45
2023-07-23,17
2023-07-30,0
2023-08-06,32
2023-08-13,22
2023-08-20,19
2023-08-27,96
2023-09-03,27
2023-09-10,21
2023-09-17,26
2023-09-24,20
2023-10-01,32
2023-10-08,51
2023-10-15,16
2023-10-22,20
2023-10-29,0
2023-11-05,61
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,16
2023-12-10,0
2023-12-17,31
2023-12-24,16
2023-12-31,43
2024-01-07,20
2024-01-14,50
2024-01-21,20
2024-01-28,0
2024-02-04,0
