date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,42.0,0.0,0.0,0.0,1,2018,abilene sweetwater,TX
2018-02-01,44.5,42.0,32.5,58.0,2,2018,abilene sweetwater,TX
2018-03-01,27.0,32.0,0.0,0.0,3,2018,abilene sweetwater,TX
2018-04-01,39.0,0.0,0.0,32.0,4,2018,abilene sweetwater,TX
2018-05-01,37.0,42.0,0.0,0.0,5,2018,abilene sweetwater,TX
2018-06-01,45.0,0.0,0.0,0.0,6,2018,abilene sweetwater,TX
2018-07-01,0.0,0.0,0.0,0.0,7,2018,abilene sweetwater,TX
2018-08-01,45.0,0.0,0.0,0.0,8,2018,abilene sweetwater,TX
2018-09-01,71.0,0.0,0.0,0.0,9,2018,abilene sweetwater,TX
2018-10-01,61.0,67.0,0.0,53.0,10,2018,abilene sweetwater,TX
2018-11-01,43.0,39.0,0.0,0.0,11,2018,abilene sweetwater,TX
2018-12-01,43.0,0.0,0.0,0.0,12,2018,abilene sweetwater,TX
2019-01-01,55.0,44.62,29.27,0.0,1,2019,abilene sweetwater,TX
2019-02-01,38.0,0.0,0.0,0.0,2,2019,abilene sweetwater,TX
2019-03-01,26.0,55.38,0.0,0.0,3,2019,abilene sweetwater,TX
2019-04-01,22.0,0.0,0.0,0.0,4,2019,abilene sweetwater,TX
2019-05-01,32.0,32.31,0.0,0.0,5,2019,abilene sweetwater,TX
2019-06-01,52.0,0.0,0.0,0.0,6,2019,abilene sweetwater,TX
2019-07-01,24.0,0.0,0.0,0.0,7,2019,abilene sweetwater,TX
2019-08-01,19.0,0.0,0.0,0.0,8,2019,abilene sweetwater,TX
2019-09-01,22.5,0.0,0.0,0.0,9,2019,abilene sweetwater,TX
2019-10-01,25.0,43.08,0.0,0.0,10,2019,abilene sweetwater,TX
2019-11-01,27.0,0.0,0.0,29.23,11,2019,abilene sweetwater,TX
2019-12-01,0.0,33.85,0.0,0.0,12,2019,abilene sweetwater,TX
2020-01-01,36.78,0.0,0.0,0.0,1,2020,abilene sweetwater,TX
2020-02-01,24.14,0.0,0.0,0.0,2,2020,abilene sweetwater,TX
2020-03-01,65.52,0.0,0.0,0.0,3,2020,abilene sweetwater,TX
2020-04-01,73.56,0.0,0.0,0.0,4,2020,abilene sweetwater,TX
2020-05-01,63.22,18.0,26.0,43.44,5,2020,abilene sweetwater,TX
2020-06-01,37.93,23.0,0.0,88.69,6,2020,abilene sweetwater,TX
2020-07-01,40.23,0.0,0.0,28.96,7,2020,abilene sweetwater,TX
2020-08-01,54.02,0.0,0.0,28.96,8,2020,abilene sweetwater,TX
2020-09-01,32.18,15.0,0.0,32.58,9,2020,abilene sweetwater,TX
2020-10-01,62.07,0.0,0.0,32.58,10,2020,abilene sweetwater,TX
2020-11-01,68.97,0.0,0.0,0.0,11,2020,abilene sweetwater,TX
2020-12-01,77.01,18.0,0.0,37.61,12,2020,abilene sweetwater,TX
2021-01-01,63.66,0.0,0.0,37.61,1,2021,abilene sweetwater,TX
2021-02-01,62.78,0.0,0.0,45.84,2,2021,abilene sweetwater,TX
2021-03-01,49.51,0.0,0.0,0.0,3,2021,abilene sweetwater,TX
2021-04-01,21.22,0.0,0.0,0.0,4,2021,abilene sweetwater,TX
2021-05-01,70.73,19.0,0.0,77.57,5,2021,abilene sweetwater,TX
2021-06-01,76.04,0.0,0.0,39.96,6,2021,abilene sweetwater,TX
2021-07-01,53.05,0.0,0.0,49.36,7,2021,abilene sweetwater,TX
2021-08-01,86.65,0.0,0.0,63.47,8,2021,abilene sweetwater,TX
2021-09-01,76.04,0.0,0.0,39.96,9,2021,abilene sweetwater,TX
2021-10-01,53.05,0.0,0.0,37.61,10,2021,abilene sweetwater,TX
2021-11-01,58.36,0.0,0.0,37.61,11,2021,abilene sweetwater,TX
2021-12-01,42.44,0.0,0.0,63.47,12,2021,abilene sweetwater,TX
2022-01-01,47.0,0.0,0.0,15.0,1,2022,abilene sweetwater,TX
