date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,28.0,0.0,0.0,0.0,1,2018,beaumont port arthur,TX
2018-02-01,50.0,11.5,0.0,0.0,2,2018,beaumont port arthur,TX
2018-03-01,47.0,0.0,0.0,0.0,3,2018,beaumont port arthur,TX
2018-04-01,50.0,17.0,0.0,0.0,4,2018,beaumont port arthur,TX
2018-05-01,56.0,0.0,33.0,0.0,5,2018,beaumont port arthur,TX
2018-06-01,42.0,0.0,0.0,35.0,6,2018,beaumont port arthur,TX
2018-07-01,59.0,0.0,0.0,0.0,7,2018,beaumont port arthur,TX
2018-08-01,40.0,0.0,0.0,0.0,8,2018,beaumont port arthur,TX
2018-09-01,39.0,21.0,0.0,20.0,9,2018,beaumont port arthur,TX
2018-10-01,65.0,20.0,0.0,0.0,10,2018,beaumont port arthur,TX
2018-11-01,39.0,0.0,0.0,0.0,11,2018,beaumont port arthur,TX
2018-12-01,50.0,17.0,0.0,0.0,12,2018,beaumont port arthur,TX
2019-01-01,81.67,0.0,0.0,0.0,1,2019,beaumont port arthur,TX
2019-02-01,50.0,0.0,0.0,0.0,2,2019,beaumont port arthur,TX
2019-03-01,38.33,16.0,0.0,0.0,3,2019,beaumont port arthur,TX
2019-04-01,56.67,0.0,0.0,0.0,4,2019,beaumont port arthur,TX
2019-05-01,48.33,0.0,0.0,0.0,5,2019,beaumont port arthur,TX
2019-06-01,50.0,0.0,0.0,0.0,6,2019,beaumont port arthur,TX
2019-07-01,48.33,0.0,0.0,0.0,7,2019,beaumont port arthur,TX
2019-08-01,50.0,0.0,0.0,0.0,8,2019,beaumont port arthur,TX
2019-09-01,98.33,19.0,0.0,23.5,9,2019,beaumont port arthur,TX
2019-10-01,51.67,0.0,0.0,24.0,10,2019,beaumont port arthur,TX
2019-11-01,45.0,0.0,29.0,52.0,11,2019,beaumont port arthur,TX
2019-12-01,43.33,0.0,0.0,0.0,12,2019,beaumont port arthur,TX
2020-01-01,68.03,0.0,0.0,0.0,1,2020,beaumont port arthur,TX
2020-02-01,68.03,0.0,0.0,0.0,2,2020,beaumont port arthur,TX
2020-03-01,149.66,0.0,0.0,25.64,3,2020,beaumont port arthur,TX
2020-04-01,125.85,0.0,0.0,25.64,4,2020,beaumont port arthur,TX
2020-05-01,105.44,16.0,0.0,80.77,5,2020,beaumont port arthur,TX
2020-06-01,78.23,12.0,0.0,91.03,6,2020,beaumont port arthur,TX
2020-07-01,71.43,0.0,0.0,48.72,7,2020,beaumont port arthur,TX
2020-08-01,98.64,0.0,0.0,33.33,8,2020,beaumont port arthur,TX
2020-09-01,74.83,28.0,0.0,0.0,9,2020,beaumont port arthur,TX
