date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,61.0,0.0,0.0,20.0,1,2018,el paso,TX
2018-02-01,44.5,0.0,0.0,24.0,2,2018,el paso,TX
2018-03-01,42.0,21.0,0.0,37.0,3,2018,el paso,TX
2018-04-01,48.0,29.5,0.0,22.0,4,2018,el paso,TX
2018-05-01,61.0,0.0,0.0,32.0,5,2018,el paso,TX
2018-06-01,47.0,43.0,0.0,37.0,6,2018,el paso,TX
2018-07-01,57.0,0.0,35.0,29.0,7,2018,el paso,TX
2018-08-01,54.0,0.0,0.0,42.0,8,2018,el paso,TX
2018-09-01,58.0,0.0,0.0,29.0,9,2018,el paso,TX
2018-10-01,27.0,18.0,0.0,48.0,10,2018,el paso,TX
2018-11-01,35.0,30.0,0.0,25.0,11,2018,el paso,TX
2018-12-01,53.0,30.0,0.0,22.0,12,2018,el paso,TX
2019-01-01,98.55,39.0,0.0,38.89,1,2019,el paso,TX
2019-02-01,62.32,0.0,0.0,13.89,2,2019,el paso,TX
2019-03-01,56.52,0.0,0.0,22.22,3,2019,el paso,TX
2019-04-01,42.03,22.0,0.0,44.44,4,2019,el paso,TX
2019-05-01,53.62,18.0,0.0,45.83,5,2019,el paso,TX
2019-06-01,47.83,0.0,0.0,70.83,6,2019,el paso,TX
2019-07-01,42.03,17.0,0.0,38.89,7,2019,el paso,TX
2019-08-01,65.22,21.0,0.0,54.17,8,2019,el paso,TX
2019-09-01,50.72,21.0,28.57,52.78,9,2019,el paso,TX
2019-10-01,34.78,28.0,0.0,27.78,10,2019,el paso,TX
2019-11-01,43.48,17.0,0.0,16.67,11,2019,el paso,TX
2019-12-01,42.03,0.0,0.0,29.17,12,2019,el paso,TX
2020-01-01,30.0,0.0,0.0,37.54,1,2020,el paso,TX
2020-02-01,30.0,19.23,0.0,18.77,2,2020,el paso,TX
2020-03-01,56.0,103.85,0.0,41.29,3,2020,el paso,TX
2020-04-01,60.0,121.15,32.0,41.29,4,2020,el paso,TX
2020-05-01,59.0,78.85,0.0,97.6,5,2020,el paso,TX
2020-06-01,55.0,78.85,0.0,198.95,6,2020,el paso,TX
2020-07-01,55.0,78.85,0.0,157.66,7,2020,el paso,TX
2020-08-01,55.0,78.85,0.0,86.34,8,2020,el paso,TX
2020-09-01,44.0,71.15,0.0,112.61,9,2020,el paso,TX
2020-10-01,65.0,69.23,0.0,112.61,10,2020,el paso,TX
2020-11-01,51.5,107.69,0.0,105.11,11,2020,el paso,TX
2020-12-01,44.0,65.38,0.0,108.86,12,2020,el paso,TX
2021-01-01,73.23,24.0,0.0,68.25,1,2021,el paso,TX
2021-02-01,73.23,14.5,0.0,105.22,2,2021,el paso,TX
2021-03-01,70.18,9.0,0.0,85.31,3,2021,el paso,TX
2021-04-01,64.07,9.0,0.0,85.31,4,2021,el paso,TX
2021-05-01,54.92,10.0,0.0,136.5,5,2021,el paso,TX
2021-06-01,86.96,11.0,0.0,284.38,6,2021,el paso,TX
2021-07-01,77.8,16.0,0.0,199.06,7,2021,el paso,TX
2021-08-01,105.26,19.0,0.0,159.25,8,2021,el paso,TX
2021-09-01,85.43,19.0,0.0,113.75,9,2021,el paso,TX
2021-10-01,74.75,15.0,0.0,136.5,10,2021,el paso,TX
2021-11-01,77.8,22.0,0.0,164.94,11,2021,el paso,TX
2021-12-01,70.18,21.0,0.0,102.38,12,2021,el paso,TX
2022-01-01,54.0,18.0,0.0,23.0,1,2022,el paso,TX
2022-02-01,49.0,21.0,0.0,16.5,2,2022,el paso,TX
2022-03-01,51.0,13.0,0.0,15.0,3,2022,el paso,TX
2022-04-01,51.0,11.0,0.0,15.0,4,2022,el paso,TX
2022-05-01,51.0,10.0,0.0,19.0,5,2022,el paso,TX
2022-06-01,65.0,10.0,0.0,20.0,6,2022,el paso,TX
2022-07-01,65.0,26.0,0.0,10.0,7,2022,el paso,TX
2022-08-01,47.0,23.0,0.0,13.0,8,2022,el paso,TX
2022-09-01,66.0,24.0,0.0,19.0,9,2022,el paso,TX
2022-10-01,55.0,23.0,0.0,19.0,10,2022,el paso,TX
2022-11-01,47.0,26.0,0.0,21.0,11,2022,el paso,TX
2022-12-01,52.0,18.0,0.0,39.0,12,2022,el paso,TX
2023-01-01,52.0,18.0,0.0,27.0,1,2023,el paso,TX
2023-02-01,48.5,13.0,0.0,20.0,2,2023,el paso,TX
2023-03-01,48.0,20.0,0.0,14.0,3,2023,el paso,TX
2023-04-01,46.0,33.0,0.0,17.0,4,2023,el paso,TX
2023-05-01,39.0,16.0,0.0,13.0,5,2023,el paso,TX
2023-06-01,49.0,33.0,0.0,15.0,6,2023,el paso,TX
2023-07-01,61.0,25.0,0.0,16.0,7,2023,el paso,TX
2023-08-01,53.0,36.0,0.0,18.0,8,2023,el paso,TX
2023-09-01,55.0,31.0,0.0,16.0,9,2023,el paso,TX
2023-10-01,37.0,20.0,0.0,13.0,10,2023,el paso,TX
2023-11-01,46.0,31.0,0.0,15.0,11,2023,el paso,TX
2023-12-01,41.0,19.0,0.0,11.0,12,2023,el paso,TX
2024-01-01,48.0,31.0,0.0,10.0,1,2024,el paso,TX
2024-02-01,32.0,35.0,0.0,10.0,2,2024,el paso,TX
