date,Supplemntal Nutrition Assistance Program,Food bank,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,25.0,0.0,0.0,1,2018,victoria,TX
2018-02-01,0.0,0.0,0.0,2,2018,victoria,TX
2018-03-01,0.0,0.0,0.0,3,2018,victoria,TX
2018-04-01,0.0,0.0,0.0,4,2018,victoria,TX
2018-05-01,0.0,26.0,51.0,5,2018,victoria,TX
2018-06-01,0.0,0.0,0.0,6,2018,victoria,TX
2018-07-01,42.0,0.0,0.0,7,2018,victoria,TX
2018-08-01,0.0,0.0,0.0,8,2018,victoria,TX
2018-09-01,0.0,28.0,0.0,9,2018,victoria,TX
2018-10-01,0.0,44.0,0.0,10,2018,victoria,TX
2018-11-01,0.0,0.0,0.0,11,2018,victoria,TX
2018-12-01,0.0,0.0,0.0,12,2018,victoria,TX
2019-01-01,0.0,30.19,0.0,1,2019,victoria,TX
2019-02-01,29.0,0.0,0.0,2,2019,victoria,TX
2019-03-01,0.0,0.0,0.0,3,2019,victoria,TX
2019-04-01,0.0,0.0,0.0,4,2019,victoria,TX
2019-05-01,0.0,0.0,0.0,5,2019,victoria,TX
2019-06-01,23.0,0.0,0.0,6,2019,victoria,TX
2019-07-01,34.0,0.0,0.0,7,2019,victoria,TX
2019-08-01,0.0,0.0,0.0,8,2019,victoria,TX
2019-09-01,26.5,0.0,19.62,9,2019,victoria,TX
2019-10-01,24.0,0.0,0.0,10,2019,victoria,TX
2019-11-01,0.0,26.42,0.0,11,2019,victoria,TX
2019-12-01,26.83,0.0,0.0,12,2019,victoria,TX
2020-01-01,26.83,0.0,0.0,1,2020,victoria,TX
2020-02-01,18.29,0.0,0.0,2,2020,victoria,TX
2020-03-01,58.54,17.0,0.0,3,2020,victoria,TX
2020-04-01,53.66,0.0,0.0,4,2020,victoria,TX
2020-05-01,31.71,0.0,34.0,5,2020,victoria,TX
2020-06-01,54.88,0.0,44.0,6,2020,victoria,TX
2020-07-01,39.02,11.0,0.0,7,2020,victoria,TX
2020-08-01,17.07,0.0,0.0,8,2020,victoria,TX
2020-09-01,0.0,0.0,0.0,9,2020,victoria,TX
2020-10-01,24.39,0.0,0.0,10,2020,victoria,TX
2020-11-01,28.05,0.0,11.5,11,2020,victoria,TX
2020-12-01,19.51,0.0,0.0,12,2020,victoria,TX
2021-01-01,25.87,0.0,0.0,1,2021,victoria,TX
2021-02-01,48.66,0.0,21.59,2,2021,victoria,TX
2021-03-01,0.0,0.0,0.0,3,2021,victoria,TX
2021-04-01,0.0,0.0,0.0,4,2021,victoria,TX
2021-05-01,71.45,0.0,50.63,5,2021,victoria,TX
2021-06-01,48.04,0.0,61.06,6,2021,victoria,TX
2021-07-01,39.42,0.0,0.0,7,2021,victoria,TX
2021-08-01,0.0,0.0,58.08,8,2021,victoria,TX
2021-09-01,19.71,18.0,0.0,9,2021,victoria,TX
2021-10-01,20.94,0.0,0.0,10,2021,victoria,TX
2021-11-01,0.0,12.0,0.0,11,2021,victoria,TX
2021-12-01,32.03,0.0,0.0,12,2021,victoria,TX
2022-01-01,0.0,0.0,0.0,1,2022,victoria,TX
2022-02-01,37.46,0.0,0.0,2,2022,victoria,TX
2022-03-01,26.67,0.0,0.0,3,2022,victoria,TX
2022-04-01,17.78,0.0,18.0,4,2022,victoria,TX
2022-05-01,19.05,0.0,28.0,5,2022,victoria,TX
2022-06-01,45.72,0.0,26.0,6,2022,victoria,TX
2022-07-01,34.29,0.0,23.0,7,2022,victoria,TX
2022-08-01,26.67,0.0,0.0,8,2022,victoria,TX
2022-09-01,0.0,0.0,0.0,9,2022,victoria,TX
2022-10-01,30.48,0.0,0.0,10,2022,victoria,TX
2022-11-01,0.0,0.0,0.0,11,2022,victoria,TX
2022-12-01,33.02,0.0,25.0,12,2022,victoria,TX
2023-01-01,18.0,0.0,0.0,1,2023,victoria,TX
2023-02-01,19.5,0.0,0.0,2,2023,victoria,TX
2023-03-01,14.0,0.0,0.0,3,2023,victoria,TX
2023-04-01,13.0,0.0,0.0,4,2023,victoria,TX
2023-05-01,13.0,0.0,0.0,5,2023,victoria,TX
2023-06-01,0.0,0.0,0.0,6,2023,victoria,TX
2023-07-01,0.0,0.0,44.36,7,2023,victoria,TX
2023-08-01,34.0,0.0,0.0,8,2023,victoria,TX
2023-09-01,32.0,0.0,0.0,9,2023,victoria,TX
2023-10-01,31.0,14.96,0.0,10,2023,victoria,TX
2023-11-01,31.0,0.0,0.0,11,2023,victoria,TX
2023-12-01,16.0,0.0,0.0,12,2023,victoria,TX
2024-01-01,17.0,0.0,58.62,1,2024,victoria,TX
2024-02-01,0.0,0.0,158.43,2,2024,victoria,TX
