date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,73.0,47.0,23.0,,
2018-01-14,55.0,35.0,17.0,,
2018-01-21,72.0,46.0,23.0,,
2018-01-28,93.0,60.0,29.0,,
2018-02-04,83.0,54.0,26.0,,
2018-02-11,45.0,29.0,14.0,,
2018-02-18,51.0,33.0,16.0,,
2018-02-25,66.0,42.0,21.0,,
2018-03-04,77.0,50.0,24.0,,
2018-03-11,68.0,44.0,22.0,,
2018-03-18,60.0,39.0,19.0,,
2018-03-25,55.0,36.0,18.0,,
2018-04-01,75.0,48.0,24.0,,
2018-04-08,73.0,47.0,23.0,,
2018-04-15,53.0,34.0,17.0,,
2018-04-22,65.0,42.0,21.0,,
2018-04-29,76.0,49.0,24.0,,
2018-05-06,71.0,46.0,23.0,,
2018-05-13,52.0,34.0,17.0,,
2018-05-20,53.0,34.0,17.0,,
2018-05-27,67.0,43.0,21.0,,
2018-06-03,76.0,49.0,24.0,,
2018-06-10,68.0,44.0,22.0,,
2018-06-17,61.0,39.0,19.0,,
2018-06-24,78.0,50.0,25.0,,
2018-07-01,83.0,53.0,26.0,,
2018-07-08,79.0,51.0,25.0,,
2018-07-15,70.0,45.0,22.0,,
2018-07-22,77.0,50.0,25.0,,
2018-07-29,100.0,64.0,32.0,,
2018-08-05,88.0,56.0,28.0,,
2018-08-12,71.0,46.0,23.0,,
2018-08-19,64.0,41.0,20.0,,
2018-08-26,63.0,41.0,20.0,,
2018-09-02,87.0,56.0,28.0,,
2018-09-09,73.0,47.0,23.0,,
2018-09-16,73.0,47.0,23.0,,
2018-09-23,79.0,51.0,25.0,,
2018-09-30,98.0,63.0,31.0,,
2018-10-07,76.0,49.0,24.0,,
2018-10-14,67.0,43.0,21.0,,
2018-10-21,67.0,43.0,21.0,,
2018-10-28,79.0,51.0,25.0,,
2018-11-04,78.0,50.0,25.0,,
2018-11-11,70.0,45.0,22.0,,
2018-11-18,61.0,39.0,19.0,,
2018-11-25,60.0,39.0,19.0,,
2018-12-02,69.0,45.0,22.0,,
2018-12-09,75.0,48.0,24.0,,
2018-12-16,65.0,42.0,21.0,,
2018-12-23,50.0,32.0,16.0,,
2018-12-30,79.0,51.0,25.0,,
2019-01-06,,53.0,26.0,26.0,
2019-01-13,,70.0,35.0,35.0,
2019-01-20,,57.0,28.0,28.0,
2019-01-27,,53.0,26.0,26.0,
2019-02-03,,60.0,30.0,30.0,
2019-02-10,,46.0,23.0,23.0,
2019-02-17,,46.0,23.0,23.0,
2019-02-24,,57.0,28.0,28.0,
2019-03-03,,49.0,24.0,24.0,
2019-03-10,,41.0,20.0,20.0,
2019-03-17,,37.0,18.0,18.0,
2019-03-24,,52.0,26.0,26.0,
2019-03-31,,60.0,30.0,30.0,
2019-04-07,,53.0,26.0,26.0,
2019-04-14,,45.0,22.0,22.0,
2019-04-21,,47.0,23.0,23.0,
2019-04-28,,48.0,24.0,24.0,
2019-05-05,,52.0,26.0,26.0,
2019-05-12,,67.0,33.0,33.0,
2019-05-19,,75.0,37.0,37.0,
2019-05-26,,76.0,37.0,37.0,
2019-06-02,,95.0,47.0,47.0,
2019-06-09,,100.0,49.0,49.0,
2019-06-16,,75.0,37.0,37.0,
2019-06-23,,77.0,38.0,38.0,
2019-06-30,,69.0,34.0,34.0,
2019-07-07,,84.0,42.0,42.0,
2019-07-14,,77.0,38.0,38.0,
2019-07-21,,71.0,35.0,35.0,
2019-07-28,,70.0,35.0,35.0,
2019-08-04,,90.0,45.0,45.0,
2019-08-11,,76.0,37.0,37.0,
2019-08-18,,66.0,33.0,33.0,
2019-08-25,,60.0,30.0,30.0,
2019-09-01,,75.0,37.0,37.0,
2019-09-08,,72.0,35.0,35.0,
2019-09-15,,73.0,36.0,36.0,
2019-09-22,,54.0,27.0,27.0,
2019-09-29,,70.0,34.0,34.0,
2019-10-06,,80.0,40.0,40.0,
2019-10-13,,69.0,34.0,34.0,
2019-10-20,,59.0,29.0,29.0,
2019-10-27,,68.0,34.0,34.0,
2019-11-03,,66.0,33.0,33.0,
2019-11-10,,58.0,28.0,28.0,
2019-11-17,,55.0,27.0,27.0,
2019-11-24,,32.0,16.0,16.0,
2019-12-01,,67.0,33.0,33.0,
2019-12-08,,44.0,22.0,22.0,
2019-12-15,,46.0,23.0,23.0,
2019-12-22,,39.0,19.0,19.0,
2019-12-29,,53.0,26.0,26.0,
2020-01-05,,,30.0,30.0,23.0
2020-01-12,,,29.0,29.0,22.0
2020-01-19,,,27.0,27.0,21.0
2020-01-26,,,27.0,27.0,21.0
2020-02-02,,,36.0,36.0,27.0
2020-02-09,,,28.0,28.0,21.0
2020-02-16,,,24.0,24.0,19.0
2020-02-23,,,21.0,21.0,16.0
2020-03-01,,,27.0,27.0,21.0
2020-03-08,,,30.0,30.0,23.0
2020-03-15,,,58.0,58.0,44.0
2020-03-22,,,62.0,62.0,48.0
2020-03-29,,,80.0,80.0,61.0
2020-04-05,,,100.0,100.0,76.0
2020-04-12,,,100.0,100.0,77.0
2020-04-19,,,80.0,80.0,61.0
2020-04-26,,,93.0,93.0,71.0
2020-05-03,,,84.0,84.0,64.0
2020-05-10,,,88.0,88.0,67.0
2020-05-17,,,98.0,98.0,75.0
2020-05-24,,,69.0,69.0,53.0
2020-05-31,,,59.0,59.0,45.0
2020-06-07,,,61.0,61.0,46.0
2020-06-14,,,57.0,57.0,44.0
2020-06-21,,,52.0,52.0,40.0
2020-06-28,,,57.0,57.0,44.0
2020-07-05,,,52.0,52.0,40.0
2020-07-12,,,61.0,61.0,47.0
2020-07-19,,,51.0,51.0,39.0
2020-07-26,,,54.0,54.0,41.0
2020-08-02,,,53.0,53.0,40.0
2020-08-09,,,58.0,58.0,44.0
2020-08-16,,,48.0,48.0,37.0
2020-08-23,,,43.0,43.0,33.0
2020-08-30,,,52.0,52.0,40.0
2020-09-06,,,50.0,50.0,38.0
2020-09-13,,,50.0,50.0,38.0
2020-09-20,,,39.0,39.0,30.0
2020-09-27,,,51.0,51.0,39.0
2020-10-04,,,49.0,49.0,38.0
2020-10-11,,,52.0,52.0,39.0
2020-10-18,,,40.0,40.0,30.0
2020-10-25,,,35.0,35.0,27.0
2020-11-01,,,39.0,39.0,30.0
2020-11-08,,,47.0,47.0,36.0
2020-11-15,,,50.0,50.0,38.0
2020-11-22,,,35.0,35.0,27.0
2020-11-29,,,52.0,52.0,40.0
2020-12-06,,,46.0,46.0,35.0
2020-12-13,,,64.0,64.0,49.0
