date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,46.0,41.0,21.0,,
2018-01-14,58.0,52.0,26.0,,
2018-01-21,54.0,49.0,24.0,,
2018-01-28,52.0,47.0,23.0,,
2018-02-04,73.0,66.0,33.0,,
2018-02-11,44.0,39.0,20.0,,
2018-02-18,47.0,42.0,21.0,,
2018-02-25,54.0,48.0,24.0,,
2018-03-04,72.0,65.0,32.0,,
2018-03-11,45.0,41.0,20.0,,
2018-03-18,59.0,53.0,26.0,,
2018-03-25,39.0,36.0,18.0,,
2018-04-01,52.0,47.0,23.0,,
2018-04-08,46.0,42.0,21.0,,
2018-04-15,55.0,50.0,25.0,,
2018-04-22,52.0,47.0,24.0,,
2018-04-29,62.0,57.0,28.0,,
2018-05-06,53.0,48.0,24.0,,
2018-05-13,44.0,39.0,20.0,,
2018-05-20,58.0,52.0,26.0,,
2018-05-27,48.0,43.0,21.0,,
2018-06-03,57.0,51.0,26.0,,
2018-06-10,37.0,34.0,17.0,,
2018-06-17,40.0,36.0,18.0,,
2018-06-24,76.0,69.0,34.0,,
2018-07-01,74.0,67.0,33.0,,
2018-07-08,55.0,50.0,25.0,,
2018-07-15,55.0,50.0,25.0,,
2018-07-22,83.0,75.0,37.0,,
2018-07-29,80.0,72.0,36.0,,
2018-08-05,69.0,62.0,31.0,,
2018-08-12,60.0,54.0,27.0,,
2018-08-19,68.0,61.0,30.0,,
2018-08-26,72.0,65.0,32.0,,
2018-09-02,71.0,64.0,32.0,,
2018-09-09,49.0,45.0,22.0,,
2018-09-16,56.0,51.0,25.0,,
2018-09-23,45.0,41.0,20.0,,
2018-09-30,100.0,91.0,45.0,,
2018-10-07,62.0,56.0,28.0,,
2018-10-14,37.0,34.0,17.0,,
2018-10-21,64.0,58.0,29.0,,
2018-10-28,35.0,31.0,16.0,,
2018-11-04,78.0,71.0,35.0,,
2018-11-11,64.0,58.0,29.0,,
2018-11-18,40.0,37.0,18.0,,
2018-11-25,75.0,68.0,34.0,,
2018-12-02,51.0,46.0,23.0,,
2018-12-09,72.0,65.0,32.0,,
2018-12-16,59.0,53.0,26.0,,
2018-12-23,23.0,21.0,10.0,,
2018-12-30,51.0,46.0,23.0,,
2019-01-06,,55.0,27.0,27.0,
2019-01-13,,83.0,41.0,41.0,
2019-01-20,,63.0,31.0,31.0,
2019-01-27,,34.0,17.0,17.0,
2019-02-03,,57.0,28.0,28.0,
2019-02-10,,70.0,34.0,34.0,
2019-02-17,,73.0,36.0,36.0,
2019-02-24,,44.0,22.0,22.0,
2019-03-03,,44.0,22.0,22.0,
2019-03-10,,63.0,31.0,31.0,
2019-03-17,,79.0,39.0,39.0,
2019-03-24,,49.0,24.0,24.0,
2019-03-31,,59.0,29.0,29.0,
2019-04-07,,59.0,29.0,29.0,
2019-04-14,,57.0,28.0,28.0,
2019-04-21,,62.0,31.0,31.0,
2019-04-28,,67.0,33.0,33.0,
2019-05-05,,31.0,15.0,15.0,
2019-05-12,,56.0,28.0,28.0,
2019-05-19,,70.0,35.0,35.0,
2019-05-26,,61.0,30.0,30.0,
2019-06-02,,84.0,42.0,42.0,
2019-06-09,,67.0,33.0,33.0,
2019-06-16,,74.0,37.0,37.0,
2019-06-23,,77.0,38.0,38.0,
2019-06-30,,55.0,27.0,27.0,
2019-07-07,,89.0,44.0,44.0,
2019-07-14,,71.0,35.0,35.0,
2019-07-21,,74.0,37.0,37.0,
2019-07-28,,91.0,45.0,45.0,
2019-08-04,,61.0,30.0,30.0,
2019-08-11,,94.0,47.0,47.0,
2019-08-18,,71.0,35.0,35.0,
2019-08-25,,83.0,41.0,41.0,
2019-09-01,,86.0,43.0,43.0,
2019-09-08,,94.0,46.0,46.0,
2019-09-15,,63.0,31.0,31.0,
2019-09-22,,87.0,43.0,43.0,
2019-09-29,,100.0,50.0,50.0,
2019-10-06,,84.0,41.0,41.0,
2019-10-13,,68.0,34.0,34.0,
2019-10-20,,65.0,32.0,32.0,
2019-10-27,,93.0,46.0,46.0,
2019-11-03,,87.0,43.0,43.0,
2019-11-10,,44.0,22.0,22.0,
2019-11-17,,93.0,46.0,46.0,
2019-11-24,,51.0,25.0,25.0,
2019-12-01,,92.0,46.0,46.0,
2019-12-08,,76.0,38.0,38.0,
2019-12-15,,59.0,29.0,29.0,
2019-12-22,,48.0,24.0,24.0,
2019-12-29,,58.0,29.0,29.0,
2020-01-05,,,48.0,48.0,45.0
2020-01-12,,,32.0,32.0,30.0
2020-01-19,,,31.0,31.0,29.0
2020-01-26,,,27.0,27.0,25.0
2020-02-02,,,37.0,37.0,35.0
2020-02-09,,,29.0,29.0,27.0
2020-02-16,,,26.0,26.0,25.0
2020-02-23,,,27.0,27.0,25.0
2020-03-01,,,29.0,29.0,27.0
2020-03-08,,,22.0,22.0,21.0
2020-03-15,,,41.0,41.0,39.0
2020-03-22,,,67.0,67.0,63.0
2020-03-29,,,59.0,59.0,55.0
2020-04-05,,,93.0,93.0,87.0
2020-04-12,,,100.0,100.0,94.0
2020-04-19,,,83.0,83.0,78.0
2020-04-26,,,77.0,77.0,72.0
2020-05-03,,,93.0,93.0,87.0
2020-05-10,,,83.0,83.0,78.0
2020-05-17,,,67.0,67.0,63.0
2020-05-24,,,73.0,73.0,68.0
2020-05-31,,,53.0,53.0,50.0
2020-06-07,,,61.0,61.0,57.0
2020-06-14,,,47.0,47.0,44.0
2020-06-21,,,46.0,46.0,43.0
2020-06-28,,,51.0,51.0,48.0
2020-07-05,,,52.0,52.0,49.0
2020-07-12,,,41.0,41.0,38.0
2020-07-19,,,31.0,31.0,29.0
2020-07-26,,,47.0,47.0,44.0
2020-08-02,,,46.0,46.0,43.0
2020-08-09,,,59.0,59.0,55.0
2020-08-16,,,42.0,42.0,40.0
2020-08-23,,,35.0,35.0,33.0
2020-08-30,,,57.0,57.0,53.0
2020-09-06,,,44.0,44.0,41.0
2020-09-13,,,48.0,48.0,45.0
2020-09-20,,,40.0,40.0,37.0
2020-09-27,,,54.0,54.0,50.0
2020-10-04,,,62.0,62.0,58.0
2020-10-11,,,61.0,61.0,57.0
2020-10-18,,,46.0,46.0,43.0
2020-10-25,,,54.0,54.0,51.0
2020-11-01,,,42.0,42.0,39.0
2020-11-08,,,39.0,39.0,37.0
2020-11-15,,,44.0,44.0,41.0
2020-11-22,,,40.0,40.0,37.0
2020-11-29,,,48.0,48.0,45.0
2020-12-06,,,47.0,47.0,44.0
2020-12-13,,,39.0,39.0,36.0
2020-12-20,,,38.0,38.0,36.0
2020-12-27,,,35.0,35.0,33.0
2021-01-03,,,,62.0,58.0
2021-01-10,,,,36.0,33.0
2021-01-17,,,,59.0,55.0
2021-01-24,,,,58.0,54.0
2021-01-31,,,,51.0,48.0
2021-02-07,,,,66.0,62.0
2021-02-14,,,,57.0,54.0
2021-02-21,,,,39.0,36.0
2021-02-28,,,,53.0,50.0
2021-03-07,,,,36.0,34.0
2021-03-14,,,,43.0,40.0
2021-03-21,,,,51.0,47.0
2021-03-28,,,,48.0,45.0
2021-04-04,,,,70.0,65.0
2021-04-11,,,,57.0,53.0
2021-04-18,,,,39.0,37.0
2021-04-25,,,,55.0,52.0
2021-05-02,,,,53.0,50.0
2021-05-09,,,,39.0,36.0
2021-05-16,,,,35.0,33.0
2021-05-23,,,,44.0,41.0
2021-05-30,,,,46.0,43.0
2021-06-06,,,,40.0,37.0
2021-06-13,,,,46.0,43.0
2021-06-20,,,,53.0,49.0
2021-06-27,,,,58.0,54.0
2021-07-04,,,,56.0,52.0
2021-07-11,,,,70.0,65.0
2021-07-18,,,,55.0,51.0
2021-07-25,,,,56.0,52.0
2021-08-01,,,,63.0,59.0
2021-08-08,,,,62.0,58.0
2021-08-15,,,,39.0,36.0
2021-08-22,,,,76.0,72.0
2021-08-29,,,,82.0,76.0
2021-09-05,,,,77.0,72.0
2021-09-12,,,,62.0,58.0
2021-09-19,,,,70.0,66.0
2021-09-26,,,,59.0,55.0
2021-10-03,,,,82.0,77.0
2021-10-10,,,,76.0,71.0
2021-10-17,,,,81.0,76.0
2021-10-24,,,,77.0,72.0
2021-10-31,,,,95.0,89.0
2021-11-07,,,,75.0,71.0
2021-11-14,,,,74.0,69.0
2021-11-21,,,,42.0,39.0
2021-11-28,,,,65.0,61.0
2021-12-05,,,,57.0,53.0
2021-12-12,,,,55.0,51.0
2021-12-19,,,,50.0,47.0
2021-12-26,,,,43.0,40.0
2022-01-02,,,,,78.0
2022-01-09,,,,,61.0
2022-01-16,,,,,80.0
2022-01-23,,,,,69.0
2022-01-30,,,,,76.0
2022-02-06,,,,,71.0
2022-02-13,,,,,60.0
2022-02-20,,,,,69.0
2022-02-27,,,,,74.0
2022-03-06,,,,,82.0
2022-03-13,,,,,62.0
2022-03-20,,,,,36.0
2022-03-27,,,,,55.0
2022-04-03,,,,,72.0
2022-04-10,,,,,54.0
2022-04-17,,,,,54.0
2022-04-24,,,,,53.0
2022-05-01,,,,,64.0
2022-05-08,,,,,50.0
2022-05-15,,,,,71.0
2022-05-22,,,,,71.0
2022-05-29,,,,,56.0
2022-06-05,,,,,65.0
2022-06-12,,,,,71.0
2022-06-19,,,,,59.0
2022-06-26,,,,,58.0
2022-07-03,,,,,57.0
2022-07-10,,,,,76.0
2022-07-17,,,,,97.0
2022-07-24,,,,,65.0
2022-07-31,,,,,74.0
2022-08-07,,,,,79.0
2022-08-14,,,,,71.0
2022-08-21,,,,,74.0
2022-08-28,,,,,75.0
2022-09-04,,,,,77.0
2022-09-11,,,,,79.0
2022-09-18,,,,,86.0
2022-09-25,,,,,80.0
2022-10-02,,,,,100.0
2022-10-09,,,,,68.0
2022-10-16,,,,,72.0
2022-10-23,,,,,70.0
2022-10-30,,,,,79.0
2022-11-06,,,,,88.0
2022-11-13,,,,,76.0
2022-11-20,,,,,59.0
2022-11-27,,,,,75.0
2022-12-04,,,,,71.0
2022-12-11,,,,,56.0
2022-12-18,,,,,62.0
2022-12-25,,,,,57.0
2023-01-01,,,,,76.0
