date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,51.0,51.0,7.0,,
2018-01-14,51.0,51.0,8.0,,
2018-01-21,27.0,27.0,4.0,,
2018-01-28,45.0,45.0,7.0,,
2018-02-04,49.0,49.0,7.0,,
2018-02-11,56.0,56.0,8.0,,
2018-02-18,21.0,21.0,3.0,,
2018-02-25,30.0,30.0,4.0,,
2018-03-04,49.0,49.0,7.0,,
2018-03-11,53.0,53.0,8.0,,
2018-03-18,32.0,32.0,5.0,,
2018-03-25,27.0,27.0,4.0,,
2018-04-01,60.0,60.0,9.0,,
2018-04-08,44.0,44.0,6.0,,
2018-04-15,26.0,26.0,4.0,,
2018-04-22,21.0,21.0,3.0,,
2018-04-29,34.0,34.0,5.0,,
2018-05-06,60.0,60.0,9.0,,
2018-05-13,32.0,32.0,5.0,,
2018-05-20,34.0,34.0,5.0,,
2018-05-27,40.0,40.0,6.0,,
2018-06-03,59.0,59.0,9.0,,
2018-06-10,40.0,40.0,6.0,,
2018-06-17,63.0,63.0,9.0,,
2018-06-24,52.0,52.0,8.0,,
2018-07-01,100.0,100.0,15.0,,
2018-07-08,46.0,46.0,7.0,,
2018-07-15,39.0,39.0,6.0,,
2018-07-22,24.0,24.0,4.0,,
2018-07-29,62.0,62.0,9.0,,
2018-08-05,46.0,46.0,7.0,,
2018-08-12,42.0,42.0,6.0,,
2018-08-19,13.0,13.0,2.0,,
2018-08-26,40.0,40.0,6.0,,
2018-09-02,51.0,51.0,8.0,,
2018-09-09,22.0,22.0,3.0,,
2018-09-16,23.0,23.0,3.0,,
2018-09-23,10.0,10.0,1.0,,
2018-09-30,45.0,45.0,7.0,,
2018-10-07,43.0,43.0,6.0,,
2018-10-14,28.0,28.0,4.0,,
2018-10-21,20.0,20.0,3.0,,
2018-10-28,23.0,23.0,3.0,,
2018-11-04,38.0,38.0,6.0,,
2018-11-11,28.0,28.0,4.0,,
2018-11-18,27.0,27.0,4.0,,
2018-11-25,26.0,26.0,4.0,,
2018-12-02,42.0,42.0,6.0,,
