date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,38.0,25.0,9.0,,
2018-01-14,36.0,24.0,9.0,,
2018-01-21,21.0,14.0,5.0,,
2018-01-28,41.0,28.0,10.0,,
2018-02-04,27.0,18.0,7.0,,
2018-02-11,47.0,31.0,11.0,,
2018-02-18,20.0,14.0,5.0,,
2018-02-25,26.0,18.0,6.0,,
2018-03-04,71.0,48.0,18.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,27.0,18.0,7.0,,
2018-03-25,26.0,18.0,6.0,,
2018-04-01,32.0,22.0,8.0,,
2018-04-08,39.0,27.0,10.0,,
2018-04-15,18.0,12.0,4.0,,
2018-04-22,22.0,15.0,5.0,,
2018-04-29,25.0,17.0,6.0,,
2018-05-06,77.0,52.0,19.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,23.0,15.0,6.0,,
2018-06-03,100.0,67.0,25.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,0.0,0.0,0.0,,
2018-06-24,33.0,22.0,8.0,,
2018-07-01,46.0,31.0,11.0,,
2018-07-08,42.0,28.0,10.0,,
2018-07-15,65.0,43.0,16.0,,
2018-07-22,17.0,11.0,4.0,,
2018-07-29,47.0,32.0,12.0,,
2018-08-05,47.0,32.0,12.0,,
2018-08-12,57.0,38.0,14.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-26,19.0,12.0,5.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-09,32.0,22.0,8.0,,
2018-09-16,50.0,34.0,12.0,,
2018-09-23,28.0,19.0,7.0,,
2018-09-30,15.0,10.0,4.0,,
2018-10-07,43.0,29.0,11.0,,
2018-10-14,24.0,16.0,6.0,,
2018-10-21,18.0,12.0,5.0,,
2018-10-28,33.0,23.0,8.0,,
2018-11-04,30.0,20.0,7.0,,
2018-11-11,42.0,28.0,10.0,,
2018-11-18,56.0,38.0,14.0,,
2018-11-25,62.0,42.0,15.0,,
2018-12-02,48.0,32.0,12.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,15.0,10.0,4.0,,
2018-12-23,45.0,30.0,11.0,,
2018-12-30,44.0,30.0,11.0,,
2019-01-06,,36.0,13.0,13.0,
2019-01-13,,42.0,15.0,15.0,
2019-01-20,,12.0,4.0,4.0,
2019-01-27,,29.0,11.0,11.0,
2019-02-03,,35.0,13.0,13.0,
2019-02-10,,18.0,7.0,7.0,
2019-02-17,,21.0,8.0,8.0,
2019-02-24,,34.0,12.0,12.0,
2019-03-03,,0.0,0.0,0.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,20.0,7.0,7.0,
2019-03-31,,12.0,4.0,4.0,
2019-04-07,,29.0,11.0,11.0,
2019-04-14,,9.0,3.0,3.0,
2019-04-21,,15.0,5.0,5.0,
2019-04-28,,20.0,7.0,7.0,
2019-05-05,,42.0,15.0,15.0,
2019-05-12,,0.0,0.0,0.0,
2019-05-19,,16.0,6.0,6.0,
2019-05-26,,15.0,5.0,5.0,
2019-06-02,,24.0,9.0,9.0,
2019-06-09,,19.0,7.0,7.0,
2019-06-16,,12.0,4.0,4.0,
2019-06-23,,42.0,15.0,15.0,
2019-06-30,,0.0,0.0,0.0,
2019-07-07,,29.0,10.0,10.0,
2019-07-14,,0.0,0.0,0.0,
2019-07-21,,0.0,0.0,0.0,
2019-07-28,,23.0,9.0,9.0,
2019-08-04,,19.0,7.0,7.0,
2019-08-11,,0.0,0.0,0.0,
2019-08-18,,0.0,0.0,0.0,
2019-08-25,,0.0,0.0,0.0,
2019-09-01,,22.0,8.0,8.0,
