date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,71.0,62.0,29.0,,
2018-01-14,80.0,69.0,33.0,,
2018-01-21,75.0,65.0,31.0,,
2018-01-28,89.0,78.0,37.0,,
2018-02-04,74.0,65.0,31.0,,
2018-02-11,56.0,49.0,23.0,,
2018-02-18,45.0,39.0,19.0,,
2018-02-25,48.0,42.0,20.0,,
2018-03-04,61.0,53.0,25.0,,
2018-03-11,43.0,37.0,18.0,,
2018-03-18,76.0,66.0,31.0,,
2018-03-25,72.0,63.0,30.0,,
2018-04-01,62.0,54.0,26.0,,
2018-04-08,71.0,62.0,29.0,,
2018-04-15,64.0,56.0,26.0,,
2018-04-22,71.0,62.0,29.0,,
2018-04-29,67.0,58.0,27.0,,
2018-05-06,55.0,48.0,23.0,,
2018-05-13,68.0,60.0,28.0,,
2018-05-20,59.0,52.0,24.0,,
2018-05-27,89.0,77.0,37.0,,
2018-06-03,83.0,72.0,34.0,,
2018-06-10,51.0,45.0,21.0,,
2018-06-17,78.0,68.0,32.0,,
2018-06-24,69.0,60.0,28.0,,
2018-07-01,71.0,62.0,29.0,,
2018-07-08,71.0,62.0,29.0,,
2018-07-15,85.0,74.0,35.0,,
2018-07-22,73.0,64.0,30.0,,
2018-07-29,94.0,82.0,39.0,,
2018-08-05,87.0,76.0,36.0,,
2018-08-12,63.0,55.0,26.0,,
2018-08-19,73.0,64.0,30.0,,
2018-08-26,85.0,74.0,35.0,,
2018-09-02,89.0,78.0,37.0,,
2018-09-09,75.0,66.0,31.0,,
2018-09-16,77.0,67.0,32.0,,
2018-09-23,75.0,65.0,31.0,,
2018-09-30,100.0,87.0,41.0,,
2018-10-07,77.0,67.0,32.0,,
2018-10-14,67.0,59.0,28.0,,
2018-10-21,78.0,68.0,32.0,,
2018-10-28,82.0,71.0,34.0,,
2018-11-04,94.0,82.0,39.0,,
2018-11-11,92.0,80.0,38.0,,
2018-11-18,81.0,70.0,33.0,,
2018-11-25,79.0,69.0,33.0,,
2018-12-02,75.0,66.0,31.0,,
2018-12-09,79.0,69.0,33.0,,
2018-12-16,76.0,67.0,32.0,,
2018-12-23,45.0,39.0,19.0,,
2018-12-30,62.0,54.0,26.0,,
2019-01-06,,72.0,34.0,34.0,
2019-01-13,,87.0,41.0,41.0,
2019-01-20,,94.0,44.0,44.0,
2019-01-27,,61.0,29.0,29.0,
2019-02-03,,47.0,22.0,22.0,
2019-02-10,,42.0,20.0,20.0,
2019-02-17,,65.0,31.0,31.0,
2019-02-24,,55.0,26.0,26.0,
2019-03-03,,38.0,18.0,18.0,
2019-03-10,,45.0,21.0,21.0,
2019-03-17,,46.0,22.0,22.0,
2019-03-24,,59.0,28.0,28.0,
2019-03-31,,53.0,25.0,25.0,
2019-04-07,,55.0,26.0,26.0,
2019-04-14,,33.0,16.0,16.0,
2019-04-21,,47.0,22.0,22.0,
2019-04-28,,65.0,31.0,31.0,
2019-05-05,,44.0,21.0,21.0,
2019-05-12,,52.0,25.0,25.0,
2019-05-19,,62.0,29.0,29.0,
2019-05-26,,73.0,35.0,35.0,
2019-06-02,,64.0,30.0,30.0,
2019-06-09,,63.0,30.0,30.0,
2019-06-16,,63.0,30.0,30.0,
2019-06-23,,62.0,29.0,29.0,
2019-06-30,,56.0,27.0,27.0,
2019-07-07,,72.0,34.0,34.0,
2019-07-14,,64.0,30.0,30.0,
2019-07-21,,71.0,34.0,34.0,
2019-07-28,,84.0,40.0,40.0,
2019-08-04,,57.0,27.0,27.0,
2019-08-11,,66.0,31.0,31.0,
2019-08-18,,61.0,29.0,29.0,
2019-08-25,,71.0,33.0,33.0,
2019-09-01,,67.0,32.0,32.0,
2019-09-08,,65.0,31.0,31.0,
2019-09-15,,82.0,39.0,39.0,
2019-09-22,,78.0,37.0,37.0,
2019-09-29,,54.0,26.0,26.0,
2019-10-06,,62.0,29.0,29.0,
2019-10-13,,66.0,31.0,31.0,
2019-10-20,,73.0,35.0,35.0,
2019-10-27,,81.0,38.0,38.0,
2019-11-03,,69.0,33.0,33.0,
2019-11-10,,97.0,46.0,46.0,
2019-11-17,,100.0,47.0,47.0,
2019-11-24,,84.0,40.0,40.0,
2019-12-01,,84.0,40.0,40.0,
2019-12-08,,77.0,37.0,37.0,
2019-12-15,,78.0,37.0,37.0,
2019-12-22,,52.0,25.0,25.0,
2019-12-29,,60.0,28.0,28.0,
2020-01-05,,,36.0,36.0,36.0
2020-01-12,,,30.0,30.0,30.0
2020-01-19,,,33.0,33.0,33.0
2020-01-26,,,41.0,41.0,41.0
2020-02-02,,,28.0,28.0,28.0
2020-02-09,,,26.0,26.0,26.0
2020-02-16,,,32.0,32.0,32.0
2020-02-23,,,26.0,26.0,26.0
2020-03-01,,,23.0,23.0,23.0
2020-03-08,,,29.0,29.0,29.0
2020-03-15,,,59.0,59.0,59.0
2020-03-22,,,71.0,71.0,71.0
2020-03-29,,,75.0,75.0,75.0
2020-04-05,,,85.0,85.0,85.0
2020-04-12,,,100.0,100.0,100.0
2020-04-19,,,70.0,70.0,70.0
2020-04-26,,,54.0,54.0,54.0
2020-05-03,,,56.0,56.0,56.0
2020-05-10,,,46.0,46.0,46.0
2020-05-17,,,41.0,41.0,41.0
2020-05-24,,,31.0,31.0,31.0
2020-05-31,,,32.0,32.0,32.0
2020-06-07,,,32.0,32.0,32.0
2020-06-14,,,36.0,36.0,36.0
2020-06-21,,,31.0,31.0,31.0
2020-06-28,,,26.0,26.0,26.0
2020-07-05,,,37.0,37.0,37.0
2020-07-12,,,31.0,31.0,31.0
2020-07-19,,,41.0,41.0,41.0
2020-07-26,,,37.0,37.0,37.0
2020-08-02,,,44.0,44.0,44.0
2020-08-09,,,36.0,36.0,36.0
2020-08-16,,,40.0,40.0,40.0
2020-08-23,,,34.0,34.0,34.0
2020-08-30,,,41.0,41.0,41.0
2020-09-06,,,33.0,33.0,33.0
2020-09-13,,,30.0,30.0,30.0
2020-09-20,,,34.0,34.0,34.0
2020-09-27,,,39.0,39.0,39.0
2020-10-04,,,39.0,39.0,39.0
2020-10-11,,,40.0,40.0,40.0
2020-10-18,,,42.0,42.0,42.0
2020-10-25,,,42.0,42.0,42.0
2020-11-01,,,36.0,36.0,36.0
2020-11-08,,,60.0,60.0,60.0
2020-11-15,,,88.0,88.0,88.0
2020-11-22,,,63.0,63.0,63.0
2020-11-29,,,56.0,56.0,56.0
2020-12-06,,,62.0,62.0,62.0
2020-12-13,,,54.0,54.0,54.0
2020-12-20,,,53.0,53.0,53.0
2020-12-27,,,36.0,36.0,36.0
2021-01-03,,,,38.0,38.0
2021-01-10,,,,43.0,43.0
2021-01-17,,,,40.0,40.0
2021-01-24,,,,35.0,35.0
2021-01-31,,,,29.0,29.0
2021-02-07,,,,32.0,32.0
2021-02-14,,,,49.0,49.0
2021-02-21,,,,65.0,65.0
2021-02-28,,,,29.0,29.0
2021-03-07,,,,32.0,32.0
2021-03-14,,,,21.0,21.0
2021-03-21,,,,23.0,23.0
2021-03-28,,,,21.0,21.0
2021-04-04,,,,19.0,19.0
2021-04-11,,,,16.0,16.0
2021-04-18,,,,22.0,22.0
2021-04-25,,,,19.0,19.0
2021-05-02,,,,19.0,19.0
2021-05-09,,,,29.0,29.0
2021-05-16,,,,23.0,23.0
2021-05-23,,,,25.0,25.0
2021-05-30,,,,25.0,25.0
2021-06-06,,,,22.0,22.0
2021-06-13,,,,21.0,21.0
2021-06-20,,,,23.0,23.0
2021-06-27,,,,18.0,18.0
2021-07-04,,,,23.0,23.0
2021-07-11,,,,30.0,30.0
2021-07-18,,,,25.0,25.0
2021-07-25,,,,23.0,23.0
2021-08-01,,,,33.0,33.0
2021-08-08,,,,26.0,26.0
2021-08-15,,,,23.0,23.0
2021-08-22,,,,23.0,23.0
2021-08-29,,,,25.0,25.0
2021-09-05,,,,27.0,27.0
2021-09-12,,,,21.0,21.0
2021-09-19,,,,17.0,17.0
2021-09-26,,,,25.0,25.0
2021-10-03,,,,22.0,22.0
2021-10-10,,,,20.0,20.0
2021-10-17,,,,28.0,28.0
2021-10-24,,,,23.0,23.0
2021-10-31,,,,33.0,33.0
2021-11-07,,,,37.0,37.0
2021-11-14,,,,50.0,50.0
2021-11-21,,,,28.0,28.0
2021-11-28,,,,34.0,34.0
2021-12-05,,,,25.0,25.0
2021-12-12,,,,21.0,21.0
2021-12-19,,,,22.0,22.0
2021-12-26,,,,17.0,17.0
2022-01-02,,,,,32.0
2022-01-09,,,,,20.0
2022-01-16,,,,,22.0
2022-01-23,,,,,28.0
2022-01-30,,,,,36.0
2022-02-06,,,,,33.0
2022-02-13,,,,,31.0
2022-02-20,,,,,31.0
2022-02-27,,,,,33.0
2022-03-06,,,,,33.0
2022-03-13,,,,,24.0
2022-03-20,,,,,28.0
2022-03-27,,,,,37.0
2022-04-03,,,,,26.0
2022-04-10,,,,,26.0
2022-04-17,,,,,33.0
2022-04-24,,,,,29.0
2022-05-01,,,,,24.0
2022-05-08,,,,,26.0
2022-05-15,,,,,30.0
2022-05-22,,,,,33.0
2022-05-29,,,,,36.0
2022-06-05,,,,,42.0
2022-06-12,,,,,46.0
2022-06-19,,,,,49.0
2022-06-26,,,,,47.0
2022-07-03,,,,,45.0
2022-07-10,,,,,55.0
2022-07-17,,,,,56.0
2022-07-24,,,,,55.0
2022-07-31,,,,,49.0
2022-08-07,,,,,43.0
2022-08-14,,,,,39.0
2022-08-21,,,,,42.0
2022-08-28,,,,,40.0
2022-09-04,,,,,38.0
2022-09-11,,,,,35.0
2022-09-18,,,,,41.0
2022-09-25,,,,,49.0
2022-10-02,,,,,38.0
2022-10-09,,,,,43.0
2022-10-16,,,,,36.0
2022-10-23,,,,,43.0
2022-10-30,,,,,46.0
2022-11-06,,,,,45.0
2022-11-13,,,,,57.0
2022-11-20,,,,,44.0
2022-11-27,,,,,42.0
2022-12-04,,,,,39.0
2022-12-11,,,,,35.0
2022-12-18,,,,,34.0
2022-12-25,,,,,30.0
2023-01-01,,,,,36.0
