date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,100.0,100.0,60.0,,
2018-01-14,36.0,36.0,21.0,,
2018-01-21,76.0,76.0,46.0,,
2018-01-28,0.0,0.0,0.0,,
2018-02-04,0.0,0.0,0.0,,
2018-02-11,45.0,45.0,27.0,,
2018-02-18,75.0,75.0,45.0,,
2018-02-25,41.0,41.0,24.0,,
2018-03-04,26.0,26.0,16.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,69.0,69.0,42.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,0.0,0.0,0.0,,
2018-04-08,46.0,46.0,28.0,,
2018-04-15,81.0,81.0,49.0,,
2018-04-22,21.0,21.0,13.0,,
2018-04-29,80.0,80.0,48.0,,
2018-05-06,31.0,31.0,19.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,47.0,47.0,28.0,,
2018-05-27,91.0,91.0,55.0,,
2018-06-03,35.0,35.0,21.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,27.0,27.0,16.0,,
2018-06-24,25.0,25.0,15.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,66.0,66.0,40.0,,
2018-07-15,0.0,0.0,0.0,,
2018-07-22,57.0,57.0,34.0,,
2018-07-29,0.0,0.0,0.0,,
2018-08-05,94.0,94.0,57.0,,
2018-08-12,33.0,33.0,20.0,,
2018-08-19,89.0,89.0,54.0,,
2018-08-26,0.0,0.0,0.0,,
2018-09-02,23.0,23.0,14.0,,
2018-09-09,0.0,0.0,0.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,69.0,69.0,42.0,,
2018-09-30,80.0,80.0,48.0,,
2018-10-07,25.0,25.0,15.0,,
2018-10-14,0.0,0.0,0.0,,
2018-10-21,48.0,48.0,29.0,,
2018-10-28,0.0,0.0,0.0,,
2018-11-04,25.0,25.0,15.0,,
2018-11-11,42.0,42.0,25.0,,
2018-11-18,60.0,60.0,36.0,,
2018-11-25,95.0,95.0,57.0,,
2018-12-02,0.0,0.0,0.0,,
2018-12-09,57.0,57.0,34.0,,
2018-12-16,36.0,36.0,21.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,28.0,28.0,17.0,,
2019-01-06,,58.0,35.0,33.0,
2019-01-13,,67.0,40.0,38.0,
2019-01-20,,43.0,26.0,24.0,
2019-01-27,,21.0,13.0,12.0,
2019-02-03,,44.0,26.0,25.0,
2019-02-10,,21.0,12.0,12.0,
2019-02-17,,0.0,0.0,0.0,
2019-02-24,,52.0,31.0,30.0,
2019-03-03,,88.0,53.0,50.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,63.0,38.0,36.0,
2019-04-07,,0.0,0.0,0.0,
2019-04-14,,31.0,19.0,18.0,
2019-04-21,,68.0,41.0,39.0,
2019-04-28,,40.0,24.0,23.0,
2019-05-05,,0.0,0.0,0.0,
2019-05-12,,27.0,17.0,16.0,
2019-05-19,,37.0,23.0,21.0,
2019-05-26,,0.0,0.0,0.0,
