date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,46.0,46.0,46.0,46.0,46.0
2018-01-14,58.0,58.0,58.0,58.0,58.0
2018-01-21,54.0,54.0,54.0,54.0,54.0
2018-01-28,52.0,52.0,52.0,52.0,52.0
2018-02-04,73.0,73.0,73.0,73.0,73.0
2018-02-11,44.0,44.0,44.0,44.0,44.0
2018-02-18,47.0,47.0,47.0,47.0,47.0
2018-02-25,54.0,54.0,54.0,54.0,54.0
2018-03-04,72.0,72.0,72.0,72.0,72.0
2018-03-11,45.0,45.0,45.0,45.0,45.0
2018-03-18,59.0,59.0,59.0,59.0,59.0
2018-03-25,39.0,39.0,39.0,39.0,39.0
2018-04-01,52.0,52.0,52.0,52.0,52.0
2018-04-08,46.0,46.0,46.0,46.0,46.0
2018-04-15,55.0,55.0,55.0,55.0,55.0
2018-04-22,52.0,52.0,52.0,52.0,52.0
2018-04-29,62.0,62.0,62.0,62.0,62.0
2018-05-06,53.0,53.0,53.0,53.0,53.0
2018-05-13,44.0,44.0,44.0,44.0,44.0
2018-05-20,58.0,58.0,58.0,58.0,58.0
2018-05-27,48.0,48.0,48.0,48.0,48.0
2018-06-03,57.0,57.0,57.0,57.0,57.0
2018-06-10,37.0,37.0,37.0,37.0,37.0
2018-06-17,40.0,40.0,40.0,40.0,40.0
2018-06-24,76.0,76.0,76.0,76.0,76.0
2018-07-01,74.0,74.0,74.0,74.0,74.0
2018-07-08,55.0,55.0,55.0,55.0,55.0
2018-07-15,55.0,55.0,55.0,55.0,55.0
2018-07-22,83.0,83.0,83.0,83.0,83.0
2018-07-29,80.0,80.0,80.0,80.0,80.0
2018-08-05,69.0,69.0,69.0,69.0,69.0
2018-08-12,60.0,60.0,60.0,60.0,60.0
2018-08-19,68.0,68.0,68.0,68.0,68.0
2018-08-26,72.0,72.0,72.0,72.0,72.0
2018-09-02,71.0,71.0,71.0,71.0,71.0
2018-09-09,49.0,49.0,49.0,49.0,49.0
2018-09-16,56.0,56.0,56.0,56.0,56.0
2018-09-23,45.0,45.0,45.0,45.0,45.0
2018-09-30,100.0,100.0,100.0,100.0,100.0
2018-10-07,62.0,62.0,62.0,62.0,62.0
